index,original,single_agent_translation,single_agent_improved_translation
6,"Соревнования личные с командным зачетом, участвуют спортсмены команд субъектов РФ, в одной возрастной группе — мужчины, женщины.","Individual competitions with team standings, athletes from teams of the constituent entities of the Russian Federation participate, in one age group - men, women.","Individual competitions with team standings, athletes of teams of the constituent entities of the Russian Federation participating, in one age group - men, women."
9,"Перезачет результатов для спортсменов, которые не принимали участие в данных соревнованиях, не производится, а очки для командного зачета не начисляются.","The results are not transferred for athletes who did not participate in these competitions, and points for the team standings are not awarded.","The results are not transferred for athletes who did not participate in these competitions, and points are not awarded for the team standings."
14,"В эстафетном беге спортсмены, могут выступать только за команду одной территории.","In relay racing, athletes can only compete for a team from one territory.","In relay racing, athletes can only compete for a team from one territory."
23,Официальная тренировка на соревновательной арене 14 февраля с 16:00 до 19:00. В соревновательные дни — вне времени соревнований.,Official training on the competition arena on February 14 from 16:00 to 19:00. On competition days - outside of competition times.,"Official training on the competition arena will be held on February 14 from 16:00 to 19:00. On competition days, training will be outside of competition times."
26,СаЙ Коот будет расположен за вторым виражом рядом с сектором толкания ядра.,The shot put sector will be located behind the second turn next to the shot put sector.,The Sai Koot is located behind the second turn next to the shot put sector.
29,Уход участников с места соревнований без разрешения рефери запрещается.,Leaving the competition venue without the referee's permission is prohibited.,Participants leaving the competition place without the referee's permission is prohibited.
35,"В беге на 60 м и беге с барьерами 60 м соревнования проводятся в 3 круга, выход в следующий круг будет определен по окончанию приема заявок.","In the 60m run and the 60m hurdles, the competitions are held in 3 rounds, the advancement to the next round will be determined upon the completion of the registration.","The competitions in the 60m run and 60m hurdles are held in 3 rounds, with advancement to the next round determined upon the completion of registration."
39,"В прыжках и метаниях проводятся квалификационные (в случае более 16 заявленным спортсменов) и финальные соревнования, для участия в которых необходимо пройти квалификацию.","In jumps and throws, qualifying (in case of more than 16 athletes entered) and final competitions are held, for participation in which it is necessary to qualify.","In jumping and throwing events, qualifying (in case of more than 16 entered athletes) and final competitions are held, for which qualification is required."
57,Техническое совещание ГСК с официальными представителями команд состоится 14 февраля в 18:00 в конференц-зале манежа ЛФК ЦСКА.,Technical meeting of the GSK with official representatives of the teams will be held on February 14 at 6:00 PM in the conference hall of the LFK CSKA sports complex.,The technical meeting of the GSK with official team representatives will be held on February 14 at 6:00 PM in the conference hall of the LFK CSKA sports complex.
59,"Июльский номер традиционно сдается во время Московского кинофестиваля, и это, конечно, очень грустно: вычитывать полосы, когда душа рвется на Шаброля.","The July issue is traditionally handed in during the Moscow Film Festival, and this, of course, is very sad: to proofread the pages when the soul yearns for Chabrol.","The July issue is traditionally completed during the Moscow Film Festival, which is of course very sad: proofreading the pages when one's heart is set on the festival."
