index,original,translated,locale_convention_annotation
6,"Соревнования личные с командным зачетом, участвуют спортсмены команд субъектов РФ, в одной возрастной группе — мужчины, женщины.","Individual competitions with team standings, athletes from teams of the constituent entities of the Russian Federation participate, in one age group - men, women.","MQM annotations:
Style Errors
[minor]: [unnatural flow] - The translation reads a bit too literally and lacks the natural flow expected in English. A more idiomatic phrasing could be used.

The translation is generally accurate and readable, but the style could be improved to sound more natural in English. Some suggestions:

- ""Individual competitions with team standings"" could be rephrased as ""Individual competitions with team results"" or ""Individual competitions with team rankings"".
- ""athletes from teams of the constituent entities of the Russian Federation"" could be simplified to ""athletes from Russian regional teams"".
- ""in one age group - men, women"" could be expressed as ""for men and women in the same age group"".

Overall, the translation conveys the meaning clearly, but a more natural and concise style would improve the fluency."
9,"Перезачет результатов для спортсменов, которые не принимали участие в данных соревнованиях, не производится, а очки для командного зачета не начисляются.","The results are not transferred for athletes who did not participate in these competitions, and points for the team standings are not awarded.","MQM annotations:
Style Errors
[major]: [UNNATURAL FLOW] - The translation reads too literally and lacks the natural flow expected in the target language. A more natural expression could be used."
14,"В эстафетном беге спортсмены, могут выступать только за команду одной территории.","In relay racing, athletes can only compete for a team from one territory.","MQM annotations:
Style Errors:
[minor]: [unnatural flow] - The translation ""In relay racing, athletes can only compete for a team from one territory"" reads a bit awkwardly and lacks the natural flow expected in English. A more natural phrasing could be ""In relay racing, athletes can only represent a team from a single territory."""
23,Официальная тренировка на соревновательной арене 14 февраля с 16:00 до 19:00. В соревновательные дни — вне времени соревнований.,Official training on the competition arena on February 14 from 16:00 to 19:00. On competition days - outside of competition times.,"MQM annotations:
Style Errors
[minor]: [unnatural flow] - The translation ""Official training on the competition arena on February 14 from 16:00 to 19:00. On competition days - outside of competition times."" reads a bit awkwardly and could be phrased more naturally in English."
26,СаЙ Коот будет расположен за вторым виражом рядом с сектором толкания ядра.,The shot put sector will be located behind the second turn next to the shot put sector.,"MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation ""The shot put sector will be located behind the second turn next to the shot put sector"" reads awkwardly and lacks the natural flow expected in English. A more natural phrasing would be ""The shot put area will be located behind the second turn, adjacent to the shot put circle."""
29,Уход участников с места соревнований без разрешения рефери запрещается.,Leaving the competition venue without the referee's permission is prohibited.,"MQM annotations:
Style Errors:
[minor]: [unnatural flow] - The translation reads a bit awkwardly and lacks the natural flow expected in English. A more idiomatic phrasing could be used.

The translation is generally accurate and conveys the meaning of the source text. The only style-related issue is that the phrasing ""Leaving the competition venue without the referee's permission is prohibited"" sounds a bit unnatural and could be expressed in a more fluent way in English."
35,"В беге на 60 м и беге с барьерами 60 м соревнования проводятся в 3 круга, выход в следующий круг будет определен по окончанию приема заявок.","In the 60m run and the 60m hurdles, the competitions are held in 3 rounds, the advancement to the next round will be determined upon the completion of the registration.","MQM annotations:
Style Errors
[major]: [UNNATURAL FLOW] - The translation ""the advancement to the next round will be determined upon the completion of the registration"" sounds overly literal and lacks the natural flow expected in English. A more natural phrasing would be ""the advancement to the next round will be determined after the registration deadline.""
[minor]: [REGISTER] - The use of ""upon the completion"" is slightly formal, whereas a more natural register for this context would be ""after the completion."""
39,"В прыжках и метаниях проводятся квалификационные (в случае более 16 заявленным спортсменов) и финальные соревнования, для участия в которых необходимо пройти квалификацию.","In jumps and throws, qualifying (in case of more than 16 athletes entered) and final competitions are held, for participation in which it is necessary to qualify.","MQM annotations:
Style Errors:
[major]: [unnatural flow] - The translation reads too literally and lacks the natural flow expected in the target language. A more natural expression could be used."
57,Техническое совещание ГСК с официальными представителями команд состоится 14 февраля в 18:00 в конференц-зале манежа ЛФК ЦСКА.,Technical meeting of the GSK with official representatives of the teams will be held on February 14 at 6:00 PM in the conference hall of the LFK CSKA sports complex.,"MQM annotations:
Style Errors:
[minor]: [register] - The translation uses a formal register (""will be held"") instead of a more natural, informal register that would be expected for this type of announcement.
[minor]: [unnatural flow] - The phrasing ""Technical meeting of the GSK with official representatives of the teams"" sounds a bit awkward and overly formal in English. A more natural flow would be ""A technical meeting with the official team representatives will be held..."""
59,"Июльский номер традиционно сдается во время Московского кинофестиваля, и это, конечно, очень грустно: вычитывать полосы, когда душа рвется на Шаброля.","The July issue is traditionally handed in during the Moscow Film Festival, and this, of course, is very sad: to proofread the pages when the soul yearns for Chabrol.","MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation reads too literally and lacks the natural flow expected in the target language. The sentence structure is overly formal and does not match the more casual tone of the source text.
[minor]: [REGISTER] - The use of the formal pronoun ""Вам"" (you) is not appropriate for the informal context of the source text."
