index,original,zero_shot_translation,reference_translation
6,"Соревнования личные с командным зачетом, участвуют спортсмены команд субъектов РФ, в одной возрастной группе — мужчины, женщины.","Individual competitions with team standings, athletes from teams of the constituent entities of the Russian Federation participate, in one age group - men, women.","Competitions are individual while testing is by team, participants are athletes from teams of subjects of the Russian Federation, and men and women are placed together in age groups."
9,"Перезачет результатов для спортсменов, которые не принимали участие в данных соревнованиях, не производится, а очки для командного зачета не начисляются.","The results are not transferred for athletes who did not participate in these competitions, and points for the team standings are not awarded.","There is no retesting of results for athletes who did not participate in the given competitions, and points for team testing are not counted."
14,"В эстафетном беге спортсмены, могут выступать только за команду одной территории.","In relay racing, athletes can only compete for a team from one territory.","In the relay race, athletes may only participate for the team of a single territory."
23,Официальная тренировка на соревновательной арене 14 февраля с 16:00 до 19:00. В соревновательные дни — вне времени соревнований.,Official training on the competition arena on February 14 from 16:00 to 19:00. On competition days - outside of competition times.,"Official training is conducted in the competition arena on February 14 from 16:00 to 19:00. On competition days, it is conducted outside of competition times."
26,СаЙ Коот будет расположен за вторым виражом рядом с сектором толкания ядра.,The shot put sector will be located behind the second turn next to the shot put sector.,SaI Koot will be located around the second bend near the section for shot-put.
29,Уход участников с места соревнований без разрешения рефери запрещается.,Leaving the competition venue without the referee's permission is prohibited.,Participants are forbidden from exiting the competition area without the permission of a referee.
35,"В беге на 60 м и беге с барьерами 60 м соревнования проводятся в 3 круга, выход в следующий круг будет определен по окончанию приема заявок.","In the 60m run and the 60m hurdles, the competitions are held in 3 rounds, the advancement to the next round will be determined upon the completion of the registration.",The competitions for 60m run and 60m hurdles take place in 3 rounds. Qualification for the subsequent round is determined after ballots are submitted.
39,"В прыжках и метаниях проводятся квалификационные (в случае более 16 заявленным спортсменов) и финальные соревнования, для участия в которых необходимо пройти квалификацию.","In jumps and throws, qualifying (in case of more than 16 athletes entered) and final competitions are held, for participation in which it is necessary to qualify.","For jumps and javelin throws, qualifying competitions are held (if there are over 16 announced athletes), as are final competitions, which athletes must pass qualification to compete in."
57,Техническое совещание ГСК с официальными представителями команд состоится 14 февраля в 18:00 в конференц-зале манежа ЛФК ЦСКА.,Technical meeting of the GSK with official representatives of the teams will be held on February 14 at 6:00 PM in the conference hall of the LFK CSKA sports complex.,The technical announcement of the chief panel of judges with the official team representatives will take place on February 14 at 18:00 in the conference hall of the Light-Athletic Football Complex CSKA.
59,"Июльский номер традиционно сдается во время Московского кинофестиваля, и это, конечно, очень грустно: вычитывать полосы, когда душа рвется на Шаброля.","The July issue is traditionally handed in during the Moscow Film Festival, and this, of course, is very sad: to proofread the pages when the soul yearns for Chabrol.","Traditionally, the July issue is submitted while the Moscow Film Festival is underway, which is, of course, quite tragic — having to proofread columns when your heart is yearning for Chabrol."
