index,original,translated,accuracy_annotation
6,"Соревнования личные с командным зачетом, участвуют спортсмены команд субъектов РФ, в одной возрастной группе — мужчины, женщины.","The competitions are individual with a team scoring, involving athletes from teams of the subjects of the Russian Federation, in one age group — men, women.","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - The phrase ""в одной возрастной группе"" is mistranslated as ""in one age group,"" which implies a single age group, whereas the source text means ""in the same age group.""
[Minor]: [accuracy/error_subcategory] - None
```"
9,"Перезачет результатов для спортсменов, которые не принимали участие в данных соревнованиях, не производится, а очки для командного зачета не начисляются.","The transfer of results for athletes who did not participate in these competitions is not conducted, and points for the team standings are not awarded.","```
MQM annotations:
Accuracy Errors
[Critical]: accuracy/mistranslation - ""The transfer of results"" is a mistranslation of ""Перезачет результатов,"" which should be translated as ""Recalculation of results.""
[Major]: accuracy/omission - The translation omits the nuance that the recalculation is specifically for athletes who did not participate in the competitions.
[Minor]: accuracy/mistranslation - ""team standings"" should be ""team score"" to more accurately reflect ""командного зачета.""
```"
14,"В эстафетном беге спортсмены, могут выступать только за команду одной территории.","In relay races, athletes can compete only for a team from one territory.","```
MQM annotations:
Accuracy Errors
[Critical]: accuracy/mistranslation - The phrase ""athletes can compete"" does not accurately convey the source text's meaning, which implies that athletes ""may"" or ""are allowed to"" compete, rather than stating it as a definitive action.
[Major]: accuracy/addition - The word ""from"" in ""for a team from one territory"" is an addition that slightly alters the meaning. The source text implies that athletes can only represent one territory, not necessarily that they are ""from"" that territory.
[Minor]: accuracy/omission - The comma after ""athletes"" in the source text is omitted in the translation, which could slightly affect the intended pause or emphasis in the sentence.
```"
23,Официальная тренировка на соревновательной арене 14 февраля с 16:00 до 19:00. В соревновательные дни — вне времени соревнований.,"Official training at the competition venue on February 14 from 4:00 PM to 7:00 PM. On competition days, outside of competition times.","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/omission] - The phrase ""вне времени соревнований"" (outside of competition times) is not fully clear in the translation. It suggests that training occurs outside of competition times, but it omits the implication that this is on competition days.
[Minor]: [accuracy/error_subcategory] - None
```"
26,СаЙ Коот будет расположен за вторым виражом рядом с сектором толкания ядра.,Sai Koot will be located after the second turn next to the shot put sector.,"```
MQM annotations:
Accuracy Errors
[Critical]: accuracy/mistranslation - ""Sai Koot"" is a mistranslation of ""СаЙ Коот,"" which should be transliterated as ""Sai Kot.""
[Major]: accuracy/mistranslation - None
[Minor]: accuracy/mistranslation - None
```"
29,Уход участников с места соревнований без разрешения рефери запрещается.,Participants leaving the competition area without the referee's permission is prohibited.,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - The translation ""Participants leaving the competition area without the referee's permission is prohibited"" does not accurately convey the meaning of the source. The source implies that leaving without permission is not allowed, but the translation suggests it is a general prohibition without specifying the condition of ""without permission.""
[Minor]: [accuracy/error_subcategory] - None
```"
35,"В беге на 60 м и беге с барьерами 60 м соревнования проводятся в 3 круга, выход в следующий круг будет определен по окончанию приема заявок.","In the 60 m sprint and 60 m hurdles, the competitions are held in 3 rounds, and advancement to the next round will be determined after the registration period ends.","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - The phrase ""after the registration period ends"" does not accurately convey the meaning of ""по окончанию приема заявок,"" which means ""after the acceptance of applications ends.""
[Minor]: [accuracy/error_subcategory] - None
```"
39,"В прыжках и метаниях проводятся квалификационные (в случае более 16 заявленным спортсменов) и финальные соревнования, для участия в которых необходимо пройти квалификацию.","In jumping and throwing events, qualifying (if more than 16 athletes are registered) and final competitions are held, and qualification is required to participate in the finals.","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/omission] - The phrase ""для участия в которых необходимо пройти квалификацию"" (and qualification is required to participate in the finals) is omitted in the translation.
[Minor]: [accuracy/error_subcategory] - None
```"
57,Техническое совещание ГСК с официальными представителями команд состоится 14 февраля в 18:00 в конференц-зале манежа ЛФК ЦСКА.,The technical meeting of the GSK with official team representatives will take place on February 14 at 18:00 in the conference hall of the CSKA LFK arena.,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - The abbreviation ""GSK"" is not translated or explained, which may lead to misunderstanding if the audience is not familiar with it.
[Minor]: [accuracy/error_subcategory] - None
```"
59,"Июльский номер традиционно сдается во время Московского кинофестиваля, и это, конечно, очень грустно: вычитывать полосы, когда душа рвется на Шаброля.","The July issue is traditionally submitted during the Moscow Film Festival, and this is, of course, very sad: proofreading pages when the soul longs for Chabrol.","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/mistranslation] - The phrase ""душа рвется на Шаброля"" is mistranslated as ""the soul longs for Chabrol."" The correct translation should convey the idea of being eager to watch Chabrol's films, not just a longing.
[Major]: [accuracy/omission] - The translation omits the context of ""вычитывать полосы,"" which means ""proofreading pages"" and is correctly translated, but the context of the activity being during the Moscow Film Festival is not fully captured.
[Minor]: [accuracy/addition] - None
```"
62,"А еще мы в этот раз публикуем первую часть довольно подробного гида по творчеству Альфреда Хичкока, и вот тут уж точно не нужно ничего специально рекламировать, и ежу понятно, что автор «Подозрения» и «Веревки» - это наше Татьяна Алешичева, Борис Глейзеров, Анна Головня, Ник Де Семлин, Дэн Джолин, Тамара Дондурей, Николай Караев, Денис Корсаков, Мария Кувшинова, Иван Куликов, Уилл Лоуренс, Сергей Мезенов, Сергей Натапов, Иан Нейтан, Ким Ньюмэн, Заира Озова, Нев Пирс, Алексей Простяков, Серафима Скибюк, Адам Смит, Мур Соболева, Василий Степанов, Александр Стрелков, Олли Ричардс, Олег Тищенков, Алена Логунова, Крис Хьюитт, Ольга Шакина лондинку-цэрэушницу Эвелин Солт, несмотря на блестящий послужной список, заподозрили в шпионаже в пользу русских и решили во что бы то ни стало изловить.","Here's the translation of the provided text:

""Additionally, this time we are publishing the first part of a rather detailed guide on the works of Alfred Hitchcock, and there is certainly no need for any special promotion here. It's obvious to everyone that the author of 'Suspicion' and 'Rope' is our Tatiana Aleshicheva, Boris Gleizerov, Anna Golovnya, Nick De Semlyen, Dan Jolin, Tamara Dondurey, Nikolai Karaev, Denis Korsakov, Maria Kuvshinova, Ivan Kulikov, Will Lawrence, Sergey Mezenov, Sergey Natapov, Ian Nathan, Kim Newman, Zaira Ozova, Nev Pierce, Alexey Prostyakov, Serafima Skibyuk, Adam Smith, Mur Soboleva, Vasily Stepanov, Alexander Strelkov, Olly Richards, Oleg Tishchenkov, Alena Logunova, Chris Hewitt, Olga Shakina. Despite her brilliant track record, Evelyn Salt, a London-based CIA agent, was suspected of espionage in favor of the Russians and they decided to catch her at all costs.""","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/mistranslation] - The phrase ""It's obvious to everyone that the author of 'Suspicion' and 'Rope' is our"" is mistranslated. The source text does not imply that the authorship of 'Suspicion' and 'Rope' is attributed to the listed individuals. Instead, it suggests that these individuals are contributors to the guide on Hitchcock's works.
[Major]: [accuracy/mistranslation] - The translation incorrectly implies that Evelyn Salt is a ""London-based CIA agent,"" whereas the source text does not specify her location as London.
[Minor]: [accuracy/omission] - The phrase ""и вот тут уж точно не нужно ничего специально рекламировать"" is not fully captured in the translation. The nuance of ""and there is certainly no need for any special promotion here"" is slightly lost.
```"
63,"Загнанная в угол, она перекрасится в привычный нам черный и сама отправится искать правду.","Cornered, she will dye her hair the familiar black and set out to find the truth herself.","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/mistranslation] - The phrase ""перекрасится в привычный нам черный"" is mistranslated as ""dye her hair the familiar black."" The source text does not specify ""hair"" and implies a transformation or change to a familiar black color, not specifically related to hair.
[Major]: [accuracy/omission] - None
[Minor]: [accuracy/addition] - The addition of ""her hair"" is not present in the source text and narrows the interpretation unnecessarily.
```"
66,Примерно так красота и должна спасать мир.,Something like this is how beauty should save the world.,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - The translation ""Something like this is how beauty should save the world"" does not fully capture the meaning of the source text ""Примерно так красота и должна спасать мир."" The phrase ""Примерно так"" implies ""This is approximately how"" or ""This is roughly how,"" which is not accurately conveyed by ""Something like this.""
[Minor]: [accuracy/error_subcategory] - None
```"
67,"Вот он, родной, взорвавший и починивший мир «Пятым элементом» и сделавший Миллу Йовович самой прекрасной женщиной во вселенной.","Here he is, the one who blew up and fixed the world with ""The Fifth Element"" and made Milla Jovovich the most beautiful woman in the universe.","```
MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: accuracy/mistranslation - ""взорвавший и починивший мир"" is translated as ""blew up and fixed the world,"" which may not fully capture the intended metaphorical meaning of ""transforming"" or ""revolutionizing"" the world.
```"
70,Что делал Бессон 13 лет между «Элементом...» и «Аделью...» вспоминать не хочется.,"What Besson did during the 13 years between ""The Fifth Element"" and ""Adèle..."" is something I don't want to remember.","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/mistranslation] - The translation ""is something I don't want to remember"" does not accurately convey the meaning of the source text ""вспоминать не хочется,"" which implies a reluctance or lack of desire to recall, rather than an explicit statement of not wanting to remember.
[Major]: [accuracy/mistranslation] - The translation ""Adèle..."" does not specify the full title ""Аделью..."" refers to, which is ""The Extraordinary Adventures of Adèle Blanc-Sec."" This can lead to confusion if the reader is not familiar with the context.
[Minor]: [accuracy/mistranslation] - None
```"
