index,original,translated,locale_convention_annotation
6,"Соревнования личные с командным зачетом, участвуют спортсмены команд субъектов РФ, в одной возрастной группе — мужчины, женщины.","The competitions are individual with a team scoring, involving athletes from teams of the subjects of the Russian Federation, in one age group — men, women.","```
MQM annotations:
audience appropriateness error:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The phrase ""subjects of the Russian Federation"" may not be clear to a general English-speaking audience unfamiliar with the administrative divisions of Russia. A more culturally adapted term could be used to enhance understanding.
```"
9,"Перезачет результатов для спортсменов, которые не принимали участие в данных соревнованиях, не производится, а очки для командного зачета не начисляются.","The transfer of results for athletes who did not participate in these competitions is not conducted, and points for the team standings are not awarded.","```
MQM annotations:
Accuracy Errors
[Critical]: [audience_appropriateness/error_subcategory] - None
[Major]: [audience_appropriateness/error_subcategory] - None
[Minor]: [audience_appropriateness/culture-specific reference] - The phrase ""team standings"" may not be immediately understood by audiences unfamiliar with sports terminology, potentially leading to confusion.
```"
14,"В эстафетном беге спортсмены, могут выступать только за команду одной территории.","In relay races, athletes can compete only for a team from one territory.","```
MQM annotations:
audience appropriateness error:
Minor: Culture-specific Reference - The term ""territory"" might be interpreted differently depending on the cultural or administrative context of the target audience. In some contexts, it could refer to a geographical area, while in others, it might relate to administrative divisions or jurisdictions. This could lead to subtle misunderstandings about the nature of the ""territory"" in question.
```"
23,Официальная тренировка на соревновательной арене 14 февраля с 16:00 до 19:00. В соревновательные дни — вне времени соревнований.,"Official training at the competition venue on February 14 from 4:00 PM to 7:00 PM. On competition days, outside of competition times.","```
MQM annotations:
audience appropriateness error:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The use of ""competition venue"" may not fully convey the cultural context of a specific sports or event location to an audience unfamiliar with such terminology. A more detailed description could improve understanding.
```"
26,СаЙ Коот будет расположен за вторым виражом рядом с сектором толкания ядра.,Sai Koot will be located after the second turn next to the shot put sector.,"```
MQM annotations:
audience appropriateness error:
[Major]: [Culture-specific Reference] - The term ""Sai Koot"" may not be familiar to the English-speaking audience. Without additional context, it could cause confusion as it appears to be a specific name or term that may not translate culturally or contextually.
```"
29,Уход участников с места соревнований без разрешения рефери запрещается.,Participants leaving the competition area without the referee's permission is prohibited.,"```
MQM annotations:
audience appropriateness error:
Minor: Culture-specific Reference - The term ""referee"" may not be culturally appropriate or immediately understood by all English-speaking audiences, as ""referee"" is often associated with sports rather than competitions in general. ""Judge"" or ""official"" might be more universally understood in the context of competitions.
```"
35,"В беге на 60 м и беге с барьерами 60 м соревнования проводятся в 3 круга, выход в следующий круг будет определен по окончанию приема заявок.","In the 60 m sprint and 60 m hurdles, the competitions are held in 3 rounds, and advancement to the next round will be determined after the registration period ends.","```
MQM annotations:
audience appropriateness error:
Critical: None
Major: None
Minor: None
```

The provided translation does not contain any audience appropriateness errors. The content is culturally neutral and does not include any culture-specific references or inappropriate language varieties for the intended English-speaking audience."
39,"В прыжках и метаниях проводятся квалификационные (в случае более 16 заявленным спортсменов) и финальные соревнования, для участия в которых необходимо пройти квалификацию.","In jumping and throwing events, qualifying (if more than 16 athletes are registered) and final competitions are held, and qualification is required to participate in the finals.","```
MQM annotations:
audience appropriateness error:
Minor: Culture-specific Reference - The phrase ""jumping and throwing events"" may not be immediately clear to all English-speaking audiences without additional context, as it refers to specific track and field events. Providing examples or additional context could enhance understanding.
```"
57,Техническое совещание ГСК с официальными представителями команд состоится 14 февраля в 18:00 в конференц-зале манежа ЛФК ЦСКА.,The technical meeting of the GSK with official team representatives will take place on February 14 at 18:00 in the conference hall of the CSKA LFK arena.,"```
MQM annotations:
audience appropriateness error:
[Critical]: None
[Major]: None
[Minor]: CULTURE-SPECIFIC REFERENCE - The abbreviation ""GSK"" is not explained in the translation, which may not be familiar to the English-speaking audience. It would be helpful to provide the full form or context for clarity.
```"
59,"Июльский номер традиционно сдается во время Московского кинофестиваля, и это, конечно, очень грустно: вычитывать полосы, когда душа рвется на Шаброля.","The July issue is traditionally submitted during the Moscow Film Festival, and this is, of course, very sad: proofreading pages when the soul longs for Chabrol.","```
MQM annotations:
audience appropriateness error:
[Major]: [Culture-specific Reference] - The reference to ""Chabrol"" may not be well understood by all English-speaking audiences, as it refers to Claude Chabrol, a French film director. The cultural context of longing for a specific director during a film festival might be lost on audiences unfamiliar with Chabrol's work.
```"
