index,original,translated,linguistic_convention_annotation
6,"Соревнования личные с командным зачетом, участвуют спортсмены команд субъектов РФ, в одной возрастной группе — мужчины, женщины.","The competitions are individual with a team scoring, involving athletes from teams of the subjects of the Russian Federation, in one age group — men, women.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The comma after ""scoring"" should be removed for better flow.
[Minor]: [punctuation] - The comma after ""Federation"" should be removed for better flow.
[Minor]: [punctuation] - The em dash should be replaced with a comma for consistency with the rest of the sentence.
```"
9,"Перезачет результатов для спортсменов, которые не принимали участие в данных соревнованиях, не производится, а очки для командного зачета не начисляются.","The transfer of results for athletes who did not participate in these competitions is not conducted, and points for the team standings are not awarded.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The comma before ""and points for the team standings are not awarded"" is unnecessary and disrupts the flow of the sentence.
```"
14,"В эстафетном беге спортсмены, могут выступать только за команду одной территории.","In relay races, athletes can compete only for a team from one territory.","```
MQM annotations:
linguistic conventions errors:
major: punctuation - The comma after ""athletes"" is unnecessary and disrupts the flow of the sentence.
```"
23,Официальная тренировка на соревновательной арене 14 февраля с 16:00 до 19:00. В соревновательные дни — вне времени соревнований.,"Official training at the competition venue on February 14 from 4:00 PM to 7:00 PM. On competition days, outside of competition times.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The sentence ""On competition days, outside of competition times."" is a fragment and should be connected to the previous sentence or rephrased to form a complete sentence.
```"
26,СаЙ Коот будет расположен за вторым виражом рядом с сектором толкания ядра.,Sai Koot will be located after the second turn next to the shot put sector.,"```
MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - ""Sai Koot"" should be ""Sai Koote"" to match the capitalization in the source text.
```"
29,Уход участников с места соревнований без разрешения рефери запрещается.,Participants leaving the competition area without the referee's permission is prohibited.,"```
MQM annotations:
linguistic conventions errors:
[Critical]: None
[Major]: None
[Minor]: punctuation - The sentence lacks a period at the end, which is a minor punctuation error.
```"
35,"В беге на 60 м и беге с барьерами 60 м соревнования проводятся в 3 круга, выход в следующий круг будет определен по окончанию приема заявок.","In the 60 m sprint and 60 m hurdles, the competitions are held in 3 rounds, and advancement to the next round will be determined after the registration period ends.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The comma before ""and advancement"" is unnecessary in English.
```"
39,"В прыжках и метаниях проводятся квалификационные (в случае более 16 заявленным спортсменов) и финальные соревнования, для участия в которых необходимо пройти квалификацию.","In jumping and throwing events, qualifying (if more than 16 athletes are registered) and final competitions are held, and qualification is required to participate in the finals.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The comma before ""and qualification is required to participate in the finals"" is unnecessary and disrupts the flow of the sentence.
```"
57,Техническое совещание ГСК с официальными представителями команд состоится 14 февраля в 18:00 в конференц-зале манежа ЛФК ЦСКА.,The technical meeting of the GSK with official team representatives will take place on February 14 at 18:00 in the conference hall of the CSKA LFK arena.,"```
MQM annotations:
linguistic conventions errors:
[Critical]: none
[Major]: none
[Minor]: capitalization - ""arena"" should be capitalized as ""Arena"" since it is part of a proper noun ""CSKA LFK Arena.""
```"
59,"Июльский номер традиционно сдается во время Московского кинофестиваля, и это, конечно, очень грустно: вычитывать полосы, когда душа рвется на Шаброля.","The July issue is traditionally submitted during the Moscow Film Festival, and this is, of course, very sad: proofreading pages when the soul longs for Chabrol.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The colon after ""sad"" should be a semicolon or a period to separate two independent clauses.
```"
62,"А еще мы в этот раз публикуем первую часть довольно подробного гида по творчеству Альфреда Хичкока, и вот тут уж точно не нужно ничего специально рекламировать, и ежу понятно, что автор «Подозрения» и «Веревки» - это наше Татьяна Алешичева, Борис Глейзеров, Анна Головня, Ник Де Семлин, Дэн Джолин, Тамара Дондурей, Николай Караев, Денис Корсаков, Мария Кувшинова, Иван Куликов, Уилл Лоуренс, Сергей Мезенов, Сергей Натапов, Иан Нейтан, Ким Ньюмэн, Заира Озова, Нев Пирс, Алексей Простяков, Серафима Скибюк, Адам Смит, Мур Соболева, Василий Степанов, Александр Стрелков, Олли Ричардс, Олег Тищенков, Алена Логунова, Крис Хьюитт, Ольга Шакина лондинку-цэрэушницу Эвелин Солт, несмотря на блестящий послужной список, заподозрили в шпионаже в пользу русских и решили во что бы то ни стало изловить.","Here's the translation of the provided text:

""Additionally, this time we are publishing the first part of a rather detailed guide on the works of Alfred Hitchcock, and there is certainly no need for any special promotion here. It's obvious to everyone that the author of 'Suspicion' and 'Rope' is our Tatiana Aleshicheva, Boris Gleizerov, Anna Golovnya, Nick De Semlyen, Dan Jolin, Tamara Dondurey, Nikolai Karaev, Denis Korsakov, Maria Kuvshinova, Ivan Kulikov, Will Lawrence, Sergey Mezenov, Sergey Natapov, Ian Nathan, Kim Newman, Zaira Ozova, Nev Pierce, Alexey Prostyakov, Serafima Skibyuk, Adam Smith, Mur Soboleva, Vasily Stepanov, Alexander Strelkov, Olly Richards, Oleg Tishchenkov, Alena Logunova, Chris Hewitt, Olga Shakina. Despite her brilliant track record, Evelyn Salt, a London-based CIA agent, was suspected of espionage in favor of the Russians and they decided to catch her at all costs.""","```
MQM annotations:
linguistic conventions errors:
[Major]: [punctuation] - Missing period after the list of authors before starting a new sentence with ""Despite her brilliant track record.""
[Minor]: [punctuation] - The use of a comma before ""and"" in the list of authors is optional in English, but for consistency, it could be added before ""Olga Shakina.""
```"
63,"Загнанная в угол, она перекрасится в привычный нам черный и сама отправится искать правду.","Cornered, she will dye her hair the familiar black and set out to find the truth herself.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The sentence would benefit from a comma after ""Cornered"" to improve readability.
```"
66,Примерно так красота и должна спасать мир.,Something like this is how beauty should save the world.,"```
MQM annotations:
linguistic conventions errors:
Minor: punctuation - The sentence should end with a period to be grammatically correct.
```"
67,"Вот он, родной, взорвавший и починивший мир «Пятым элементом» и сделавший Миллу Йовович самой прекрасной женщиной во вселенной.","Here he is, the one who blew up and fixed the world with ""The Fifth Element"" and made Milla Jovovich the most beautiful woman in the universe.","```
MQM annotations:
linguistic conventions errors:
Minor: punctuation - The quotation marks around ""The Fifth Element"" should be consistent with English conventions, typically using double quotation marks (“ ”) instead of single quotes.
```"
70,Что делал Бессон 13 лет между «Элементом...» и «Аделью...» вспоминать не хочется.,"What Besson did during the 13 years between ""The Fifth Element"" and ""Adèle..."" is something I don't want to remember.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The ellipsis in ""The Fifth Element"" should be followed by a period to match the source's punctuation style.
```"
71,"Он, мягко говоря, без дела не сидел, но вся эта сценарно-продюсерская суета и редкие, вымученные режиссерские выступления забудутся.","He, to put it mildly, was not idle, but all this scriptwriting and producing hustle and the rare, strained directorial appearances will be forgotten.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The comma before ""but"" is unnecessary in this context.
```"
72,А вот «Адель...» — едва ли.,"But ""Adele..."" — hardly.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - Incorrect use of ellipsis; should be three dots instead of four.
```"
73,"Когда смотришь это кино, кажется, что 13 лет перед нами был не наш Бессон, а какой-то двойник.","When you watch this movie, it seems that for the past 13 years, it wasn't our Besson, but some kind of double.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The comma after ""movie"" is unnecessary in English.
```"
76,"Тут весь невероятный драйв заключается в том, что за каждым поворотом или репликой вас поджидают сюрпризы.",The whole incredible thrill here lies in the fact that surprises await you around every corner or line.,"```
MQM annotations:
linguistic conventions errors:
[Critical]: None
[Major]: None
[Minor]: punctuation - The sentence would benefit from a comma after ""corner"" to improve readability: ""surprises await you around every corner, or line.""
```"
77,И все как один приятные.,"""And all of them are pleasant.""","```
MQM annotations:
linguistic conventions errors:
[Minor]: punctuation - The sentence should end with a period.
```"
78,"То ли девушка, то ли видение",Either a girl or a vision,"```
MQM annotations:
linguistic conventions errors:
[Critical]: no-error
[Major]: no-error
[Minor]: no-error
```"
84,"Режиссер не бежит за зрителем с протянутой рукой, умоляя оценить спецэффекты, декорации или трюки, а увлекает за собой, как старомодный романист, восклицающий пред большим путешествием к центру земли или на край света: «Вперед, мой читатель, нас ждут великие дела!»","The director does not chase after the audience with an outstretched hand, begging them to appreciate the special effects, sets, or stunts. Instead, he captivates them like an old-fashioned novelist, exclaiming before a grand journey to the center of the earth or to the ends of the world: ""Onward, my reader, great deeds await us!""","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The comma after ""stunts"" should be a period to correctly separate the two independent clauses.
```"
85,"При этом Бессон обращается с жанровым кино, про которое знает решительно все, бесцеремонно и весело, как мальчишка, насмотревшийся старых фильмов и начитавшийся Жюля Верна.","Besson approaches genre cinema, about which he knows absolutely everything, in a cheeky and fun way, like a boy who has watched old films and read Jules Verne.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The comma after ""everything"" is unnecessary and disrupts the flow of the sentence.
[Minor]: [punctuation] - The comma after ""fun way"" is unnecessary and disrupts the flow of the sentence.
```"
86,"Манипулируя банальностями, не отказывая себе в цинизме и не стесняясь риско","Manipulating banalities, not denying oneself cynicism, and not hesitating to take risks.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The sentence should end with a period.
```"
90,"Город переполошило древнее чудовище, которое пробудил к жизни старый медиум.",The city was alarmed by an ancient monster that was brought to life by an old medium.,"```
MQM annotations:
linguistic conventions errors:
Minor: punctuation - The comma after ""medium"" is missing, which would improve the readability of the sentence.
```"
92,С той же целью девушка тащит из Египта настоящую мумию.,"With the same purpose, the girl is bringing a real mummy from Egypt.","```
MQM annotations:
linguistic conventions errors:
[Critical]: None
[Major]: None
[Minor]: punctuation - The comma after ""purpose"" is not necessary and disrupts the flow of the sentence.
```"
96,"Стиль Бессона в этом фильме складывается из словесного трюкачества, актерской клоунады и сюжетной эквилибристики (цирковые термины вполне уместны - единение двух искусств здесь органично и крепко как никогда).","Besson's style in this film consists of verbal trickery, acting clownery, and plot acrobatics (circus terms are quite appropriate here—the union of the two arts is as organic and strong as ever).","```
MQM annotations:
linguistic conventions errors:
[Minor]: punctuation - The dash should be an em dash (—) instead of a hyphen (-) for proper punctuation.
```"
98,"В ней воплотился незаслуженно забытый типаж авантюристки, которая берет не столько эксплуатацией сексуальности, сколько чистейшим куражом и отвагой.",It embodies an undeservedly forgotten archetype of an adventuress who relies not so much on exploiting sexuality as on pure daring and courage.,"```
MQM annotations:
linguistic conventions errors:
Minor: punctuation - The comma before ""as"" is unnecessary and disrupts the flow of the sentence.
```"
99,"В кино к таким девушкам, как правило, приставляют какого-нибудь дежурного мачо или волоокого романтика","In movies, such girls are usually paired with some macho guy on duty or a doe-eyed romantic.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The comma before ""or"" is not necessary in this context.
```"
104,"Натренированный на многочисленных жанровых «кошках» и, казалось, совсем скисший Люк Бессон проявил неожиданную творческую лихость, напомнив, что граница между предпочтениями скучающих посетителей мегамоллов и высоколобых завсегдатаев арт-хаусных залов легко преодолевается фильмами для жизнерадостных безумцев.","Trained on numerous genre ""cats"" and seemingly completely deflated, Luc Besson displayed unexpected creative audacity, reminding us that the boundary between the preferences of bored megamall visitors and the highbrow regulars of arthouse theaters is easily crossed by films for cheerful madmen.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The comma after ""deflated"" should be followed by a conjunction for better grammatical structure.
[Minor]: [punctuation] - The comma after ""audacity"" should be followed by a conjunction for better grammatical structure.
[Minor]: [punctuation] - The comma after ""theaters"" should be followed by a conjunction for better grammatical structure.
```"
107,"Герметичный хоррор с претензией на психологизм и политический контекст 2002 году дебютный ужастик Джонатана Либесмана был разруган критикой, но понравился публике и хорошо заработал в прокате, а главное - попался на глаза продюсеру Майклу Бэю.","The airtight horror with a claim to psychological depth and political context, Jonathan Liebesman's debut horror film in 2002 was panned by critics but liked by the audience and did well at the box office. Most importantly, it caught the eye of producer Michael Bay.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The comma after ""political context"" is not necessary and disrupts the flow of the sentence.
[Minor]: [grammar] - The phrase ""Jonathan Liebesman's debut horror film in 2002"" would be clearer as ""Jonathan Liebesman's 2002 debut horror film"" to improve readability.
```"
115,А трое мужчин в запертой комнате пытаются выработать стратегию выживания: объединиться в команду или перестрелять друг друга?,And three men in a locked room are trying to devise a survival strategy: to team up or to shoot each other?,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The colon after ""strategy"" should be followed by a lowercase letter, as it introduces a list or explanation.
```"
117,Или пытаться сломать свою клетку любой ценой?,"""Or try to break your cage at any cost?""","```
MQM annotations:
linguistic conventions errors:
Minor: Punctuation - The sentence should end with a period for proper punctuation.
```"
118,"Проверку проходят не только они, но и молодая амбициозная сотрудница спецслужб, которую тестирует на безжалостность поднаторевший в диких экспериментах опытный профессор.","The test is being taken not only by them but also by a young ambitious intelligence officer, who is being tested for ruthlessness by an experienced professor skilled in wild experiments.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The comma after ""officer"" is unnecessary and disrupts the flow of the sentence.
```"
120,Их сажают в изолированную комнату и выдают каждому кипу листов с бессмысленными вопросами.,They are placed in an isolated room and given a stack of sheets with meaningless questions.,"```
MQM annotations:
linguistic conventions errors:
Minor: grammar - The phrase ""given a stack of sheets"" could be more grammatically precise as ""given stacks of sheets"" to align with the plural ""each"" referring to multiple individuals.
```"
122,"Начинается игра на выживание, за которой за стеклом внимательно наблюдают правительственные агенты.","The survival game begins, closely watched by government agents behind the glass.","```
MQM annotations:
linguistic conventions errors:
[Critical]: None
[Major]: None
[Minor]: punctuation - The comma after ""begins"" is missing, which would improve the readability of the sentence.
```"
126,"Куртуазным образом жизни отца она уязвлена и откровенно подглядывает за тем, как он, словно пародируя знаменитую сцену из «Шоугелз» Пола Верхувена, ныряет в бассейн за очередной романтической жертвой.","She is hurt by her father's courtly lifestyle and openly spies on him as he, seemingly parodying the famous scene from Paul Verhoeven's ""Showgirls,"" dives into the pool after yet another romantic target.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The comma after ""Showgirls"" is unnecessary and disrupts the flow of the sentence.
```"
129,Вялую мелодраматическую Мгер Мкртчан вместе с Павлом Бардиным снял комедию с Иваном Ургантом «Трое и снежинка».,"The sluggish melodrama Mger Mkrtchyan, along with Pavel Bardin, made a comedy with Ivan Urgant called ""Three and a Snowflake.""","```
MQM annotations:
linguistic conventions errors:
Major: word order - The phrase ""The sluggish melodrama Mger Mkrtchyan"" is awkward and disrupts the flow. It should be reordered for clarity.
Minor: punctuation - The sentence lacks a comma after ""Pavel Bardin,"" which would improve readability.
```"
133,"Особенно жалко линию про бизнес по перекупке футбольных игроков, так и оставшийся за кадром.",It's especially unfortunate that the storyline about the business of trading football players was left out.,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The sentence lacks a period at the end.
```"
