index,original,single_agent_translation,single_agent_improved_translation
6,"Соревнования личные с командным зачетом, участвуют спортсмены команд субъектов РФ, в одной возрастной группе — мужчины, женщины.","The competitions are individual with a team scoring, involving athletes from teams of the subjects of the Russian Federation, in one age group — men, women.","The competitions are individual with team scoring, involving athletes from teams representing the federal subjects of Russia, in a single age group for both men and women."
9,"Перезачет результатов для спортсменов, которые не принимали участие в данных соревнованиях, не производится, а очки для командного зачета не начисляются.","The transfer of results for athletes who did not participate in these competitions is not conducted, and points for the team standings are not awarded.","The transfer of results for athletes who did not participate in these competitions is not conducted, and points for the team standings are not awarded."
14,"В эстафетном беге спортсмены, могут выступать только за команду одной территории.","In relay races, athletes can compete only for a team from one territory.","In relay races, athletes can compete only for a team from one territory."
23,Официальная тренировка на соревновательной арене 14 февраля с 16:00 до 19:00. В соревновательные дни — вне времени соревнований.,"Official training at the competition venue on February 14 from 4:00 PM to 7:00 PM. On competition days, outside of competition times.","Official training at the competition venue on February 14 from 4:00 PM to 7:00 PM. On competition days, training is held outside of competition times."
26,СаЙ Коот будет расположен за вторым виражом рядом с сектором толкания ядра.,Sai Koot will be located after the second turn next to the shot put sector.,Sai Koot will be located after the second turn next to the shot put sector.
29,Уход участников с места соревнований без разрешения рефери запрещается.,Participants leaving the competition area without the referee's permission is prohibited.,Participants are prohibited from leaving the competition area without the referee's permission.
35,"В беге на 60 м и беге с барьерами 60 м соревнования проводятся в 3 круга, выход в следующий круг будет определен по окончанию приема заявок.","In the 60 m sprint and 60 m hurdles, the competitions are held in 3 rounds, and advancement to the next round will be determined after the registration period ends.","In the 60 m sprint and 60 m hurdles, the competitions are held in 3 rounds, and advancement to the next round will be determined after the registration period ends."
39,"В прыжках и метаниях проводятся квалификационные (в случае более 16 заявленным спортсменов) и финальные соревнования, для участия в которых необходимо пройти квалификацию.","In jumping and throwing events, qualifying (if more than 16 athletes are registered) and final competitions are held, and qualification is required to participate in the finals.","In jumping and throwing events, qualifying (if more than 16 athletes are entered) and final competitions are held, and qualification is required to participate in the finals."
57,Техническое совещание ГСК с официальными представителями команд состоится 14 февраля в 18:00 в конференц-зале манежа ЛФК ЦСКА.,The technical meeting of the GSK with official team representatives will take place on February 14 at 18:00 in the conference hall of the CSKA LFK arena.,The technical meeting of the State Sports Committee (GSK) with official team representatives will take place on February 14 at 18:00 in the conference hall of the CSKA LFK arena.
59,"Июльский номер традиционно сдается во время Московского кинофестиваля, и это, конечно, очень грустно: вычитывать полосы, когда душа рвется на Шаброля.","The July issue is traditionally submitted during the Moscow Film Festival, and this is, of course, very sad: proofreading pages when the soul longs for Chabrol.","The July issue is traditionally submitted during the Moscow Film Festival, and this is, of course, very sad, proofreading pages when the soul yearns to experience Chabrol's films."
