index,original,translated,locale_convention_annotation
6,"Соревнования личные с командным зачетом, участвуют спортсмены команд субъектов РФ, в одной возрастной группе — мужчины, женщины.","The competitions are individual with a team scoring, involving athletes from teams of the subjects of the Russian Federation, in one age group — men, women.","```
MQM annotations:
Style Errors
[major]: [unnatural_flow] - The phrase ""involving athletes from teams of the subjects of the Russian Federation"" is awkward and could be rephrased for better flow.
[minor]: [unnatural_flow] - The phrase ""in one age group — men, women"" is awkward and could be rephrased for clarity and natural flow.
```"
9,"Перезачет результатов для спортсменов, которые не принимали участие в данных соревнованиях, не производится, а очки для командного зачета не начисляются.","The transfer of results for athletes who did not participate in these competitions is not conducted, and points for the team standings are not awarded.","```
MQM annotations:
Styles error:
minor: unnatural_flow - The phrase ""The transfer of results for athletes who did not participate in these competitions is not conducted"" could be more naturally expressed as ""Results are not transferred for athletes who did not participate in these competitions.""
minor: unnatural_flow - The phrase ""points for the team standings are not awarded"" could be more naturally expressed as ""points are not awarded for the team standings.""
```"
14,"В эстафетном беге спортсмены, могут выступать только за команду одной территории.","In relay races, athletes can compete only for a team from one territory.","```
MQM annotations:
Styles error:
minor: unnatural flow - The phrase ""for a team from one territory"" could be more naturally expressed as ""for a team representing a single territory.""
```"
23,Официальная тренировка на соревновательной арене 14 февраля с 16:00 до 19:00. В соревновательные дни — вне времени соревнований.,"Official training at the competition venue on February 14 from 4:00 PM to 7:00 PM. On competition days, outside of competition times.","```
MQM annotations:
Style Errors
minor: unnatural_flow - The phrase ""outside of competition times"" could be more naturally expressed as ""outside competition hours"" for better flow.
```"
26,СаЙ Коот будет расположен за вторым виражом рядом с сектором толкания ядра.,Sai Koot will be located after the second turn next to the shot put sector.,"```
MQM annotations:
Style Errors
minor: UNNATURAL FLOW - The phrase ""after the second turn"" could be expressed more naturally as ""beyond the second turn"" for better readability.
```"
29,Уход участников с места соревнований без разрешения рефери запрещается.,Participants leaving the competition area without the referee's permission is prohibited.,"```
MQM annotations:
Styles error:
[minor]: [unnatural_flow] - The translation reads awkwardly and could be more naturally phrased as ""It is prohibited for participants to leave the competition area without the referee's permission.""
```"
35,"В беге на 60 м и беге с барьерами 60 м соревнования проводятся в 3 круга, выход в следующий круг будет определен по окончанию приема заявок.","In the 60 m sprint and 60 m hurdles, the competitions are held in 3 rounds, and advancement to the next round will be determined after the registration period ends.","```
MQM annotations:
Styles error:
minor: unnatural_flow - The phrase ""advancement to the next round will be determined after the registration period ends"" could be more naturally expressed as ""advancement to the next round will be decided after the registration period ends.""
```"
39,"В прыжках и метаниях проводятся квалификационные (в случае более 16 заявленным спортсменов) и финальные соревнования, для участия в которых необходимо пройти квалификацию.","In jumping and throwing events, qualifying (if more than 16 athletes are registered) and final competitions are held, and qualification is required to participate in the finals.","```
MQM annotations:
Styles error:
minor: unnatural_flow - The phrase ""qualifying (if more than 16 athletes are registered) and final competitions are held"" could be rephrased for better readability and flow, such as ""qualifying competitions are held if more than 16 athletes are registered, followed by the finals.""
```"
57,Техническое совещание ГСК с официальными представителями команд состоится 14 февраля в 18:00 в конференц-зале манежа ЛФК ЦСКА.,The technical meeting of the GSK with official team representatives will take place on February 14 at 18:00 in the conference hall of the CSKA LFK arena.,"```
MQM annotations:
Style Errors:
[minor]: [unnatural_flow] - The phrase ""the technical meeting of the GSK with official team representatives"" could be more naturally expressed as ""the GSK technical meeting with official team representatives.""
```"
59,"Июльский номер традиционно сдается во время Московского кинофестиваля, и это, конечно, очень грустно: вычитывать полосы, когда душа рвется на Шаброля.","The July issue is traditionally submitted during the Moscow Film Festival, and this is, of course, very sad: proofreading pages when the soul longs for Chabrol.","```
MQM annotations:
Styles error:
minor: unnatural_flow - The phrase ""proofreading pages when the soul longs for Chabrol"" reads awkwardly and could be rephrased for a more natural flow, such as ""proofreading pages while longing for Chabrol.""
```"
62,"А еще мы в этот раз публикуем первую часть довольно подробного гида по творчеству Альфреда Хичкока, и вот тут уж точно не нужно ничего специально рекламировать, и ежу понятно, что автор «Подозрения» и «Веревки» - это наше Татьяна Алешичева, Борис Глейзеров, Анна Головня, Ник Де Семлин, Дэн Джолин, Тамара Дондурей, Николай Караев, Денис Корсаков, Мария Кувшинова, Иван Куликов, Уилл Лоуренс, Сергей Мезенов, Сергей Натапов, Иан Нейтан, Ким Ньюмэн, Заира Озова, Нев Пирс, Алексей Простяков, Серафима Скибюк, Адам Смит, Мур Соболева, Василий Степанов, Александр Стрелков, Олли Ричардс, Олег Тищенков, Алена Логунова, Крис Хьюитт, Ольга Шакина лондинку-цэрэушницу Эвелин Солт, несмотря на блестящий послужной список, заподозрили в шпионаже в пользу русских и решили во что бы то ни стало изловить.","Here's the translation of the provided text:

""Additionally, this time we are publishing the first part of a rather detailed guide on the works of Alfred Hitchcock, and there is certainly no need for any special promotion here. It's obvious to everyone that the author of 'Suspicion' and 'Rope' is our Tatiana Aleshicheva, Boris Gleizerov, Anna Golovnya, Nick De Semlyen, Dan Jolin, Tamara Dondurey, Nikolai Karaev, Denis Korsakov, Maria Kuvshinova, Ivan Kulikov, Will Lawrence, Sergey Mezenov, Sergey Natapov, Ian Nathan, Kim Newman, Zaira Ozova, Nev Pierce, Alexey Prostyakov, Serafima Skibyuk, Adam Smith, Mur Soboleva, Vasily Stepanov, Alexander Strelkov, Olly Richards, Oleg Tishchenkov, Alena Logunova, Chris Hewitt, Olga Shakina. Despite her brilliant track record, Evelyn Salt, a London-based CIA agent, was suspected of espionage in favor of the Russians and they decided to catch her at all costs.""","```
MQM annotations:
major: style/unnatural flow - The phrase ""and there is certainly no need for any special promotion here"" reads awkwardly and could be more naturally expressed.
minor: style/unnatural flow - The phrase ""It's obvious to everyone that the author of 'Suspicion' and 'Rope' is our"" is slightly awkward and could be rephrased for smoother readability.
minor: style/unnatural flow - The transition to ""Despite her brilliant track record"" is abrupt and could be improved for better flow.
```"
63,"Загнанная в угол, она перекрасится в привычный нам черный и сама отправится искать правду.","Cornered, she will dye her hair the familiar black and set out to find the truth herself.","```
MQM annotations:
Styles error:
major: unnatural_flow - The phrase ""dye her hair the familiar black"" reads awkwardly and could be rephrased for smoother flow, such as ""dye her hair black, a color we are familiar with.""
```"
66,Примерно так красота и должна спасать мир.,Something like this is how beauty should save the world.,"```
MQM annotations:
Styles error:
[minor]: [UNNATURAL FLOW] - The phrase ""Something like this is how beauty should save the world"" reads awkwardly and lacks natural flow in English. A more natural expression would be ""This is how beauty should save the world"" or ""This is how beauty is supposed to save the world.""
```"
67,"Вот он, родной, взорвавший и починивший мир «Пятым элементом» и сделавший Миллу Йовович самой прекрасной женщиной во вселенной.","Here he is, the one who blew up and fixed the world with ""The Fifth Element"" and made Milla Jovovich the most beautiful woman in the universe.","```
MQM annotations:
Styles error:
major: UNNATURAL FLOW - The phrase ""blew up and fixed the world"" reads awkwardly and could be expressed more naturally.
minor: UNNATURAL FLOW - The phrase ""made Milla Jovovich the most beautiful woman in the universe"" could be rephrased for a smoother flow.
```"
70,Что делал Бессон 13 лет между «Элементом...» и «Аделью...» вспоминать не хочется.,"What Besson did during the 13 years between ""The Fifth Element"" and ""Adèle..."" is something I don't want to remember.","```
MQM annotations:
Styles error:
minor: UNNATURAL FLOW - The phrase ""is something I don't want to remember"" reads awkwardly and could be more naturally expressed as ""is something I prefer not to recall.""
```"
71,"Он, мягко говоря, без дела не сидел, но вся эта сценарно-продюсерская суета и редкие, вымученные режиссерские выступления забудутся.","He, to put it mildly, was not idle, but all this scriptwriting and producing hustle and the rare, strained directorial appearances will be forgotten.","```
MQM annotations:
Styles error:
minor: UNNATURAL FLOW - The phrase ""to put it mildly, was not idle"" reads awkwardly and could be more naturally expressed.
minor: UNNATURAL FLOW - The phrase ""all this scriptwriting and producing hustle"" could be rephrased for smoother readability.
minor: UNNATURAL FLOW - The phrase ""the rare, strained directorial appearances"" could be rephrased for a more natural flow.
```"
72,А вот «Адель...» — едва ли.,"But ""Adele..."" — hardly.","```
MQM annotations:
Styles error:
minor: unnatural flow - The phrase ""But 'Adele...' — hardly."" sounds awkward and lacks natural flow in English. A more natural expression might be ""But 'Adele...' is unlikely.""
```"
73,"Когда смотришь это кино, кажется, что 13 лет перед нами был не наш Бессон, а какой-то двойник.","When you watch this movie, it seems that for the past 13 years, it wasn't our Besson, but some kind of double.","```
MQM annotations:
Styles error:
minor: unnatural flow - The phrase ""it wasn't our Besson, but some kind of double"" reads awkwardly and could be more naturally expressed.
```"
76,"Тут весь невероятный драйв заключается в том, что за каждым поворотом или репликой вас поджидают сюрпризы.",The whole incredible thrill here lies in the fact that surprises await you around every corner or line.,"```
MQM annotations:
Styles error:
[major]: [UNNATURAL FLOW] - The phrase ""surprises await you around every corner or line"" sounds awkward and could be more naturally expressed.
```"
77,И все как один приятные.,"""And all of them are pleasant.""","```
MQM annotations:
Styles error:
minor: unnatural_flow - The translation ""And all of them are pleasant"" is grammatically correct but reads somewhat awkwardly. A more natural expression could be ""They are all pleasant.""
```"
78,"То ли девушка, то ли видение",Either a girl or a vision,"```
MQM annotations:
Styles error:
[major]: [style/unnatural_flow] - The phrase ""Either a girl or a vision"" reads awkwardly and lacks natural flow. A more natural expression might be ""A girl or perhaps a vision.""
```"
84,"Режиссер не бежит за зрителем с протянутой рукой, умоляя оценить спецэффекты, декорации или трюки, а увлекает за собой, как старомодный романист, восклицающий пред большим путешествием к центру земли или на край света: «Вперед, мой читатель, нас ждут великие дела!»","The director does not chase after the audience with an outstretched hand, begging them to appreciate the special effects, sets, or stunts. Instead, he captivates them like an old-fashioned novelist, exclaiming before a grand journey to the center of the earth or to the ends of the world: ""Onward, my reader, great deeds await us!""","```
MQM annotations:
Styles error:
[major]: [UNNATURAL FLOW] - The phrase ""begging them to appreciate the special effects, sets, or stunts"" reads awkwardly and could be more naturally expressed.
[minor]: [UNNATURAL FLOW] - The phrase ""exclaiming before a grand journey to the center of the earth or to the ends of the world"" is slightly awkward and could be rephrased for better flow.
```"
85,"При этом Бессон обращается с жанровым кино, про которое знает решительно все, бесцеремонно и весело, как мальчишка, насмотревшийся старых фильмов и начитавшийся Жюля Верна.","Besson approaches genre cinema, about which he knows absolutely everything, in a cheeky and fun way, like a boy who has watched old films and read Jules Verne.","```
MQM annotations:
Style errors:
minor: unnatural flow - The phrase ""in a cheeky and fun way"" could be rephrased for a more natural flow in English, such as ""with a cheeky and fun approach.""
```"
