index,original,translated,locale_convention_annotation
6,"Соревнования личные с командным зачетом, участвуют спортсмены команд субъектов РФ, в одной возрастной группе — мужчины, женщины.","The competitions are individual with a team scoring, involving athletes from teams of the subjects of the Russian Federation, in one age group — men, women.","```
MQM annotations:
Terminology errors:
None
```

In this case, there are no terminology errors present in the translation. The translation accurately reflects the source text, and there are no issues with glossary terms."
9,"Перезачет результатов для спортсменов, которые не принимали участие в данных соревнованиях, не производится, а очки для командного зачета не начисляются.","The transfer of results for athletes who did not participate in these competitions is not conducted, and points for the team standings are not awarded.","```
MQM annotations:
Terminology errors:
None
```

In this translation, there are no terminology errors related to the glossary entries. The translation accurately reflects the source text, and no glossary terms are misapplied or incorrectly used."
14,"В эстафетном беге спортсмены, могут выступать только за команду одной территории.","In relay races, athletes can compete only for a team from one territory.","```
MQM annotations:
Terminology errors:
no-error
```"
23,Официальная тренировка на соревновательной арене 14 февраля с 16:00 до 19:00. В соревновательные дни — вне времени соревнований.,"Official training at the competition venue on February 14 from 4:00 PM to 7:00 PM. On competition days, outside of competition times.","```
MQM annotations:
Terminology errors:
None
```

In this translation segment, there are no terminology errors related to the glossary entries. The terms used in the translation are appropriate and correctly applied according to the provided guidelines."
26,СаЙ Коот будет расположен за вторым виражом рядом с сектором толкания ядра.,Sai Koot will be located after the second turn next to the shot put sector.,"```
MQM annotations:
Terminology errors:
major: WRONG TERM - ""Sai Koot"" should be ""Sai Kot"" as per the glossary specification.
```"
29,Уход участников с места соревнований без разрешения рефери запрещается.,Participants leaving the competition area without the referee's permission is prohibited.,"```
MQM annotations:
Terminology errors:
None
```

In this case, there are no terminology errors in the translation. The translation correctly conveys the meaning of the source text, and there are no glossary terms that have been incorrectly applied or are inappropriate for the context."
35,"В беге на 60 м и беге с барьерами 60 м соревнования проводятся в 3 круга, выход в следующий круг будет определен по окончанию приема заявок.","In the 60 m sprint and 60 m hurdles, the competitions are held in 3 rounds, and advancement to the next round will be determined after the registration period ends.","```
MQM annotations:
Terminology errors:
None
```"
39,"В прыжках и метаниях проводятся квалификационные (в случае более 16 заявленным спортсменов) и финальные соревнования, для участия в которых необходимо пройти квалификацию.","In jumping and throwing events, qualifying (if more than 16 athletes are registered) and final competitions are held, and qualification is required to participate in the finals.","```
MQM annotations:
Terminology errors:
no-error
```"
57,Техническое совещание ГСК с официальными представителями команд состоится 14 февраля в 18:00 в конференц-зале манежа ЛФК ЦСКА.,The technical meeting of the GSK with official team representatives will take place on February 14 at 18:00 in the conference hall of the CSKA LFK arena.,"```
MQM annotations:
Terminology errors:
minor: WRONG TERM - The term ""CSKA LFK arena"" should be ""CSKA LFK Manege"" to accurately reflect the source text's use of ""манежа ЛФК ЦСКА"" (manege of LFK CSKA).
```"
59,"Июльский номер традиционно сдается во время Московского кинофестиваля, и это, конечно, очень грустно: вычитывать полосы, когда душа рвется на Шаброля.","The July issue is traditionally submitted during the Moscow Film Festival, and this is, of course, very sad: proofreading pages when the soul longs for Chabrol.","```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""Chabrol"" should have been translated as ""Шаброль"" in Russian.
```"
