index,original,zero_shot_translation,reference_translation
6,"Соревнования личные с командным зачетом, участвуют спортсмены команд субъектов РФ, в одной возрастной группе — мужчины, женщины.","The competitions are individual with a team scoring, involving athletes from teams of the subjects of the Russian Federation, in one age group — men, women.","Competitions are individual while testing is by team, participants are athletes from teams of subjects of the Russian Federation, and men and women are placed together in age groups."
9,"Перезачет результатов для спортсменов, которые не принимали участие в данных соревнованиях, не производится, а очки для командного зачета не начисляются.","The transfer of results for athletes who did not participate in these competitions is not conducted, and points for the team standings are not awarded.","There is no retesting of results for athletes who did not participate in the given competitions, and points for team testing are not counted."
14,"В эстафетном беге спортсмены, могут выступать только за команду одной территории.","In relay races, athletes can compete only for a team from one territory.","In the relay race, athletes may only participate for the team of a single territory."
23,Официальная тренировка на соревновательной арене 14 февраля с 16:00 до 19:00. В соревновательные дни — вне времени соревнований.,"Official training at the competition venue on February 14 from 4:00 PM to 7:00 PM. On competition days, outside of competition times.","Official training is conducted in the competition arena on February 14 from 16:00 to 19:00. On competition days, it is conducted outside of competition times."
26,СаЙ Коот будет расположен за вторым виражом рядом с сектором толкания ядра.,Sai Koot will be located after the second turn next to the shot put sector.,SaI Koot will be located around the second bend near the section for shot-put.
29,Уход участников с места соревнований без разрешения рефери запрещается.,Participants leaving the competition area without the referee's permission is prohibited.,Participants are forbidden from exiting the competition area without the permission of a referee.
35,"В беге на 60 м и беге с барьерами 60 м соревнования проводятся в 3 круга, выход в следующий круг будет определен по окончанию приема заявок.","In the 60 m sprint and 60 m hurdles, the competitions are held in 3 rounds, and advancement to the next round will be determined after the registration period ends.",The competitions for 60m run and 60m hurdles take place in 3 rounds. Qualification for the subsequent round is determined after ballots are submitted.
39,"В прыжках и метаниях проводятся квалификационные (в случае более 16 заявленным спортсменов) и финальные соревнования, для участия в которых необходимо пройти квалификацию.","In jumping and throwing events, qualifying (if more than 16 athletes are registered) and final competitions are held, and qualification is required to participate in the finals.","For jumps and javelin throws, qualifying competitions are held (if there are over 16 announced athletes), as are final competitions, which athletes must pass qualification to compete in."
57,Техническое совещание ГСК с официальными представителями команд состоится 14 февраля в 18:00 в конференц-зале манежа ЛФК ЦСКА.,The technical meeting of the GSK with official team representatives will take place on February 14 at 18:00 in the conference hall of the CSKA LFK arena.,The technical announcement of the chief panel of judges with the official team representatives will take place on February 14 at 18:00 in the conference hall of the Light-Athletic Football Complex CSKA.
59,"Июльский номер традиционно сдается во время Московского кинофестиваля, и это, конечно, очень грустно: вычитывать полосы, когда душа рвется на Шаброля.","The July issue is traditionally submitted during the Moscow Film Festival, and this is, of course, very sad: proofreading pages when the soul longs for Chabrol.","Traditionally, the July issue is submitted while the Moscow Film Festival is underway, which is, of course, quite tragic — having to proofread columns when your heart is yearning for Chabrol."
