index,original,translated,locale_convention_annotation
0,本文件按照 GB/T 1.1 一 202 久标准化工作导则第工部分:标准化文件的结构和起草规则的规定起惠。,This document was drafted in accordance with the rules given in GB/T 1.1-2020 Directives for standardization — Part 1: Structure and drafting rules for standardization documents.,"```
MQM annotations:
Style Errors:
Minor: Unnatural Flow - The phrase ""the rules given in"" is slightly wordy/redundant. While grammatically correct, simply stating ""in accordance with GB/T 1.1-2020..."" is often more concise and natural in English technical documents, as citing the standard implies following its rules or provisions.
```"
4,"在四字节编码区更改了18 个 GB/T 13000 代码位置(见附录 D,2005 年版的附录D);","18 GB/T 13000 code positions were changed in the four-byte encoding area (see Appendix D, Appendix D of the 2005 edition);","```
MQM annotations:
Styles error:
[major]: [style/unnatural_flow] - The repetition ""Appendix D, Appendix D"" is awkward and unnatural in English, stemming from a too-literal translation of the source structure.
[minor]: [style/unnatural_flow] - The semicolon at the very end of the sentence, especially after the closing parenthesis, is not standard English punctuation in this context and makes the sentence slightly awkward.
```"
8,请注意本文件的某些内容可能涉及专利。 本文件的发布机构不承担识别专利的责任。,Please note that some content of this document may be the subject of patent rights. The publishing organization of this document assumes no responsibility for identifying any or all such patent rights.,"```
MQM annotations:
Styles error:
minor: style/unnatural_flow - ""The publishing organization of this document"" sounds slightly literal and less natural than ""The publisher of this document"" or ""The organization publishing this document"".
minor: style/unnatural_flow - ""any or all such patent rights"" is slightly wordy, though common in legalistic text. ""any such patent rights"" would suffice.
```"
10,本文件及其所代替文件的历次版本发布情况为 :,The release history of previous versions of this document and the documents it supersedes is as follows:,"```
MQM annotations:
Styles error:
[Minor]: [Unnatural Flow] - The phrase ""The release history of previous versions of this document and the documents it supersedes"" is understandable but slightly wordy and lacks ideal natural flow due to the nested prepositional phrases.
```"
13,信息扩术 ”中文编码字符集,Information Technology Chinese Encoding Character Set,"```
MQM annotations:
Style error:
minor: style/unnatural_flow - The phrase ""Information Technology Chinese Encoding Character Set"" is understandable but reads awkwardly due to the direct concatenation of terms. More natural phrasing might involve punctuation or reordering, e.g., ""Information Technology - Chinese Encoding Character Set"" or ""Chinese Encoding Character Set (Information Technology)"".
```"
16,"本文件适用于为具备中文和其他文字图形字符信息化处理及交换功能的技术类产品,包括但不限于以输入法、光学字符识别 (OCR)、编辑 校对、机融翻诺、语音合成、文字转写、乔能写作等为代表的软件产品 , 以及以计算机、通信终端设备、电子书阅读毅、学习机等为代表的便件产品 。","This document applies to technical products equipped with capabilities for information processing and exchange of Chinese and other text and graphic characters, including but not limited to software products such as input methods, optical character recognition (OCR), editing and proofreading, machine translation, speech synthesis, text transcription, and intelligent writing, as well as hardware products such as computers, communication terminal equipment, e-book readers, and learning machines.","```
MQM annotations:
Style error:
[Minor]: [style/unnatural_flow] - The phrase ""text and graphic characters"" is a somewhat literal translation of ""文字图形字符"" and sounds slightly unnatural or awkward in this context. Phrases like ""text characters and graphics"" or simply ""characters (including text and graphics)"" might offer better flow in English technical writing.
```"
20,GB/T 2312 一 1980 ”信息交换用汉字编码字符集 ”基本集,"GB/T 2312-1980 ""Coded Chinese Character Set for Information Interchange"" Basic Set","```
MQM annotations:
critical: no-error
major: no-error
minor: no-error
```"
21,GB/I 11383 一 1989 信息 处理 ”信息交换用八位代码结构和编码规则,GB/I 11383—1989 Information processing — 8-bit code structure and coding rules for information interchange,"```
MQM annotations:
Styles error:
Minor: Locale Convention/Formatting - The source uses ""一 1989"" after the standard number. The translation uses ""—1989"". While using a dash is appropriate, the standard format for GB standards in English is typically GB/T XXXX-YYYY (using a hyphen, not an em dash). Using ""—"" instead of ""-"" is a minor formatting deviation from the most common convention for GB standards.
```"
25,3.1 字符 character,character,"```
MQM annotations:
Styles error:
[minor]: [no-error] - None
```"
30,使用符合本文件的产品的使用者可以自行规定的区域。,Areas that users of products conforming to this document can specify themselves.,"```
MQM annotations:
Styles error:
Minor: Unnatural Flow - The phrasing ""Areas that users of products conforming to this document can specify themselves"" is grammatically correct but slightly awkward and less natural-sounding than alternatives like ""Users of products conforming to this document can specify their own areas."" The structure with the long relative clause feels a bit cumbersome.
```"
34,留作未来本文件规定的区 域 。,Reserved for the future area specified in this document.,"```
MQM annotations:
Styles error:
[Minor]: [Unnatural Flow] - The phrase ""future area specified in this document"" is grammatically correct but slightly awkward and reads literally. A more natural phrasing might be ""Area specified in this document, reserved for future use"" or ""Reserved for future use for the area specified in this document.""
```"
36,4 字汇,Vocabulary 4,"```
MQM annotations:
Styles error:
critical: no-error
major: no-error
minor: no-error
```"
40,4.3 双字节部分,4.3 Double-byte section,"```
MQM annotations:
Styles error:
minor: no-error - None
```"
41,双字节部分收录了 GB/T 2312 一 1980 中的全部图形字符 GB/T 13000 中的CJK 统一汉字以及部分图形字符。,"The double-byte section includes all graphic characters from GB/T 2312-1980, as well as the CJK unified ideographs and some graphic characters from GB/T 13000.","```
MQM annotations:
critical: no-error
major: no-error
minor: no-error
```"
43,"其中,表意文字描述符的图形、代码位置和功能应符合附录 B 的规定 。","Wherein, the graphics, code positions, and functions of the ideographic character descriptors shall conform to the provisions of Appendix B.","```
MQM annotations:
Style error:
minor: unnatural_flow - ""Wherein,"" is grammatically correct but sounds slightly archaic or overly formal/legalistic in many modern technical contexts. Starting the sentence directly or using ""In this context,"" or similar might flow more naturally.
```"
45,"具备独有抽象字形的汉字,赋予单独的代码位置;来源不同而抽象字形相同的汉字, 则赋予共用的代码位置。",Chinese characters with unique abstract glyphs are assigned separate code points; Chinese characters from different sources but with identical abstract glyphs are assigned shared code points.,"```
MQM annotations:
Style error:
minor: [style/unnatural_flow] - While grammatically correct, the repetition of ""Chinese characters... are assigned... code points"" makes the sentence structure slightly less elegant and more literal than ideal. A more natural flow might combine the subjects or use pronouns/ellipses, e.g., ""Chinese characters with unique abstract glyphs are assigned separate code points, while those from different sources but with identical abstract glyphs share code points."" However, the current structure is clear and common in technical contexts.
```"
47,4.4 四字节部分,4.4 Four-byte section,"```
MQM annotations:
critical: no-error
major: no-error
minor: no-error
```"
48,四字节部分收录了上述双字节字符之外的 GB/T 13000 中的 66 个CJK统一汉字(9FA6 一 9FEF，不包括 9FB4~9FBB 的8个字符)、CJK 统一汉字扩充 A、CJK 统一汉字扩充 BCJK 统一汉字扩充 C、 CJK 统一汉字扩充 DCJK 统一汉字扩充下 .CJK 统一汉字扩充 F 和已经 在 GB/ 工 13000 中编码的少数民族文字的字符。,"The four-byte section includes, in addition to the aforementioned double-byte characters, 66 CJK Unified Ideographs from GB/T 13000 (9FA6–9FEF, excluding the 8 characters from 9FB4–9FBB), CJK Unified Ideographs Extension A, CJK Unified Ideographs Extension B, CJK Unified Ideographs Extension C, CJK Unified Ideographs Extension D, CJK Unified Ideographs Extension E, CJK Unified Ideographs Extension F, and characters for minority scripts already encoded in GB/T 13000.","```
MQM annotations:
critical: no-error
major: no-error
minor: no-error
```"
52,"附录中凡编码的表示均采用十六进制,其他数字的表示均采用十进制。","In the appendix, all encoded representations are in hexadecimal, and all other numbers are represented in decimal.","```
MQM annotations:
Styles error:
[critical]: [no-error] - None
[major]: [no-error] - None
[minor]: [no-error] - None
```"
58,6 字符的排列顺序,Order of 6 characters,"```
MQM annotations:
critical: no-error
major: no-error
minor: no-error
```"
59,6.1 单字刷部分字符的排列顺序,6.1 Arrangement order of some characters in single-character rendering/display.,"```
MQM annotations:
critical: no-error
major: no-error
minor: style/unnatural_flow - The phrase ""rendering/display"" using a slash is slightly awkward in this context. While understandable, choosing one term (e.g., ""rendering"" or ""display"" depending on context) or rephrasing (e.g., ""for single-character rendering"") would sound more natural.
```"
60,单字记部分字符按照 GB/I 11383 一 1989 中相应字符的顺序排列 。,Characters in the single-character section are arranged according to the order of the corresponding characters in GB/I 11383-1989.,"```
MQM annotations:
Style error:
Minor: no-error
```"
67,7 码位分配,7 Code point allocation,"```
MQM annotations:
critical: no-error
major: no-error
minor: no-error
```"
71,2.双字部分的码位分配,2. Code position assignment for the two-character part.,"```
MQM annotations:
Style error:
minor: style/unnatural_flow - ""for the two-character part"" sounds a bit literal and less natural than alternatives like ""for two-character sequences"" or ""for the section concerning two characters"", depending on context.
```"
72,"双字节部分的码位安排分为 0x8140~ 一 0xFE7E 和 0x8180 一 0xFEFE 两部分, 共 23940 个码位。","The code points for the double-byte section are divided into two parts: 0x8140-0xFE7E and 0x8180-0xFEFE, for a total of 23,940 code points.","```
MQM annotations:
Style error:
Minor: [Unnatural Flow] - While grammatically correct, the phrase ""for the double-byte section"" is slightly less natural than ""of the double-byte section"" or placing the description earlier, e.g., ""For the double-byte section, the code points are divided..."". However, this is a very minor point in technical text.
```"
75,双字节 1 区 : 846 码位,Double-byte Section 1: Code point 846,"```
MQM annotations:
minor: style/unnatural_flow - ""Section 1"" is a literal translation of ""1 区"". While understandable, in the context of character encoding or data structures, ""Area 1"" or ""Region 1"" might sound more natural or be more standard terminology depending on the specific system being described. ""Section"" feels slightly stiff.
```"
77,首字节 0xA8~0xA9 双字节 5 区 : 192 码 位,"First byte 0xA8-0xA9, double-byte Zone 5: 192 code points.","```
MQM annotations:
Styles error:
Minor: Unnatural Flow - The phrasing ""double-byte Zone 5"" is slightly awkward, though understandable. ""Double-byte zone 5"" or ""Zone 5 (double-byte)"" might flow more naturally in English technical writing.
```"
78,3.双字蔬部分编码空间结构图,3. Two-character vegetable part encoding space structure diagram.,"```
MQM annotations:
major: style/unnatural_flow - The phrase ""Two-character vegetable part"" is awkward and unnatural as a modifier for ""encoding space structure diagram"". It reads like a direct, literal translation of the noun components without creating a fluent English phrase. A better structure might be ""Structure Diagram of the Encoding Space for the Two-Character Vegetable Part"" or similar, depending on the exact technical meaning.
```"
84,表 3 中没有指明的四字节人码位分配见 6.3。,The allocation of four-byte code points not specified in Table 3 is given in 6.3.,"```
MQM annotations:
critical: no-error
major: no-error
minor: no-error
```"
85,表 3 四字闻部分的码位安排,Table 3: Code point arrangement for the four-character section.,"```
MQM annotations:
Style Errors:
minor: style/unnatural_flow - While technically correct, ""four-character section"" sounds slightly less natural than alternatives like ""four-character block"" or ""section for four-character codes"" depending on the specific technical context, which is missing here. However, the current phrasing is understandable and common enough not to be a major issue.
```"
