index,original,translated,terminology_annotation
0,本文件按照 GB/T 1.1 一 202 久标准化工作导则第工部分:标准化文件的结构和起草规则的规定起惠。,This document was drafted in accordance with the rules given in GB/T 1.1-2020 Directives for standardization — Part 1: Structure and drafting rules for standardization documents.,"```
MQM annotations:
Terminology errors:
No terminology errors found.
```"
4,"在四字节编码区更改了18 个 GB/T 13000 代码位置(见附录 D,2005 年版的附录D);","18 GB/T 13000 code positions were changed in the four-byte encoding area (see Appendix D, Appendix D of the 2005 edition);","```
MQM annotations:
Terminology errors:
Minor: WRONG TERM - ""Appendix D of the 2005 edition"" is redundant after ""Appendix D"". While the source also repeats the term (""附录 D, 2005 年版的附录D""), a more natural English phrasing would be ""(see Appendix D; specifically, Appendix D of the 2005 edition)"" or possibly just ""(see Appendix D of the 2005 edition)"" if context allows, or ""(see Appendix D, and Appendix D of the 2005 edition)"" if they are distinct. The direct repetition is slightly awkward and could be considered a contextual misfit of the term due to redundancy, though it reflects the source structure.
```"
8,请注意本文件的某些内容可能涉及专利。 本文件的发布机构不承担识别专利的责任。,Please note that some content of this document may be the subject of patent rights. The publishing organization of this document assumes no responsibility for identifying any or all such patent rights.,"```
MQM annotations
Terminology errors:
None
```"
10,本文件及其所代替文件的历次版本发布情况为 :,The release history of previous versions of this document and the documents it supersedes is as follows:,"```
MQM annotations:
Terminology errors:
critical: None
major: None
minor: None
```"
13,信息扩术 ”中文编码字符集,Information Technology Chinese Encoding Character Set,"```
MQM annotations:
Terminology errors:
No-error - The translated terms ""Information Technology"" and ""Chinese Encoding Character Set"" are standard English terms and appropriate translations for the concepts (信息技术 - Information Technology; 中文编码字符集 - Chinese Encoding Character Set). Although the source text contains a likely typo (""信息扩术"" instead of ""信息技术""), the translation correctly identifies the intended meaning and uses the standard corresponding English term. There are no terminology errors (e.g., wrong term choice, typos, capitalization, inflection) within the translated terms themselves.
```"
16,"本文件适用于为具备中文和其他文字图形字符信息化处理及交换功能的技术类产品,包括但不限于以输入法、光学字符识别 (OCR)、编辑 校对、机融翻诺、语音合成、文字转写、乔能写作等为代表的软件产品 , 以及以计算机、通信终端设备、电子书阅读毅、学习机等为代表的便件产品 。","This document applies to technical products equipped with capabilities for information processing and exchange of Chinese and other text and graphic characters, including but not limited to software products such as input methods, optical character recognition (OCR), editing and proofreading, machine translation, speech synthesis, text transcription, and intelligent writing, as well as hardware products such as computers, communication terminal equipment, e-book readers, and learning machines.","```
MQM annotations:
Terminology errors:
No errors: Terminology - None.
```"
20,GB/T 2312 一 1980 ”信息交换用汉字编码字符集 ”基本集,"GB/T 2312-1980 ""Coded Chinese Character Set for Information Interchange"" Basic Set","```
MQM annotations:
Terminology errors:
[no-error]: [no-error] - None
```"
21,GB/I 11383 一 1989 信息 处理 ”信息交换用八位代码结构和编码规则,GB/I 11383—1989 Information processing — 8-bit code structure and coding rules for information interchange,"```
MQM annotations:
Accuracy Errors
minor: [terminology/locale_conventions/formatting] - The separator '一' in the Chinese standard number 'GB/I 11383 一 1989' was translated to an em dash '—' in 'GB/I 11383—1989', which is a standard locale convention difference for formatting standard designations but technically a change from the source character.
minor: [terminology/locale_conventions/punctuation] - The source uses a space and closing quotation mark ' ”' after '信息 处理' to separate the main subject from the specific topic. The target uses an em dash ' — ' for this separation ('Information processing — 8-bit...'), reflecting different punctuation conventions for titles/standards.
```"
25,3.1 字符 character,character,"```
MQM annotations:
Terminology errors:
critical: no-error
major: no-error
minor: no-error
```"
30,使用符合本文件的产品的使用者可以自行规定的区域。,Areas that users of products conforming to this document can specify themselves.,"```
MQM annotations:
critical: no-error
major: no-error
minor: no-error
```"
34,留作未来本文件规定的区 域 。,Reserved for the future area specified in this document.,"```
MQM annotations:
Accuracy Errors
[terminology]: [locale_conventions/error_subcategory] - None
```"
36,4 字汇,Vocabulary 4,"```
MQM annotations:
Accuracy Errors
[critical]: [no-error] - None
[major]: [no-error] - None
[minor]: [no-error] - None
```"
