index,original,zero_shot_translation,reference_translation
0,本文件按照 GB/T 1.1 一 202 久标准化工作导则第工部分:标准化文件的结构和起草规则的规定起惠。,This document is drafted in accordance with the rules given in Part 1 of the Standardization Guideline GB/T 1.1-202X: Structure and drafting of standardized documents.,"The rules in GB/T 1.1-202 are the establishment for this record, rules for Long-Term Standardization Work Segment II: Guidelines Record Structure and Composing Rules."
4,"在四字节编码区更改了18 个 GB/T 13000 代码位置(见附录 D,2005 年版的附录D);","18 GB/T 13000 code positions have been changed in the four-byte encoding area (see Appendix D, Appendix D of the 2005 edition).","Within the four-byte coding range, 18 GB/T 13000 code places have changed (see Reference section D, Reference section D of the 2005 version);"
8,请注意本文件的某些内容可能涉及专利。 本文件的发布机构不承担识别专利的责任。,Please note that some content of this document may involve patents. The issuing body of this document is not responsible for identifying patents.,Please be aware that this text may include references to patents in some places. This document's issuing agency disclaims any liability related to patent identification.
10,本文件及其所代替文件的历次版本发布情况为 :,The document and its superseded versions were released as follows:,The following describes the release status of earlier iterations of this document and the ones it replaces:
13,信息扩术 ”中文编码字符集,"Information Expansion Technique ""Chinese Coded Character Set""",Chinese CCC is an info expansion method
16,"本文件适用于为具备中文和其他文字图形字符信息化处理及交换功能的技术类产品,包括但不限于以输入法、光学字符识别 (OCR)、编辑 校对、机融翻诺、语音合成、文字转写、乔能写作等为代表的软件产品 , 以及以计算机、通信终端设备、电子书阅读毅、学习机等为代表的便件产品 。","This document applies to technical products with Chinese and other text and graphic character information processing and exchange capabilities, including but not limited to software products represented by input methods, Optical Character Recognition (OCR), editing and proofreading, machine translation, speech synthesis, text transcription, and intelligent writing, as well as hardware products represented by computers, communication terminal equipment, e-book readers, and learning machines.","This document covers technical products that process and exchange information in Chinese and other characters, including OCR, editing, translation, speech synthesis, and computer and communication equipment."
20,GB/T 2312 一 1980 ”信息交换用汉字编码字符集 ”基本集,"GB/T 2312-1980 ""Information exchange Chinese character coded character set"" Basic Set","Chinese character coded character set for information exchange, basic set, GB/T 2312-1980"
21,GB/I 11383 一 1989 信息 处理 ”信息交换用八位代码结构和编码规则,GB/T 11383-1989 Information Processing – Structure and rules for encoding of eight-bit coded character sets for information interchange,"Eight-bit code structure and coding guidelines for information sharing according to GB/I 11383-1989, ""Information processing"""
25,3.1 字符 character,character,3.1 Character character
30,使用符合本文件的产品的使用者可以自行规定的区域。,Areas definable by the user of products conforming to this document.,a region that the user of a product that complies with this document may specify.
34,留作未来本文件规定的区 域 。,Reserved for the future area stipulated in this document.,Area set aside for this document's future provisions.
36,4 字汇,Vocabulary,4 Vocabulary
40,4.3 双字节部分,Double-byte section,4.3 Double-byte part
