index,original,translated,accuracy_annotation
0,本文件按照 GB/T 1.1 一 202 久标准化工作导则第工部分:标准化文件的结构和起草规则的规定起惠。,This document is prepared in accordance with the provisions of Part 1: Structure and drafting rules of standardization documents in the Standardization Guide GB/T 1.1-2020.,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

The English translation accurately reflects the meaning of the Chinese source text. There are no accuracy errors identified."
4,"在四字节编码区更改了18 个 GB/T 13000 代码位置(见附录 D,2005 年版的附录D);","Changed 18 GB/T 13000 code positions in the four-byte encoding area (see Appendix D, 2005 edition of Appendix D).","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: accuracy/mistranslation - The translation ""Changed 18 GB/T 13000 code positions in the four-byte encoding area (see Appendix D, 2005 edition of Appendix D)"" does not fully reflect the meaning of the source text ""在四字节编码区更改了18 个 GB/T 13000 代码位置(见附录 D,2005 年版的附录D)"". The translation does not specify that the changes were made to the GB/T 13000 code positions.
[Minor]: None"
8,请注意本文件的某些内容可能涉及专利。 本文件的发布机构不承担识别专利的责任。,Please note that some content of this document may involve patents. The issuing organization does not assume responsibility for identifying patents.,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

The English translation accurately conveys the meaning of the source text. There are no significant accuracy errors."
10,本文件及其所代替文件的历次版本发布情况为 :,The release history of this document and its previous versions is:,"MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""The release history of this document and its previous versions is:"" does not fully reflect the meaning of the source text ""本文件及其所代替文件的历次版本发布情况为:"". The source text indicates the release history of the current document and its previous versions, while the translation focuses only on the current document and its versions.
[Minor]: [accuracy/addition] - The translation adds the word ""is"" which is not present in the source text."
13,信息扩术 ”中文编码字符集,Character encoding.,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - ""Character encoding"" does not accurately reflect the meaning of ""中文编码字符集"" which refers to Chinese character encoding.
[Minor]: no-error"
16,"本文件适用于为具备中文和其他文字图形字符信息化处理及交换功能的技术类产品,包括但不限于以输入法、光学字符识别 (OCR)、编辑 校对、机融翻诺、语音合成、文字转写、乔能写作等为代表的软件产品 , 以及以计算机、通信终端设备、电子书阅读毅、学习机等为代表的便件产品 。","This document applies to technical products with the function of information processing and exchange of Chinese and other language graphic characters, including but not limited to software products represented by input methods, optical character recognition (OCR), editing and proofreading, machine translation, text-to-speech, text transcription, and intelligent writing, as well as hardware products represented by computers, communication terminal devices, e-book readers, and learning machines.","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: accuracy/mistranslation - The translation ""can [create] the problem?"" does not accurately reflect the meaning of the source text, which is asking to ""elaborate on the issue"".
[Minor]: None"
20,GB/T 2312 一 1980 ”信息交换用汉字编码字符集 ”基本集,"""Character set of the basic Chinese character set for information interchange"".","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

The English translation accurately conveys the meaning of the source text ""Character set of the basic Chinese character set for information interchange"". There are no accuracy errors identified in the translation."
21,GB/I 11383 一 1989 信息 处理 ”信息交换用八位代码结构和编码规则,Information processing - Information interchange code structure and coding rules for 8-bit codes.,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

The English translation accurately conveys the meaning of the source text. There are no significant accuracy errors."
25,3.1 字符 character,character,"MQM annotations:
Accuracy Errors
[Minor]: [accuracy/mistranslation] - The translation ""character"" does not fully capture the meaning of the Chinese term ""字符"" which refers to a written character or symbol."
30,使用符合本文件的产品的使用者可以自行规定的区域。,The user can self-determine the area of use for products that comply with this document.,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""The user can self-determine the area of use for products that comply with this document"" does not fully capture the meaning of the source text, which is that the users can use the products in the areas they specify themselves.
[Minor]: none"
34,留作未来本文件规定的区 域 。,The reserved area for the future as specified in this document.,"MQM annotations:
Accuracy Errors
[Major]: [accuracy/omission] - The translation omits the phrase ""留作未来本文件规定的区域"" which specifies that the area is reserved for the future as stated in the document."
36,4 字汇,Vocabulary.,"MQM annotations:
Accuracy Errors
[Minor]: [accuracy/mistranslation] - The translation ""Vocabulary"" does not fully capture the meaning of the Chinese source ""4 字汇"", which refers to a set of vocabulary or lexical items."
40,4.3 双字节部分,Double-byte portion.,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

The translation ""Double-byte portion"" accurately conveys the meaning of the source text ""4.3 双字节部分"". There are no accuracy errors in this translation."
41,双字节部分收录了 GB/T 2312 一 1980 中的全部图形字符 GB/T 13000 中的CJK 统一汉字以及部分图形字符。,"The double-byte part includes all the graphic characters in GB/T 2312-1980 and the CJK Unified Ideographs in GB/T 13000, as well as some additional graphic characters.","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

The English translation accurately conveys the meaning of the source text. There are no significant accuracy errors identified."
43,"其中,表意文字描述符的图形、代码位置和功能应符合附录 B 的规定 。","The graphic, code position, and function of the ideographic character descriptor should comply with the provisions of Appendix B.","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

The English translation accurately conveys the meaning of the source text. The graphic, code position, and function of the ideographic character descriptor are stated to comply with the provisions of Appendix B, which is correctly reflected in the translation."
45,"具备独有抽象字形的汉字,赋予单独的代码位置;来源不同而抽象字形相同的汉字, 则赋予共用的代码位置。",The Chinese characters with unique abstract character forms are assigned individual code positions. Chinese characters with the same abstract character forms but different origins are assigned shared code positions.,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

The English translation accurately conveys the meaning of the source text. There are no significant accuracy errors identified.

The translation states that Chinese characters with unique abstract character forms are assigned individual code positions, and characters with the same abstract forms but different origins are assigned shared code positions. This accurately reflects the meaning of the source text."
47,4.4 四字节部分,16-bit integer,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - ""16-bit integer"" does not accurately reflect the meaning of ""四字节部分"" (4-byte part) in the source text."
48,四字节部分收录了上述双字节字符之外的 GB/T 13000 中的 66 个CJK统一汉字(9FA6 一 9FEF，不包括 9FB4~9FBB 的8个字符)、CJK 统一汉字扩充 A、CJK 统一汉字扩充 BCJK 统一汉字扩充 C、 CJK 统一汉字扩充 DCJK 统一汉字扩充下 .CJK 统一汉字扩充 F 和已经 在 GB/ 工 13000 中编码的少数民族文字的字符。,"The four-byte section includes 66 CJK unified Han characters (9FA6 - 9FEF, excluding 8 characters from 9FB4 to 9FBB) outside the above two-byte characters in GB/T 13000, CJK Unified Han Extensions A, CJK Unified Han Extensions B, CJK Unified Han Extensions C, CJK Unified Han Extensions D, CJK Unified Han Extensions E, CJK Unified Han Extensions F, and a few minority language characters that have already been encoded in GB/T 13000.","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: accuracy/mistranslation - The translation ""CJK Unified Han Extensions A, CJK Unified Han Extensions B, CJK Unified Han Extensions C, CJK Unified Han Extensions D, CJK Unified Han Extensions E, CJK Unified Han Extensions F"" does not fully capture the meaning of the source text, which mentions specific character ranges and excludes some characters.
[Minor]: None"
52,"附录中凡编码的表示均采用十六进制,其他数字的表示均采用十进制。","The codes in the appendix are represented in hexadecimal, and other numbers are represented in decimal.","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

The translation accurately conveys the meaning of the source text. The codes in the appendix are represented in hexadecimal, and other numbers are represented in decimal, as stated in the source text."
58,6 字符的排列顺序,The order of arrangement of 6 characters.,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: accuracy/mistranslation - The translation ""The order of arrangement of 6 characters"" does not fully capture the meaning of the source text ""6 字符的排列顺序"", which is more accurately translated as ""The order of arrangement of 6 characters""."
