index,original,translated,locale_convention_annotation
0,本文件按照 GB/T 1.1 一 202 久标准化工作导则第工部分:标准化文件的结构和起草规则的规定起惠。,This document is prepared in accordance with the provisions of Part 1: Structure and drafting rules of standardization documents in the Standardization Guide GB/T 1.1-2020.,"MQM annotations:
audience appropriateness error:
[minor]: culture-specific reference - The term ""GB/T 1.1-2020"" may not be familiar to the target audience, as it refers to a specific Chinese standard that may not be widely known outside of China."
4,"在四字节编码区更改了18 个 GB/T 13000 代码位置(见附录 D,2005 年版的附录D);","Changed 18 GB/T 13000 code positions in the four-byte encoding area (see Appendix D, 2005 edition of Appendix D).","MQM annotations:
audience appropriateness errors:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The term ""GB/T 13000"" may not be familiar to the target audience, as it is a Chinese national standard that may not be widely known outside of China.
[Minor]: [WRONG LANGUAGE VARIETY] - The use of ""Appendix D"" may not be the most appropriate term for the target audience, as the terminology may differ in the target language and cultural context."
8,请注意本文件的某些内容可能涉及专利。 本文件的发布机构不承担识别专利的责任。,Please note that some content of this document may involve patents. The issuing organization does not assume responsibility for identifying patents.,"MQM annotations:
Audience Appropriateness Errors
[Minor]: [culture-specific reference] - The phrase ""本文件的发布机构不承担识别专利的责任"" may not be easily understood by some target audiences, as it refers to a specific legal and organizational context that may not be familiar to them."
10,本文件及其所代替文件的历次版本发布情况为 :,The release history of this document and its previous versions is:,"MQM annotations:
audience appropriateness errors:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The term ""本文件及其所代替文件的历次版本发布情况"" may not be familiar to all English-speaking audiences and could be rephrased in a more accessible way."
13,信息扩术 ”中文编码字符集,Character encoding.,"MQM annotations:
audience appropriateness error:
[Major]: CULTURE-SPECIFIC REFERENCE - The term ""character encoding"" may not be immediately clear to the general English-speaking audience, as it is a technical term more commonly used in the context of computer science and programming."
16,"本文件适用于为具备中文和其他文字图形字符信息化处理及交换功能的技术类产品,包括但不限于以输入法、光学字符识别 (OCR)、编辑 校对、机融翻诺、语音合成、文字转写、乔能写作等为代表的软件产品 , 以及以计算机、通信终端设备、电子书阅读毅、学习机等为代表的便件产品 。","This document applies to technical products with the function of information processing and exchange of Chinese and other language graphic characters, including but not limited to software products represented by input methods, optical character recognition (OCR), editing and proofreading, machine translation, text-to-speech, text transcription, and intelligent writing, as well as hardware products represented by computers, communication terminal devices, e-book readers, and learning machines.","MQM annotations:
audience appropriateness errors:

[Major]: CULTURE-SPECIFIC REFERENCE - The term ""input methods, optical character recognition (OCR), editing and proofreading, machine translation, text-to-speech, text transcription, and intelligent writing"" may not be familiar or relevant to all target audiences, as these are technical terms that may require additional context or explanation.

[Minor]: WRONG LANGUAGE VARIETY - The term ""便件产品"" (which appears to be a typo for ""便携产品"" or ""portable products"") may not be the most appropriate or natural-sounding term in the target English translation."
20,GB/T 2312 一 1980 ”信息交换用汉字编码字符集 ”基本集,"""Character set of the basic Chinese character set for information interchange"".","MQM annotations:
audience appropriateness errors:
[Minor]: culture-specific reference - The term ""GB/T 2312"" may not be familiar to the English-speaking audience and could benefit from additional context or explanation.
[Minor]: wrong language variety - The use of the term ""character set"" may not be the most natural or common phrasing in English for this context, and a more audience-appropriate term like ""character encoding"" or ""character repertoire"" could be considered."
21,GB/I 11383 一 1989 信息 处理 ”信息交换用八位代码结构和编码规则,Information processing - Information interchange code structure and coding rules for 8-bit codes.,"MQM annotations:
Audience Appropriateness Errors
[Minor]: [culture-specific reference] - The term ""information interchange code structure and coding rules for 8-bit codes"" may not be familiar or relevant to a general English-speaking audience."
25,3.1 字符 character,character,"MQM annotations:
audience appropriateness error:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The term ""character"" may not be the most natural or intuitive translation for the Chinese term ""字符"" in the given context, as it could be interpreted as referring to a person's character or personality rather than a textual character."
30,使用符合本文件的产品的使用者可以自行规定的区域。,The user can self-determine the area of use for products that comply with this document.,"MQM annotations:
audience appropriateness error:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The phrase ""self-determine the area of use"" may be an unusual or unfamiliar way of expressing the concept for the target audience, as it does not directly align with common language usage in the target culture."
34,留作未来本文件规定的区 域 。,The reserved area for the future as specified in this document.,"MQM annotations:
audience appropriateness error:
[Major]: CULTURE-SPECIFIC REFERENCE - The phrase ""the reserved area for the future as specified in this document"" may not be a natural or common way to refer to a reserved area in the target audience's cultural context."
36,4 字汇,Vocabulary.,"MQM annotations:
audience appropriateness error:
[minor]: culture-specific reference - The term ""vocabulary"" may not be the most natural or common way to express the concept of ""4 字汇"" in the target English-speaking audience."
40,4.3 双字节部分,Double-byte portion.,"MQM annotations:
audience appropriateness error:
[Minor]: CULTURE-SPECIFIC REFERENCE - The term ""Double-byte portion"" may not be familiar to all English-speaking audiences and could benefit from a more common or descriptive phrase."
41,双字节部分收录了 GB/T 2312 一 1980 中的全部图形字符 GB/T 13000 中的CJK 统一汉字以及部分图形字符。,"The double-byte part includes all the graphic characters in GB/T 2312-1980 and the CJK Unified Ideographs in GB/T 13000, as well as some additional graphic characters.","MQM annotations:
Audience Appropriateness Errors
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The term ""GB/T 2312-1980"" and ""GB/T 13000"" may not be familiar to the target audience and require further explanation or context."
43,"其中,表意文字描述符的图形、代码位置和功能应符合附录 B 的规定 。","The graphic, code position, and function of the ideographic character descriptor should comply with the provisions of Appendix B.","MQM annotations:
audience appropriateness errors:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The term ""ideographic character descriptor"" may not be familiar or intuitive for the target audience, as it is a technical term that may require additional context or explanation."
45,"具备独有抽象字形的汉字,赋予单独的代码位置;来源不同而抽象字形相同的汉字, 则赋予共用的代码位置。",The Chinese characters with unique abstract character forms are assigned individual code positions. Chinese characters with the same abstract character forms but different origins are assigned shared code positions.,"MQM annotations:
Accuracy Errors
[Minor]: [culture-specific reference] - The term ""code positions"" may not be familiar to the target audience and could be replaced with a more common term like ""character encoding"" or ""Unicode assignments""."
47,4.4 四字节部分,16-bit integer,"MQM annotations:
audience appropriateness error:
[Minor]: [WRONG LANGUAGE VARIETY] - The term ""16-bit integer"" may not be the most appropriate terminology for the target audience, as it is a technical computing term that may not be widely understood by a general audience."
48,四字节部分收录了上述双字节字符之外的 GB/T 13000 中的 66 个CJK统一汉字(9FA6 一 9FEF，不包括 9FB4~9FBB 的8个字符)、CJK 统一汉字扩充 A、CJK 统一汉字扩充 BCJK 统一汉字扩充 C、 CJK 统一汉字扩充 DCJK 统一汉字扩充下 .CJK 统一汉字扩充 F 和已经 在 GB/ 工 13000 中编码的少数民族文字的字符。,"The four-byte section includes 66 CJK unified Han characters (9FA6 - 9FEF, excluding 8 characters from 9FB4 to 9FBB) outside the above two-byte characters in GB/T 13000, CJK Unified Han Extensions A, CJK Unified Han Extensions B, CJK Unified Han Extensions C, CJK Unified Han Extensions D, CJK Unified Han Extensions E, CJK Unified Han Extensions F, and a few minority language characters that have already been encoded in GB/T 13000.","MQM annotations:
Audience Appropriateness Errors
[Minor]: culture-specific reference - The term ""GB/T 13000"" may not be familiar to the target audience and could benefit from additional context or explanation.
[Minor]: culture-specific reference - The abbreviations ""CJK"" (Chinese, Japanese, Korean) and the references to ""unified Han characters"" and ""minority language characters"" may not be widely understood by the target audience and could require more explanation."
52,"附录中凡编码的表示均采用十六进制,其他数字的表示均采用十进制。","The codes in the appendix are represented in hexadecimal, and other numbers are represented in decimal.","MQM annotations:
audience appropriateness error:
[minor]: culture-specific reference - The use of ""hexadecimal"" and ""decimal"" may not be familiar or intuitive for some target audiences who are not familiar with technical terminology."
58,6 字符的排列顺序,The order of arrangement of 6 characters.,"MQM annotations:
audience appropriateness errors:
[Minor]: CULTURE-SPECIFIC REFERENCE - The term ""the order of arrangement of 6 characters"" may not be a common or intuitive phrase for the target English audience, as it is a more technical or academic expression."
59,6.1 单字刷部分字符的排列顺序,character order,"MQM annotations:
audience appropriateness error:
[minor]: culture-specific reference - The term ""character order"" may not be a common or intuitive phrase for the target English audience, as it is a more technical term related to Chinese writing systems."
60,单字记部分字符按照 GB/I 11383 一 1989 中相应字符的顺序排列 。,Single character memorization of partial characters is arranged according to the corresponding character order in GB/T 11383-1989.,"MQM annotations:
audience appropriateness errors:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The term ""GB/T 11383-1989"" may not be familiar to the target audience, as it refers to a specific Chinese national standard that may not be widely known outside of China."
67,7 码位分配,7 digit allocation,"MQM annotations:
audience appropriateness errors:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The term ""7 digit allocation"" may not be a familiar concept for the target audience and could benefit from further explanation or a more culturally-relevant term."
71,2.双字部分的码位分配,Code point allocation for two-character components.,"MQM annotations:
audience appropriateness errors:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The term ""code point"" may not be familiar to the general target audience and could benefit from a more common or explanatory term."
72,"双字节部分的码位安排分为 0x8140~ 一 0xFE7E 和 0x8180 一 0xFEFE 两部分, 共 23940 个码位。","The arrangement of code positions for the double-byte part is divided into two parts, 0x8140 to 0xFE7E and 0x8180 to 0xFEFE, with a total of 23,940 code positions.","MQM annotations:
Audience Appropriateness Errors
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The term ""code positions"" may not be familiar to the target audience and could be replaced with a more common term like ""character codes"" or ""character ranges""."
75,双字节 1 区 : 846 码位,"4,370 code points.","MQM annotations:
audience appropriateness error:
[minor]: culture-specific reference - The term ""4,370 code points"" may not be familiar or meaningful to the target audience, as it is a technical term related to character encoding that may not be commonly understood outside of specialized contexts."
77,首字节 0xA8~0xA9 双字节 5 区 : 192 码 位,192 character positions,"MQM annotations:
audience appropriateness error:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The term ""192 character positions"" may not be a familiar or intuitive concept for the target audience, as it is a technical term related to character encoding that may not be widely understood outside of specialized contexts."
78,3.双字蔬部分编码空间结构图,Dual-character vegetable part encoding space structure diagram.,"MQM annotations:
audience appropriateness errors:
[Minor]: CULTURE-SPECIFIC REFERENCE - The term ""dual-character vegetable part"" may not be a familiar or intuitive concept for some English-speaking audiences, who may be more accustomed to more common vegetable terminology."
84,表 3 中没有指明的四字节人码位分配见 6.3。,The four-byte character code assignments not specified in Table 3 are given in 6.3.,"MQM annotations:
audience appropriateness error:
[minor]: culture-specific reference - The term ""Table 3"" may not be familiar to the target audience and could benefit from additional context or explanation."
85,表 3 四字闻部分的码位安排,Table 3 Arrangement of code positions for four-character radical components.,"MQM annotations:
audience appropriateness errors:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The term ""code positions"" may not be immediately clear to a general audience and could benefit from a more accessible explanation."
88,码位范围码位数字符数,"Code point range, code point count, character count.","MQM annotations:
audience appropriateness errors:
[Minor]: CULTURE-SPECIFIC REFERENCE - The terms ""code point range"", ""code point count"", and ""character count"" may not be familiar or intuitive for some target audiences who are not familiar with technical terminology related to character encoding."
91,8 部分字符和代码的说明,8 parts of character and code description.,"MQM annotations:
audience appropriateness errors:
[Major]: CULTURE-SPECIFIC REFERENCE - The term ""character and code description"" may not be familiar or appropriate for a general audience, as it is more technical jargon.
[Minor]: WRONG LANGUAGE VARIETY - The use of the term ""parts"" instead of a more common term like ""sections"" or ""components"" may sound slightly formal or technical for the intended audience."
97,实现级别 1 文持本文件的单字节编码部分、双季节编码部分和四字下编玛部分的 CJK 统一汉字 ( 即 0x82358F33 一 0x82359636) 和 CJK 统一汉字扩A( 即 0x8139EE39 一 0x82358738) 。,"Level 1 implementation supports the single-byte encoding part, the double-season encoding part, and the four-character encoding part of the CJK Unified Ideographs (i.e., 0x82358F33 - 0x82359636) and CJK Unified Ideographs Extension A (i.e., 0x8139EE39 - 0x82358738).","MQM annotations:
Audience Appropriateness Errors
[Major]: [culture-specific reference] - The use of ""CJK Unified Ideographs"" and ""CJK Unified Ideographs Extension A"" may not be familiar or meaningful to the general English-speaking audience.
[Minor]: [wrong language variety] - The use of technical terms like ""single-byte encoding"", ""double-season encoding"", and ""four-character encoding"" may be too specialized for a general audience."
102,"此外 ,实现级别 2 还文持《通用 规范 汉字 表 }中的没有包合在实级别 1 之内的编码汉字。","In addition, the implementation of Level 2 includes the encoding of Chinese characters that are not included in Level 1 of the ""General Standard Chinese Character Set"".","MQM annotations:
Audience Appropriateness Errors
[Minor]: [culture-specific reference] - The term ""General Standard Chinese Character Set"" may not be familiar or understandable to the target English-speaking audience."
104,"系统软件及支撑软件,应满足实现级别 2 的要求 。",System software and supporting software shall meet the requirements of implementation level 2.,"MQM annotations:
Audience Appropriateness Errors
[Minor]: [culture-specific reference] - The term ""implementation level 2"" may not be familiar or intuitive for the general English-speaking audience, as it is a technical term specific to the context of software development."
