index,original,translated,locale_convention_annotation
0,本文件按照 GB/T 1.1 一 202 久标准化工作导则第工部分:标准化文件的结构和起草规则的规定起惠。,This document is prepared in accordance with the provisions of Part 1: Structure and drafting rules of standardization documents in the Standardization Guide GB/T 1.1-2020.,"locale conventions:

MQM annotations:
[Minor]: [DATE/TIME FORMAT] - The date format in the target text ""09.02.2024"" does not match the format used in the source text ""09-02-2024"". The German format should be ""dd.mm.yyyy""."
4,"在四字节编码区更改了18 个 GB/T 13000 代码位置(见附录 D,2005 年版的附录D);","Changed 18 GB/T 13000 code positions in the four-byte encoding area (see Appendix D, 2005 edition of Appendix D).","locale conventions:

MQM annotations:
[Minor]: [address format] - The address format in the target text does not match the expected format in English. The placement of ""St."" is incorrect."
8,请注意本文件的某些内容可能涉及专利。 本文件的发布机构不承担识别专利的责任。,Please note that some content of this document may involve patents. The issuing organization does not assume responsibility for identifying patents.,"locale conventions:

MQM annotations:
[Minor]: [address format] - The address format in the target text does not match the locale-specific requirements. The placement of ""St."" is incorrect in English."
10,本文件及其所代替文件的历次版本发布情况为 :,The release history of this document and its previous versions is:,"locale conventions:

MQM annotations:
[Minor]: [DATE/TIME FORMAT] - The date format in the target text ""09.02.2024"" does not match the source format ""09-02-2024""."
13,信息扩术 ”中文编码字符集,Character encoding.,"locale conventions:

MQM annotations:
[Minor]: [number format] - The numeric value ""中文编码字符集"" should be formatted according to the locale conventions."
16,"本文件适用于为具备中文和其他文字图形字符信息化处理及交换功能的技术类产品,包括但不限于以输入法、光学字符识别 (OCR)、编辑 校对、机融翻诺、语音合成、文字转写、乔能写作等为代表的软件产品 , 以及以计算机、通信终端设备、电子书阅读毅、学习机等为代表的便件产品 。","This document applies to technical products with the function of information processing and exchange of Chinese and other language graphic characters, including but not limited to software products represented by input methods, optical character recognition (OCR), editing and proofreading, machine translation, text-to-speech, text transcription, and intelligent writing, as well as hardware products represented by computers, communication terminal devices, e-book readers, and learning machines.","locale conventions:

MQM annotations:
[Minor]: [address format] - The address format in the target text does not match the expected format in English. The elements of the address are not presented in the correct order.
[Minor]: [number format] - The numeric value in the target text is not formatted according to the locale conventions. The grouping of digits should follow the standard English format."
20,GB/T 2312 一 1980 ”信息交换用汉字编码字符集 ”基本集,"""Character set of the basic Chinese character set for information interchange"".","locale conventions:

MQM annotations:
[Minor]: [address format] - The address format in the English translation does not match the Chinese locale conventions. The order and formatting of the address elements should be revised to follow the Chinese standard."
21,GB/I 11383 一 1989 信息 处理 ”信息交换用八位代码结构和编码规则,Information processing - Information interchange code structure and coding rules for 8-bit codes.,"MQM annotations:
Locale Conventions Errors:

[Minor]: [ADDRESS FORMAT] - The address format in the target text does not follow the expected locale-specific conventions.
[Minor]: [CURRENCY FORMAT] - The currency format in the target text does not match the locale-specific requirements.
[Minor]: [DATE/TIME FORMAT] - The date or time format in the target text does not adhere to the locale-specific conventions.
[Minor]: [MEASUREMENT FORMAT] - The formatting of measurement units in the target text does not meet locale-specific guidelines.
[Minor]: [NUMBER FORMAT] - Numeric values in the target text are formatted in a way that violates locale conventions.
[Minor]: [TELEPHONE FORMAT] - Telephone numbers in the target text are not presented in the correct locale-specific format."
25,3.1 字符 character,character,"Locale conventions:

MQM annotations:
[Minor]: [NUMBER FORMAT] - The numeric value ""3.1"" should be formatted according to the locale convention, which typically uses a period as the decimal separator."
30,使用符合本文件的产品的使用者可以自行规定的区域。,The user can self-determine the area of use for products that comply with this document.,"locale conventions:

MQM annotations:
[Minor]: [address format] - The translation does not follow the standard address format conventions."
34,留作未来本文件规定的区 域 。,The reserved area for the future as specified in this document.,"locale conventions:

MQM annotations:
[Minor]: [address format] - The address format in the target text does not match the expected locale-specific format."
36,4 字汇,Vocabulary.,"locale conventions:

MQM annotations:
[Minor]: [NUMBER FORMAT] - The numeric value ""4"" should be formatted according to the locale conventions of the target language."
40,4.3 双字节部分,Double-byte portion.,"Source Chinese: 4.3 双字节部分
Translation English: Double-byte portion.

MQM annotations:
No locale conventions errors detected."
41,双字节部分收录了 GB/T 2312 一 1980 中的全部图形字符 GB/T 13000 中的CJK 统一汉字以及部分图形字符。,"The double-byte part includes all the graphic characters in GB/T 2312-1980 and the CJK Unified Ideographs in GB/T 13000, as well as some additional graphic characters.","locale conventions:

MQM annotations:
[Minor]: [number format] - The translation does not follow the same formatting for the numeric values as in the source text."
43,"其中,表意文字描述符的图形、代码位置和功能应符合附录 B 的规定 。","The graphic, code position, and function of the ideographic character descriptor should comply with the provisions of Appendix B.","locale conventions:

MQM annotations:
[Minor]: [address format] - The placement of ""St."" is incorrect in English. The correct format should be ""123 Desert Bluff, Canyonlands, AC 12345, United States""."
45,"具备独有抽象字形的汉字,赋予单独的代码位置;来源不同而抽象字形相同的汉字, 则赋予共用的代码位置。",The Chinese characters with unique abstract character forms are assigned individual code positions. Chinese characters with the same abstract character forms but different origins are assigned shared code positions.,"locale conventions:

MQM annotations:
[Minor]: [address format] - The placement of ""St."" is incorrect in English. The correct format should be ""123 Desert Bluff, Canyonlands, AC 12345, United States"".
[Minor]: [number format] - The grouping of the member number should follow the same formatting as the source text, which is ""332 443 - X""."
47,4.4 四字节部分,16-bit integer,"Locale conventions:

MQM annotations:
[Minor]: [number format] - The translation uses a 16-bit integer format, which does not match the locale convention for representing a four-byte part in the source text."
48,四字节部分收录了上述双字节字符之外的 GB/T 13000 中的 66 个CJK统一汉字(9FA6 一 9FEF，不包括 9FB4~9FBB 的8个字符)、CJK 统一汉字扩充 A、CJK 统一汉字扩充 BCJK 统一汉字扩充 C、 CJK 统一汉字扩充 DCJK 统一汉字扩充下 .CJK 统一汉字扩充 F 和已经 在 GB/ 工 13000 中编码的少数民族文字的字符。,"The four-byte section includes 66 CJK unified Han characters (9FA6 - 9FEF, excluding 8 characters from 9FB4 to 9FBB) outside the above two-byte characters in GB/T 13000, CJK Unified Han Extensions A, CJK Unified Han Extensions B, CJK Unified Han Extensions C, CJK Unified Han Extensions D, CJK Unified Han Extensions E, CJK Unified Han Extensions F, and a few minority language characters that have already been encoded in GB/T 13000.","MQM annotations:

Locale Conventions Errors:

[Minor]: [ADDRESS FORMAT] - The translation does not follow the correct address format for the target language. The elements of the address are not presented in the expected order.

[Minor]: [NUMBER FORMAT] - The translation does not follow the correct number formatting conventions for the target language. The grouping of digits is not consistent with the locale-specific requirements."
52,"附录中凡编码的表示均采用十六进制,其他数字的表示均采用十进制。","The codes in the appendix are represented in hexadecimal, and other numbers are represented in decimal.","locale conventions:

MQM annotations:
[Minor]: [number format] - The codes in the appendix are represented in hexadecimal, and other numbers are represented in decimal, but the translation does not specify this."
58,6 字符的排列顺序,The order of arrangement of 6 characters.,"locale conventions:

MQM annotations:
[Minor]: [number format] - The order of arrangement of 6 characters should be presented in a more natural and readable format, such as using commas or periods to separate the characters."
59,6.1 单字刷部分字符的排列顺序,character order,"locale conventions:

MQM annotations:
[Minor]: [number format] - The order of the characters in the phrase ""character order"" does not follow the standard English number format."
60,单字记部分字符按照 GB/I 11383 一 1989 中相应字符的顺序排列 。,Single character memorization of partial characters is arranged according to the corresponding character order in GB/T 11383-1989.,"locale conventions:

MQM annotations:
[Minor]: [number format] - The numeric values in the translation do not follow the standard Chinese number format. The characters should be arranged according to the order specified in GB/T 11383-1989."
67,7 码位分配,7 digit allocation,"Locale conventions:

MQM annotations:
[Minor]: [NUMBER FORMAT] - The space between the digits in the 7-digit allocation is missing."
71,2.双字部分的码位分配,Code point allocation for two-character components.,"locale conventions:

MQM annotations:
[Minor]: [NUMBER FORMAT] - The numeric value ""2"" in the source text is not formatted according to the locale conventions in the target language."
72,"双字节部分的码位安排分为 0x8140~ 一 0xFE7E 和 0x8180 一 0xFEFE 两部分, 共 23940 个码位。","The arrangement of code positions for the double-byte part is divided into two parts, 0x8140 to 0xFE7E and 0x8180 to 0xFEFE, with a total of 23,940 code positions.","locale conventions:

MQM annotations:
[Minor]: [number format] - The numeric value ""23,940"" should be formatted as ""23 940"" according to the Chinese locale convention."
75,双字节 1 区 : 846 码位,"4,370 code points.","locale conventions:

MQM annotations:
[Minor]: [number format] - The translation uses ""4,370"" instead of the Chinese convention of ""4 370"" for large numbers."
77,首字节 0xA8~0xA9 双字节 5 区 : 192 码 位,192 character positions,"Locale conventions:

MQM annotations:
[Minor]: [number format] - The numeric value ""192"" should be formatted according to the locale convention in the target language."
78,3.双字蔬部分编码空间结构图,Dual-character vegetable part encoding space structure diagram.,"locale conventions:

MQM annotations:
[Minor]: [terminology/inappropriate for context] - The term ""Dual-character vegetable part encoding space structure diagram"" may not be a common or natural way to refer to this type of diagram in English."
84,表 3 中没有指明的四字节人码位分配见 6.3。,The four-byte character code assignments not specified in Table 3 are given in 6.3.,"locale conventions:

MQM annotations:
[Minor]: [number format] - The four-byte character code assignments not specified in Table 3 are given in 6.3. The numeric value ""6.3"" should be formatted according to the locale conventions."
85,表 3 四字闻部分的码位安排,Table 3 Arrangement of code positions for four-character radical components.,"locale conventions:

MQM annotations:
[Minor]: [number format] - The numeric values in the table header ""Table 3"" should be formatted according to the locale conventions in English."
88,码位范围码位数字符数,"Code point range, code point count, character count.","locale conventions:

MQM annotations:
[Minor]: [NUMBER FORMAT] - The code point count and character count are not formatted according to the expected locale conventions."
91,8 部分字符和代码的说明,8 parts of character and code description.,"locale conventions:

MQM annotations:
[Minor]: [address format] - The placement of ""部分"" is not in the correct order according to English conventions.
[Minor]: [number format] - The numeric value ""8"" should not have a space before the ""部分"" in English."
97,实现级别 1 文持本文件的单字节编码部分、双季节编码部分和四字下编玛部分的 CJK 统一汉字 ( 即 0x82358F33 一 0x82359636) 和 CJK 统一汉字扩A( 即 0x8139EE39 一 0x82358738) 。,"Level 1 implementation supports the single-byte encoding part, the double-season encoding part, and the four-character encoding part of the CJK Unified Ideographs (i.e., 0x82358F33 - 0x82359636) and CJK Unified Ideographs Extension A (i.e., 0x8139EE39 - 0x82358738).","locale conventions:

MQM annotations:
[Minor]: [number format] - The numeric values in the translation do not follow the expected Chinese number format conventions."
102,"此外 ,实现级别 2 还文持《通用 规范 汉字 表 }中的没有包合在实级别 1 之内的编码汉字。","In addition, the implementation of Level 2 includes the encoding of Chinese characters that are not included in Level 1 of the ""General Standard Chinese Character Set"".","MQM annotations:
Locale Conventions Errors

[Minor]: [ADDRESS FORMAT] - The translation does not follow the correct address format for the target language."
104,"系统软件及支撑软件,应满足实现级别 2 的要求 。",System software and supporting software shall meet the requirements of implementation level 2.,"locale conventions:

MQM annotations:
No locale convention errors found in the given translation."
105,"注: 系统软件及文撑软件包括但不限于操作系统,数据库管理系统.中间件( 软件产品分类的信息见 GB/ 工 36475)。","System software and document software include but are not limited to operating systems, database management systems, and middleware (see GB/T 36475 for information on software product classification).","locale conventions:

MQM annotations:
[Minor]: [number format] - The numeric value ""36475"" should be formatted according to the English locale convention (e.g., ""36,475"")."
107,实现级别 3 包含实现级别 2。,Maturity level 3 includes maturity level 2.,"locale conventions:

MQM annotations:
[Major]: [locale_conventions/address format] - The translation ""Maturity level 3 includes maturity level 2"" does not follow the correct format for expressing hierarchical levels in English. The expected format would be ""Maturity level 3 includes Maturity level 2."""
109,用于政务服务和公共服务的产品应满足实现级卉 3 的要求。,The products used for government services and public services should meet the requirements of achieving Level 3 accessibility.,"locale conventions:

MQM annotations:
[Minor]: [MEASUREMENT FORMAT] - The translation uses ""级卉 3"" instead of the standard metric unit format."
111,附录 A (规范性 ),Appendix A (Normative).,"Source Chinese:
附录 A (规范性 )

Translation English:
Appendix A (Normative).

MQM annotations:
No locale conventions errors detected."
112,双字字符表,Character set.,"Source Chinese: 双字字符表
Translation English: Character set.

MQM annotations:
Locale Conventions Errors
[Minor]: [TERMINOLOGY/INAPPROPRIATE FOR CONTEXT] - The term ""Character set"" may not accurately convey the meaning of ""双字字符表"" (Bi-character character set) in the source text."
115,A.2 表的说明,Table description,"Locale conventions:

MQM annotations:
[Minor]: [ADDRESS FORMAT] - The placement of ""St."" is incorrect in the French translation."
117,第一字节第二字节低位,the first byte the second byte low bit,"locale conventions:

MQM annotations:
[Minor]: [number format] - The first and second bytes of the low bit are not formatted according to the expected convention."
121,表意文字描述符,Ideographic description characters.,"locale conventions:

MQM annotations:
[Minor]: [ADDRESS FORMAT] - The placement of ""St."" is incorrect in English. The correct format should be ""123 Desert Bluff, Canyonlands, AC 12345, United States""."
124,表 B.1 表意文字描述符的图形、代码位置和功能描述,"Graphic, Code Position, and Functional Description of Ideographic Description Characters","locale conventions:

MQM annotations:
[Minor]: [address format] - The placement of ""表"" (table) in the translation does not match the typical format for table titles in English."
125,"本文件的码位 GB/T 13000 的码位功能描述相似而不等,用于借某字表达外字","The code positions of this document are similar but not equal to the code positions of GB/T 13000, used to express external characters by borrowing certain characters.","locale conventions:

MQM annotations:
[Minor]: [number format] - The code positions are described as ""similar but not equal"" to GB/T 13000, which suggests a numerical difference that may require a specific formatting convention."
