index,original,single_agent_translation,single_agent_improved_translation
0,本文件按照 GB/T 1.1 一 202 久标准化工作导则第工部分:标准化文件的结构和起草规则的规定起惠。,This document is prepared in accordance with the provisions of Part 1: Structure and drafting rules of standardization documents in the Standardization Guide GB/T 1.1-2020.,This document follows the provisions of Part 1: Structure and drafting rules of standardization documents in the Standardization Guide GB/T 1.1-2020.
4,"在四字节编码区更改了18 个 GB/T 13000 代码位置(见附录 D,2005 年版的附录D);","Changed 18 GB/T 13000 code positions in the four-byte encoding area (see Appendix D, 2005 edition of Appendix D).","The 18 GB/T 13000 code positions were changed in the four-byte encoding area (see Appendix D, 2005 edition)."
8,请注意本文件的某些内容可能涉及专利。 本文件的发布机构不承担识别专利的责任。,Please note that some content of this document may involve patents. The issuing organization does not assume responsibility for identifying patents.,Please note that some content of this document may involve patents. The issuing organization does not assume responsibility for identifying any patents.
10,本文件及其所代替文件的历次版本发布情况为 :,The release history of this document and its previous versions is:,The release history of this document and its previous versions are:
13,信息扩术 ”中文编码字符集,Character encoding.,Information dissemination and Chinese character encoding.
16,"本文件适用于为具备中文和其他文字图形字符信息化处理及交换功能的技术类产品,包括但不限于以输入法、光学字符识别 (OCR)、编辑 校对、机融翻诺、语音合成、文字转写、乔能写作等为代表的软件产品 , 以及以计算机、通信终端设备、电子书阅读毅、学习机等为代表的便件产品 。","This document applies to technical products with the function of information processing and exchange of Chinese and other language graphic characters, including but not limited to software products represented by input methods, optical character recognition (OCR), editing and proofreading, machine translation, text-to-speech, text transcription, and intelligent writing, as well as hardware products represented by computers, communication terminal devices, e-book readers, and learning machines.","This document applies to technical products with the function of information processing and exchange of Chinese and other language graphic characters, including but not limited to software products represented by input methods, optical character recognition (OCR), editing and proofreading, machine translation, text-to-speech, text transcription, and intelligent writing, as well as computer, communication terminal, e-book reader, and learning device hardware products."
20,GB/T 2312 一 1980 ”信息交换用汉字编码字符集 ”基本集,"""Character set of the basic Chinese character set for information interchange"".","""GB/T 2312 - 1980 'Chinese Character Coded Character Set for Information Interchange'"""
21,GB/I 11383 一 1989 信息 处理 ”信息交换用八位代码结构和编码规则,Information processing - Information interchange code structure and coding rules for 8-bit codes.,GB/T 11383-1989 Information Processing - Code Structure and Coding Rules for 8-bit Information Exchange Codes
25,3.1 字符 character,character,Single character
30,使用符合本文件的产品的使用者可以自行规定的区域。,The user can self-determine the area of use for products that comply with this document.,Users of products that comply with this document can determine the area of use for themselves.
34,留作未来本文件规定的区 域 。,The reserved area for the future as specified in this document.,The area reserved for the future as set forth in this document.
36,4 字汇,Vocabulary.,4-word vocabulary.
40,4.3 双字节部分,Double-byte portion.,Section 4.3: Double-byte Characters.
41,双字节部分收录了 GB/T 2312 一 1980 中的全部图形字符 GB/T 13000 中的CJK 统一汉字以及部分图形字符。,"The double-byte part includes all the graphic characters in GB/T 2312-1980 and the CJK Unified Ideographs in GB/T 13000, as well as some additional graphic characters.",The double-byte part includes all the graphic characters in GB/T 2312-1980 and the CJK Unified Ideographs in GB/T 13000.
43,"其中,表意文字描述符的图形、代码位置和功能应符合附录 B 的规定 。","The graphic, code position, and function of the ideographic character descriptor should comply with the provisions of Appendix B.","Among them, the graphic, code position, and function of the ideographic character descriptor must comply with the provisions of Appendix B."
45,"具备独有抽象字形的汉字,赋予单独的代码位置;来源不同而抽象字形相同的汉字, 则赋予共用的代码位置。",The Chinese characters with unique abstract character forms are assigned individual code positions. Chinese characters with the same abstract character forms but different origins are assigned shared code positions.,"Chinese characters with unique abstract forms are assigned their own unique character encodings, while characters with the same abstract form but different origins are assigned shared character encodings."
47,4.4 四字节部分,16-bit integer,The four-byte portion.
48,四字节部分收录了上述双字节字符之外的 GB/T 13000 中的 66 个CJK统一汉字(9FA6 一 9FEF，不包括 9FB4~9FBB 的8个字符)、CJK 统一汉字扩充 A、CJK 统一汉字扩充 BCJK 统一汉字扩充 C、 CJK 统一汉字扩充 DCJK 统一汉字扩充下 .CJK 统一汉字扩充 F 和已经 在 GB/ 工 13000 中编码的少数民族文字的字符。,"The four-byte section includes 66 CJK unified Han characters (9FA6 - 9FEF, excluding 8 characters from 9FB4 to 9FBB) outside the above two-byte characters in GB/T 13000, CJK Unified Han Extensions A, CJK Unified Han Extensions B, CJK Unified Han Extensions C, CJK Unified Han Extensions D, CJK Unified Han Extensions E, CJK Unified Han Extensions F, and a few minority language characters that have already been encoded in GB/T 13000.","The four-byte section includes 66 CJK unified Han characters (9FA6 - 9FEF, excluding 8 characters from 9FB4 to 9FBB) outside the above two-byte characters in GB/T 13000, as well as CJK Unified Han Extensions A, B, C, D, and F, and a few minority language characters that have already been encoded in GB/T 13000."
52,"附录中凡编码的表示均采用十六进制,其他数字的表示均采用十进制。","The codes in the appendix are represented in hexadecimal, and other numbers are represented in decimal.","All codes in the appendix are represented in hexadecimal, and other numbers are represented in decimal."
58,6 字符的排列顺序,The order of arrangement of 6 characters.,The order of 6 letters.
59,6.1 单字刷部分字符的排列顺序,character order,The arrangement of characters within a single character.
60,单字记部分字符按照 GB/I 11383 一 1989 中相应字符的顺序排列 。,Single character memorization of partial characters is arranged according to the corresponding character order in GB/T 11383-1989.,The characters are arranged according to the corresponding character order specified in GB/T 11383-1989.
67,7 码位分配,7 digit allocation,7-digit code allocation
71,2.双字部分的码位分配,Code point allocation for two-character components.,Code point allocation for the two-character components.
72,"双字节部分的码位安排分为 0x8140~ 一 0xFE7E 和 0x8180 一 0xFEFE 两部分, 共 23940 个码位。","The arrangement of code positions for the double-byte part is divided into two parts, 0x8140 to 0xFE7E and 0x8180 to 0xFEFE, with a total of 23,940 code positions.","The arrangement of code positions for the double-byte part is divided into two ranges, 0x8140 to 0xFE7E and 0x8180 to 0xFEFE, totaling 23,940 code positions."
75,双字节 1 区 : 846 码位,"4,370 code points.",The 1st double-byte area has 846 code points.
77,首字节 0xA8~0xA9 双字节 5 区 : 192 码 位,192 character positions,The code positions are in the range of 0xA8 to 0xA9 in the double-byte character set 5.
78,3.双字蔬部分编码空间结构图,Dual-character vegetable part encoding space structure diagram.,Encoding space structure diagram for dual-character vegetable components.
84,表 3 中没有指明的四字节人码位分配见 6.3。,The four-byte character code assignments not specified in Table 3 are given in 6.3.,The four-byte person code assignments not specified in Table 3 are in 6.3.
85,表 3 四字闻部分的码位安排,Table 3 Arrangement of code positions for four-character radical components.,Table 3 Arrangement of code positions for four-character radical components.
88,码位范围码位数字符数,"Code point range, code point count, character count.","Code point range, number of code points, character count."
91,8 部分字符和代码的说明,8 parts of character and code description.,The 8 parts of character and code description.
97,实现级别 1 文持本文件的单字节编码部分、双季节编码部分和四字下编玛部分的 CJK 统一汉字 ( 即 0x82358F33 一 0x82359636) 和 CJK 统一汉字扩A( 即 0x8139EE39 一 0x82358738) 。,"Level 1 implementation supports the single-byte encoding part, the double-season encoding part, and the four-character encoding part of the CJK Unified Ideographs (i.e., 0x82358F33 - 0x82359636) and CJK Unified Ideographs Extension A (i.e., 0x8139EE39 - 0x82358738).","Level 1 implementation supports the single-byte encoding part, the double-byte encoding part, and the four-character encoding part of the CJK Unified Ideographs (i.e., 0x82358F33 - 0x82359636) and CJK Unified Ideographs Extension A (i.e., 0x8139EE39 - 0x82358738)."
