index,original,translated,terminology_annotation
0,本文件按照 GB/T 1.1 一 202 久标准化工作导则第工部分:标准化文件的结构和起草规则的规定起惠。,This document is prepared in accordance with the provisions of Part 1: Structure and drafting rules of standardization documents in the Standardization Guide GB/T 1.1-2020.,"MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""GB/T 1.1-2020"" should have been translated as the corresponding standard name in English, rather than leaving it in the original Chinese format.
[minor]: [WRONG TERM] - The term ""Standardization Guide"" should be capitalized as ""Standardization Guide"" to match standard terminology conventions."
4,"在四字节编码区更改了18 个 GB/T 13000 代码位置(见附录 D,2005 年版的附录D);","Changed 18 GB/T 13000 code positions in the four-byte encoding area (see Appendix D, 2005 edition of Appendix D).","MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""GB/T 13000"" should have been translated as a glossary entry instead of using the full name ""GB/T 13000"".
[minor]: [WRONG TERM] - The term ""four-byte encoding area"" should be more accurately translated as a glossary entry."
8,请注意本文件的某些内容可能涉及专利。 本文件的发布机构不承担识别专利的责任。,Please note that some content of this document may involve patents. The issuing organization does not assume responsibility for identifying patents.,"MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The glossary term ""patents"" should have been translated as ""brevets"" in French."
10,本文件及其所代替文件的历次版本发布情况为 :,The release history of this document and its previous versions is:,"MQM annotations:
Terminology Errors:
minor: term not applied - The glossary term ""release history"" should have been translated as ""发布情况"" instead of ""历次版本发布情况""."
13,信息扩术 ”中文编码字符集,Character encoding.,"MQM annotations:
Terminology Errors:
Major: TERM NOT APPLIED - The term ""character encoding"" should have been translated as ""编码字符集"" instead of ""中文编码字符集"" to match the source text."
16,"本文件适用于为具备中文和其他文字图形字符信息化处理及交换功能的技术类产品,包括但不限于以输入法、光学字符识别 (OCR)、编辑 校对、机融翻诺、语音合成、文字转写、乔能写作等为代表的软件产品 , 以及以计算机、通信终端设备、电子书阅读毅、学习机等为代表的便件产品 。","This document applies to technical products with the function of information processing and exchange of Chinese and other language graphic characters, including but not limited to software products represented by input methods, optical character recognition (OCR), editing and proofreading, machine translation, text-to-speech, text transcription, and intelligent writing, as well as hardware products represented by computers, communication terminal devices, e-book readers, and learning machines.","MQM annotations:
Terminology Errors:
major: term not applied - The term ""光融翻诺"" (machine translation) should be translated as ""machine translation"" instead.
major: term not applied - The term ""乔能写作"" (intelligent writing) should be translated more accurately.
minor: wrong term - The term ""便件产品"" (hardware products) should be translated as ""hardware products"" instead of ""hardware""."
20,GB/T 2312 一 1980 ”信息交换用汉字编码字符集 ”基本集,"""Character set of the basic Chinese character set for information interchange"".","MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""Character set of the basic Chinese character set for information interchange"" should have been translated as ""集合基本汉字字符集用于信息交换""."
21,GB/I 11383 一 1989 信息 处理 ”信息交换用八位代码结构和编码规则,Information processing - Information interchange code structure and coding rules for 8-bit codes.,"MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""Information interchange code structure and coding rules for 8-bit codes"" should have been translated as ""信息交换用八位代码结构和编码规则"" instead of ""Information processing - Information interchange code structure and coding rules for 8-bit codes""."
25,3.1 字符 character,character,"MQM annotations:
Terminology Errors:
minor: term not applied - The glossary term ""character"" should have been translated as ""字符"" in Chinese."
30,使用符合本文件的产品的使用者可以自行规定的区域。,The user can self-determine the area of use for products that comply with this document.,"MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""area"" should be translated as ""区域"" instead of ""区域的使用者可以自行规定"" to match the glossary."
34,留作未来本文件规定的区 域 。,The reserved area for the future as specified in this document.,"MQM annotations:
Terminology Errors:
Major: TERM NOT APPLIED - The term ""区 域"" (region/area) in the source text is not accurately translated as ""the reserved area"" in the target text."
36,4 字汇,Vocabulary.,"MQM annotations:
Terminology Errors:
minor: term not applied - The glossary term ""Vocabulary"" should have been translated as ""词汇"" in Chinese."
40,4.3 双字节部分,Double-byte portion.,"MQM annotations:
Terminology Errors:
Major: TERM NOT APPLIED - The term ""Double-byte portion"" should have been translated as ""双字节部分"" instead of the literal translation ""Double-byte portion""."
41,双字节部分收录了 GB/T 2312 一 1980 中的全部图形字符 GB/T 13000 中的CJK 统一汉字以及部分图形字符。,"The double-byte part includes all the graphic characters in GB/T 2312-1980 and the CJK Unified Ideographs in GB/T 13000, as well as some additional graphic characters.","MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""GB/T 2312-1980"" should have been translated as ""GB/T 2312-1980"" instead of ""GB/T 2312 一 1980"".
[major]: [TERM NOT APPLIED] - The term ""GB/T 13000"" should have been translated as ""GB/T 13000"" instead of ""GB/T 13000"".
[minor]: [WRONG TERM] - The term ""CJK Unified Ideographs"" should have been translated more accurately, as the Chinese term ""CJK 统一汉字"" does not directly translate to ""CJK Unified Ideographs""."
43,"其中,表意文字描述符的图形、代码位置和功能应符合附录 B 的规定 。","The graphic, code position, and function of the ideographic character descriptor should comply with the provisions of Appendix B.","MQM annotations:
Terminology Errors:
major: term not applied - The glossary term ""ideographic character descriptor"" should have been translated more accurately as ""表意文字描述符"" instead of the general term ""graphic"".
minor: wrong term - The term ""code position"" should be translated as ""代码位置"" instead of the more general ""code position"".
minor: wrong term - The term ""function"" should be translated as ""功能"" instead of the general ""function""."
45,"具备独有抽象字形的汉字,赋予单独的代码位置;来源不同而抽象字形相同的汉字, 则赋予共用的代码位置。",The Chinese characters with unique abstract character forms are assigned individual code positions. Chinese characters with the same abstract character forms but different origins are assigned shared code positions.,"MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The Chinese characters with unique abstract character forms are assigned individual code positions should be translated as ""Les caractères chinois ayant des formes de caractères abstraites uniques se voient attribuer des positions de code individuelles"".
[major]: [TERM NOT APPLIED] - Chinese characters with the same abstract character forms but different origins are assigned shared code positions should be translated as ""Les caractères chinois ayant les mêmes formes de caractères abstraites mais des origines différentes se voient attribuer des positions de code partagées""."
47,4.4 四字节部分,16-bit integer,"MQM annotations:
Terminology Errors:
minor: term not applied - The term ""16-bit integer"" does not accurately translate the source term ""四字节部分"" (four-byte part)."
