index,original,translated,accuracy_annotation
0,本文件按照 GB/T 1.1 一 202 久标准化工作导则第工部分:标准化文件的结构和起草规则的规定起惠。,This document is drafted in accordance with the provisions of Part 1 of the GB/T 1.1-202X Standardization Work Guidelines: Structure and Drafting Rules of Standardization Documents.,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/mistranslation] - The phrase ""第工部分"" is mistranslated as ""Part 1"" instead of ""Part 1: Work Section"".
[Major]: [accuracy/mistranslation] - ""202 久"" is mistranslated as ""202X"" instead of ""2029"".
[Minor]: [accuracy/error_subcategory] - None
```"
4,"在四字节编码区更改了18 个 GB/T 13000 代码位置(见附录 D,2005 年版的附录D);","18 GB/T 13000 code positions in the four-byte encoding area have been changed (see Appendix D, Appendix D of the 2005 edition);","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/mistranslation] - ""four-byte encoding area"" should be ""four-octet encoding area"" as 四字节 refers to octets, not bytes.
[Major]: [accuracy/mistranslation] - ""Appendix D of the 2005 edition"" is repeated unnecessarily; it should only be mentioned once.
[Minor]: [accuracy/omission] - None
```"
8,请注意本文件的某些内容可能涉及专利。 本文件的发布机构不承担识别专利的责任。,Please note that some content in this document may involve patents. The publishing organization of this document does not assume responsibility for identifying patents.,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/omission] - The phrase ""本文件的发布机构"" (The publishing organization of this document) is not fully translated. The translation should specify that the organization is the one responsible for the document.
[Minor]: [accuracy/error_subcategory] - None
```"
10,本文件及其所代替文件的历次版本发布情况为 :,The release history of this document and its previous versions is as follows:,"```
MQM annotations:
Accuracy Errors
[Critical]: accuracy/mistranslation - ""The translation 'The release history of this document and its previous versions is as follows:' does not fully capture the meaning of the source text, which includes the notion of '发布情况' (release situation or status) that is missing in the translation.""
[Major]: accuracy/omission - ""The translation omits the phrase '及其所代替文件的历次版本' which refers to 'this document and its previous versions,' leading to a loss of important meaning.""
[Minor]: accuracy/addition - None
```"
13,信息扩术 ”中文编码字符集,"""Information Expansion: Chinese Character Encoding Set""","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/mistranslation] - The translation ""Information Expansion"" does not accurately reflect the meaning of ""信息扩术,"" which seems to be a typo or mistranslation of ""信息扩展"" (Information Expansion).
[Major]: [accuracy/mistranslation] - ""Chinese Character Encoding Set"" does not accurately translate ""中文编码字符集,"" which should be ""Chinese Encoded Character Set.""
[Minor]: [accuracy/omission] - None
```"
16,"本文件适用于为具备中文和其他文字图形字符信息化处理及交换功能的技术类产品,包括但不限于以输入法、光学字符识别 (OCR)、编辑 校对、机融翻诺、语音合成、文字转写、乔能写作等为代表的软件产品 , 以及以计算机、通信终端设备、电子书阅读毅、学习机等为代表的便件产品 。","This document applies to technical products with the capability to process and exchange information in Chinese and other written graphic characters. This includes, but is not limited to, software products such as input methods, optical character recognition (OCR), editing and proofreading, machine translation, speech synthesis, text transcription, and intelligent writing. It also includes hardware products such as computers, communication terminal devices, e-book readers, and learning machines.","```
MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: accuracy/mistranslation - ""机融翻诺"" is mistranslated as ""machine translation"" instead of ""machine-aided translation"".
[Minor]: accuracy/omission - The phrase ""便件产品"" is omitted in the translation, which refers to ""portable hardware products"".
```"
20,GB/T 2312 一 1980 ”信息交换用汉字编码字符集 ”基本集,"GB/T 2312-1980 ""Character Set for Information Exchange in Chinese"" Basic Set","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/mistranslation] - The translation ""Character Set for Information Exchange in Chinese"" does not accurately reflect the source text ""信息交换用汉字编码字符集,"" which should be translated as ""Chinese Character Encoding Character Set for Information Exchange.""
[Major]: [accuracy/omission] - The translation omits the phrase ""一 1980,"" which indicates the year of the standard and should be included as ""-1980"" in the translation.
[Minor]: [accuracy/addition] - None
```"
21,GB/I 11383 一 1989 信息 处理 ”信息交换用八位代码结构和编码规则,GB/T 11383-1989 Information Processing - 8-Bit Code Structure and Encoding Rules for Information Exchange,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - The translation uses ""GB/T"" instead of ""GB/I"", which is incorrect as it changes the code designation.
[Minor]: [accuracy/error_subcategory] - None
```"
25,3.1 字符 character,3.1 字符 character,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/error_subcategory] - None
[Minor]: [accuracy/error_subcategory] - None
```

The translation ""3.1 字符 character"" accurately reflects the source text ""3.1 字符 character"" with no accuracy errors."
30,使用符合本文件的产品的使用者可以自行规定的区域。,Users of products that comply with this document can designate their own specified areas.,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/omission] - The translation omits ""自行规定的"" which means ""designate their own"" or ""self-designated.""
[Major]: [accuracy/mistranslation] - The translation of ""自行规定的区域"" as ""their own specified areas"" is incorrect. It should be ""self-designated areas"" or ""areas designated by themselves.""
[Minor]: [accuracy/addition] - None
```"
34,留作未来本文件规定的区 域 。,"""Reserved for the area specified in this document for the future.""","```
MQM annotations:
Accuracy Errors
[Critical]: accuracy/mistranslation - The translation ""Reserved for the area specified in this document for the future."" does not accurately reflect the source text. The source text ""留作未来本文件规定的区 域"" should be translated as ""Reserved for the area specified in this document for future use."" The phrase ""for future use"" is more accurate than ""for the future.""
[Major]: accuracy/omission - None
[Minor]: accuracy/addition - The word ""use"" is implied in the source text but not explicitly stated, and its absence in the translation slightly affects the precision of the meaning.
```"
36,4 字汇,"The translation of ""4 字汇"" from Chinese to English is ""4-character phrases"" or ""four-character idioms.""","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/mistranslation] - The translation of ""4 字汇"" as ""4-character phrases"" or ""four-character idioms"" is incorrect. The source text ""4 字汇"" does not specify ""phrases"" or ""idioms,"" and the translation inaccurately adds this interpretation.
[Major]: [accuracy/addition] - The translation adds ""phrases"" or ""idioms,"" which are not present in the source text.
[Minor]: [accuracy/omission] - None
```"
40,4.3 双字节部分,4.3 Double Byte Section,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - ""Double Byte Section"" for 双字节部分 should be ""Double-byte Section"" to accurately reflect the source.
[Minor]: [accuracy/error_subcategory] - None
```"
41,双字节部分收录了 GB/T 2312 一 1980 中的全部图形字符 GB/T 13000 中的CJK 统一汉字以及部分图形字符。,"The double-byte section includes all graphic characters from GB/T 2312-1980, CJK Unified Ideographs from GB/T 13000, and some graphic characters.","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/omission] - The translation omits the phrase ""以及部分图形字符"" (and some graphic characters) from the source text.
[Major]: [accuracy/mistranslation] - The translation of ""双字节部分收录了"" as ""The double-byte section includes"" is not entirely accurate. It should convey that the double-byte section ""contains"" or ""records"" these characters, which is more precise.
[Minor]: [accuracy/error_subcategory] - None
```"
43,"其中,表意文字描述符的图形、代码位置和功能应符合附录 B 的规定 。","The graphics, code positions, and functions of ideographic descriptors should comply with the provisions of Appendix B.","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - The term ""ideographic descriptors"" is a mistranslation of ""表意文字描述符,"" which should be translated as ""ideographic character descriptors"" or ""ideographic script descriptors"" to accurately reflect the source text.
[Minor]: [accuracy/error_subcategory] - None
```"
45,"具备独有抽象字形的汉字,赋予单独的代码位置;来源不同而抽象字形相同的汉字, 则赋予共用的代码位置。",Chinese characters with unique abstract glyphs are assigned individual code points; characters with the same abstract glyph but different origins are assigned a shared code point.,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - The phrase ""来源不同而抽象字形相同的汉字"" is mistranslated as ""characters with the same abstract glyph but different origins."" The correct translation should emphasize that characters with the same abstract glyph but different sources share a code point.
[Minor]: [accuracy/error_subcategory] - None
```"
47,4.4 四字节部分,4.4 Four-Byte Section,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - ""Four-Byte Section"" for ""四字节部分"" which should be ""Four-Character Section.""
[Minor]: [accuracy/error_subcategory] - None
```"
48,四字节部分收录了上述双字节字符之外的 GB/T 13000 中的 66 个CJK统一汉字(9FA6 一 9FEF，不包括 9FB4~9FBB 的8个字符)、CJK 统一汉字扩充 A、CJK 统一汉字扩充 BCJK 统一汉字扩充 C、 CJK 统一汉字扩充 DCJK 统一汉字扩充下 .CJK 统一汉字扩充 F 和已经 在 GB/ 工 13000 中编码的少数民族文字的字符。,"The four-byte section includes 66 CJK Unified Ideographs from GB/T 13000 that are not part of the aforementioned double-byte characters (9FA6 to 9FEF, excluding 8 characters from 9FB4 to 9FBB), CJK Unified Ideographs Extension A, CJK Unified Ideographs Extension B, CJK Unified Ideographs Extension C, CJK Unified Ideographs Extension D, CJK Unified Ideographs Extension E, CJK Unified Ideographs Extension F, and characters of minority scripts that have already been encoded in GB/T 13000.","```
MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: accuracy/mistranslation - ""CJK 统一汉字扩充下"" is mistranslated as ""CJK Unified Ideographs Extension E"" instead of ""CJK Unified Ideographs Extension E and below.""
[Minor]: none
```"
52,"附录中凡编码的表示均采用十六进制,其他数字的表示均采用十进制。","In the appendix, all encoded representations are in hexadecimal, while other numerical representations are in decimal.","```
MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None
```"
58,6 字符的排列顺序,The order of arrangement for 6 characters.,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/mistranslation] - The translation ""The order of arrangement for 6 characters"" does not accurately convey the meaning of the source text ""6 字符的排列顺序"". The source text refers to the ""sequence or order of arrangement"" of six characters, but the translation could imply a broader or different context.
[Major]: [accuracy/omission] - None
[Minor]: [accuracy/addition] - None
```"
