index,original,translated,locale_convention_annotation
0,本文件按照 GB/T 1.1 一 202 久标准化工作导则第工部分:标准化文件的结构和起草规则的规定起惠。,This document is drafted in accordance with the provisions of Part 1 of the GB/T 1.1-202X Standardization Work Guidelines: Structure and Drafting Rules of Standardization Documents.,"```
MQM annotations:
design and markup errors:
[Critical]: [design_and_markup/markup_tag] - The year in the standard code ""GB/T 1.1-202X"" in the translation does not match the source ""GB/T 1.1 一 202 久"". The source uses a non-standard character ""久"" instead of a digit, which may be a typographical or encoding issue that should be preserved in the translation for accuracy.
[Major]: [design_and_markup/markup_tag] - None
[Minor]: [design_and_markup/markup_tag] - None
```"
4,"在四字节编码区更改了18 个 GB/T 13000 代码位置(见附录 D,2005 年版的附录D);","18 GB/T 13000 code positions in the four-byte encoding area have been changed (see Appendix D, Appendix D of the 2005 edition);","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - The phrase ""Appendix D, Appendix D of the 2005 edition"" is repeated, which may indicate a formatting or markup error in the translation process.
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
8,请注意本文件的某些内容可能涉及专利。 本文件的发布机构不承担识别专利的责任。,Please note that some content in this document may involve patents. The publishing organization of this document does not assume responsibility for identifying patents.,"```
MQM annotations:
design and markup errors:
Critical: no-error
Major: no-error
Minor: no-error
```"
10,本文件及其所代替文件的历次版本发布情况为 :,The release history of this document and its previous versions is as follows:,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```

In this case, there are no design and markup errors in the translation provided. The source and target texts do not contain any markup tags, malformed HTML characters, or emoji formats that differ between the source and target."
13,信息扩术 ”中文编码字符集,"""Information Expansion: Chinese Character Encoding Set""","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```

In this case, there are no design and markup errors in the translation. The source text and the target text do not contain any markup tags, malformed HTML characters, or emoji formats that differ from each other. Therefore, no annotations are necessary."
16,"本文件适用于为具备中文和其他文字图形字符信息化处理及交换功能的技术类产品,包括但不限于以输入法、光学字符识别 (OCR)、编辑 校对、机融翻诺、语音合成、文字转写、乔能写作等为代表的软件产品 , 以及以计算机、通信终端设备、电子书阅读毅、学习机等为代表的便件产品 。","This document applies to technical products with the capability to process and exchange information in Chinese and other written graphic characters. This includes, but is not limited to, software products such as input methods, optical character recognition (OCR), editing and proofreading, machine translation, speech synthesis, text transcription, and intelligent writing. It also includes hardware products such as computers, communication terminal devices, e-book readers, and learning machines.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```

In this translation, there are no design and markup errors such as incorrect markup tags, malformed HTML characters, or changes in emoji formats. The translation maintains the integrity of the original text's design and markup elements."
20,GB/T 2312 一 1980 ”信息交换用汉字编码字符集 ”基本集,"GB/T 2312-1980 ""Character Set for Information Exchange in Chinese"" Basic Set","```
MQM annotations:
design and markup errors:
[Critical]: None
[Major]: None
[Minor]: design_and_markup/markup_tag - The spacing around the dash in ""GB/T 2312 一 1980"" in the source text does not match the format in the translation ""GB/T 2312-1980"". The source uses spaces around the dash, which is not reflected in the target.
```"
21,GB/I 11383 一 1989 信息 处理 ”信息交换用八位代码结构和编码规则,GB/T 11383-1989 Information Processing - 8-Bit Code Structure and Encoding Rules for Information Exchange,"```
MQM annotations:
design and markup errors:
[Critical]: [design_and_markup/markup_tag] - The hyphen in the source text ""GB/I 11383 一 1989"" is incorrectly represented as a dash ""GB/T 11383-1989"" in the target text, which may affect the understanding of the standard code.
[Major]: [design_and_markup/markup_tag] - None
[Minor]: [design_and_markup/markup_tag] - None
```"
25,3.1 字符 character,3.1 字符 character,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```

In this case, there are no design and markup errors in the translation provided. The source and target texts are identical, and there are no markup tags or emoji formats to evaluate."
30,使用符合本文件的产品的使用者可以自行规定的区域。,Users of products that comply with this document can designate their own specified areas.,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```

Explanation: There are no design and markup errors in the provided translation. The translation does not contain any malformed markup tags, incorrect HTML characters, or changes in emoji formats."
34,留作未来本文件规定的区 域 。,"""Reserved for the area specified in this document for the future.""","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```

In this case, there are no design and markup errors in the translation provided. The translation does not contain any malformed HTML characters, incorrect emoji formats, or other markup-related issues."
36,4 字汇,"The translation of ""4 字汇"" from Chinese to English is ""4-character phrases"" or ""four-character idioms.""","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```

In this case, there are no design and markup errors in the translation of ""4 字汇"" to ""4-character phrases"" or ""four-character idioms."" The translation does not involve any markup tags, HTML characters, or emoji formats that could lead to design and markup errors."
40,4.3 双字节部分,4.3 Double Byte Section,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```

In this case, there are no design and markup errors in the translation. The source and target texts do not contain any markup tags, malformed HTML characters, or emoji formats that need correction."
41,双字节部分收录了 GB/T 2312 一 1980 中的全部图形字符 GB/T 13000 中的CJK 统一汉字以及部分图形字符。,"The double-byte section includes all graphic characters from GB/T 2312-1980, CJK Unified Ideographs from GB/T 13000, and some graphic characters.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
43,"其中,表意文字描述符的图形、代码位置和功能应符合附录 B 的规定 。","The graphics, code positions, and functions of ideographic descriptors should comply with the provisions of Appendix B.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```

In this case, there are no design and markup errors in the translation provided. The translation correctly maintains the design and markup integrity of the source text."
45,"具备独有抽象字形的汉字,赋予单独的代码位置;来源不同而抽象字形相同的汉字, 则赋予共用的代码位置。",Chinese characters with unique abstract glyphs are assigned individual code points; characters with the same abstract glyph but different origins are assigned a shared code point.,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```

In this case, there are no design and markup errors in the translation provided. The translation accurately reflects the source text without any issues related to markup tags or emoji formats."
47,4.4 四字节部分,4.4 Four-Byte Section,"```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```"
48,四字节部分收录了上述双字节字符之外的 GB/T 13000 中的 66 个CJK统一汉字(9FA6 一 9FEF，不包括 9FB4~9FBB 的8个字符)、CJK 统一汉字扩充 A、CJK 统一汉字扩充 BCJK 统一汉字扩充 C、 CJK 统一汉字扩充 DCJK 统一汉字扩充下 .CJK 统一汉字扩充 F 和已经 在 GB/ 工 13000 中编码的少数民族文字的字符。,"The four-byte section includes 66 CJK Unified Ideographs from GB/T 13000 that are not part of the aforementioned double-byte characters (9FA6 to 9FEF, excluding 8 characters from 9FB4 to 9FBB), CJK Unified Ideographs Extension A, CJK Unified Ideographs Extension B, CJK Unified Ideographs Extension C, CJK Unified Ideographs Extension D, CJK Unified Ideographs Extension E, CJK Unified Ideographs Extension F, and characters of minority scripts that have already been encoded in GB/T 13000.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - The translation includes ""CJK Unified Ideographs Extension E"" which is missing in the source text, indicating a potential markup or design issue.
Major: design_and_markup/markup_tag - The sequence of extensions (A, B, C, D, F) is disrupted by the inclusion of ""E"" which is not present in the source, affecting the structural integrity of the list.
Minor: design_and_markup/markup_tag - None
```"
52,"附录中凡编码的表示均采用十六进制,其他数字的表示均采用十进制。","In the appendix, all encoded representations are in hexadecimal, while other numerical representations are in decimal.","```
MQM annotations:
design and markup errors:
Critical: design_and_markup/markup_tag - None
Major: design_and_markup/markup_tag - None
Minor: design_and_markup/markup_tag - None
```

Explanation: There are no design and markup errors in the translation provided. The source text does not contain any markup tags, HTML characters, or emojis that could be incorrectly translated or formatted in the target text. The translation accurately reflects the numerical representation information without any design or markup issues."
