index,original,translated,linguistic_convention_annotation
0,本文件按照 GB/T 1.1 一 202 久标准化工作导则第工部分:标准化文件的结构和起草规则的规定起惠。,This document is drafted in accordance with the provisions of Part 1 of the GB/T 1.1-202X Standardization Work Guidelines: Structure and Drafting Rules of Standardization Documents.,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The colon after ""Guidelines"" should be followed by a lowercase letter as per English punctuation rules.
```"
4,"在四字节编码区更改了18 个 GB/T 13000 代码位置(见附录 D,2005 年版的附录D);","18 GB/T 13000 code positions in the four-byte encoding area have been changed (see Appendix D, Appendix D of the 2005 edition);","```
MQM annotations:
linguistic conventions errors:
Minor: Punctuation - The semicolon at the end of the sentence should be replaced with a period to properly close the sentence.
```"
8,请注意本文件的某些内容可能涉及专利。 本文件的发布机构不承担识别专利的责任。,Please note that some content in this document may involve patents. The publishing organization of this document does not assume responsibility for identifying patents.,"```
MQM annotations:
linguistic conventions errors:
[Critical]: None
[Major]: None
[Minor]: punctuation - The period after ""patents"" should be followed by a space before starting the next sentence.
```"
10,本文件及其所代替文件的历次版本发布情况为 :,The release history of this document and its previous versions is as follows:,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [Punctuation] - The colon should be followed by a space in ""as follows:"" to adhere to English punctuation conventions.
```"
13,信息扩术 ”中文编码字符集,"""Information Expansion: Chinese Character Encoding Set""","```
MQM annotations:
linguistic conventions errors:
[Major]: [spelling] - ""扩术"" should be ""扩展"" in the source, indicating a potential spelling error in the source text affecting the translation.
[Minor]: [capitalization] - The first word ""Information"" should not be capitalized as it is not the beginning of a sentence or a proper noun.
```"
16,"本文件适用于为具备中文和其他文字图形字符信息化处理及交换功能的技术类产品,包括但不限于以输入法、光学字符识别 (OCR)、编辑 校对、机融翻诺、语音合成、文字转写、乔能写作等为代表的软件产品 , 以及以计算机、通信终端设备、电子书阅读毅、学习机等为代表的便件产品 。","This document applies to technical products with the capability to process and exchange information in Chinese and other written graphic characters. This includes, but is not limited to, software products such as input methods, optical character recognition (OCR), editing and proofreading, machine translation, speech synthesis, text transcription, and intelligent writing. It also includes hardware products such as computers, communication terminal devices, e-book readers, and learning machines.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The comma before ""and learning machines"" should be removed to improve sentence flow.
```"
20,GB/T 2312 一 1980 ”信息交换用汉字编码字符集 ”基本集,"GB/T 2312-1980 ""Character Set for Information Exchange in Chinese"" Basic Set","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The hyphen in ""GB/T 2312-1980"" should be an en dash for consistency with standard English punctuation conventions.
```"
21,GB/I 11383 一 1989 信息 处理 ”信息交换用八位代码结构和编码规则,GB/T 11383-1989 Information Processing - 8-Bit Code Structure and Encoding Rules for Information Exchange,"```
MQM annotations:
linguistic conventions errors:
[Critical]: None
[Major]: None
[Minor]: capitalization - The word ""Information"" in the translation should start with a lowercase letter as it is not a proper noun or the beginning of a sentence.
```"
25,3.1 字符 character,3.1 字符 character,"```
MQM annotations:
linguistic conventions errors:
Minor: Punctuation - The period at the end of the sentence is missing.
```"
30,使用符合本文件的产品的使用者可以自行规定的区域。,Users of products that comply with this document can designate their own specified areas.,"```
MQM annotations:
linguistic conventions errors:
[Critical]: None
[Major]: None
[Minor]: punctuation - The sentence lacks a period at the end.
```"
