index,original,zero_shot_translation,annotation
0,本文件按照 GB/T 1.1 一 202 久标准化工作导则第工部分:标准化文件的结构和起草规则的规定起惠。,This document is drafted in accordance with the provisions of Part 1 of the GB/T 1.1-202X Standardization Work Guidelines: Structure and Drafting Rules of Standardization Documents.,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: [mistranslation] - The year ""202X"" in the translation is a placeholder and should be ""201X"" as per the source ""201久"".
[Minor]: None

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: [punctuation] - The colon after ""Part 1"" should be followed by a space for better readability.

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error"
4,"在四字节编码区更改了18 个 GB/T 13000 代码位置(见附录 D,2005 年版的附录D);","18 GB/T 13000 code positions in the four-byte encoding area have been changed (see Appendix D, Appendix D of the 2005 edition);","MQM annotations:
Accuracy Errors
[Critical]: [mistranslation] - The translation ""Appendix D, Appendix D of the 2005 edition"" is unclear and seems to repeat ""Appendix D"" unnecessarily, which could confuse the reader.
[Major]: [omission] - None
[Minor]: [addition] - The phrase ""Appendix D, Appendix D of the 2005 edition"" includes a redundant repetition of ""Appendix D.""

Fluency Errors
[Critical]: [grammar] - None
[Major]: [punctuation] - The semicolon at the end of the sentence is unnecessary and disrupts the flow.
[Minor]: [spelling] - None

Locale Convention Errors
[Critical]: [date] - None
[Major]: [date] - None
[Minor]: [date] - None

Style Errors
[Critical]: [awkward] - None
[Major]: [awkward] - The repetition of ""Appendix D"" makes the sentence awkward and difficult to read.
[Minor]: [awkward] - None

Terminology Errors
[Critical]: [inappropriate for context] - None
[Major]: [inconsistent use] - None
[Minor]: [inconsistent use] - None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error: None"
8,请注意本文件的某些内容可能涉及专利。 本文件的发布机构不承担识别专利的责任。,Please note that some content in this document may involve patents. The publishing organization of this document does not assume responsibility for identifying patents.,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Non-translation Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error"
10,本文件及其所代替文件的历次版本发布情况为 :,The release history of this document and its previous versions is as follows:,"MQM annotations:
Accuracy Errors
[Critical]: [error/error_subcategory] - None
[Major]: [error/error_subcategory] - None
[Minor]: [mistranslation] - The phrase ""及其所代替文件"" is mistranslated. It should be translated as ""and the documents it replaces"" instead of ""and its previous versions.""

Fluency Errors
[Critical]: [error/error_subcategory] - None
[Major]: [error/error_subcategory] - None
[Minor]: [error/error_subcategory] - None

Locale Convention Errors
[Critical]: [error/error_subcategory] - None
[Major]: [error/error_subcategory] - None
[Minor]: [error/error_subcategory] - None

Style Errors
[Critical]: [error/error_subcategory] - None
[Major]: [error/error_subcategory] - None
[Minor]: [awkward] - The phrase ""is as follows"" can be considered slightly awkward in this context. A more natural phrasing might be ""is listed below.""

Terminology Errors
[Critical]: [error/error_subcategory] - None
[Major]: [error/error_subcategory] - None
[Minor]: [error/error_subcategory] - None

Other Errors
[Critical]: [error/error_subcategory] - None
[Major]: [error/error_subcategory] - None
[Minor]: [error/error_subcategory] - None"
13,信息扩术 ”中文编码字符集,"""Information Expansion: Chinese Character Encoding Set""","MQM annotations:
Accuracy Errors
[Critical]: mistranslation - The translation ""Information Expansion: Chinese Character Encoding Set"" does not accurately convey the meaning of the Chinese source text ""信息扩术,"" which seems to be mistranslated or misinterpreted.
[Major]: None
[Minor]: None

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: punctuation - The use of quotation marks around the translated text is inconsistent and unnecessary.

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: awkward - The phrase ""Information Expansion"" is awkward and may not be the best choice for conveying the intended meaning.

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: inappropriate for context - The term ""Character Encoding Set"" may not be the appropriate terminology for the context provided.

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error"
16,"本文件适用于为具备中文和其他文字图形字符信息化处理及交换功能的技术类产品,包括但不限于以输入法、光学字符识别 (OCR)、编辑 校对、机融翻诺、语音合成、文字转写、乔能写作等为代表的软件产品 , 以及以计算机、通信终端设备、电子书阅读毅、学习机等为代表的便件产品 。","This document applies to technical products with the capability to process and exchange information in Chinese and other written graphic characters. This includes, but is not limited to, software products such as input methods, optical character recognition (OCR), editing and proofreading, machine translation, speech synthesis, text transcription, and intelligent writing. It also includes hardware products such as computers, communication terminal devices, e-book readers, and learning machines.","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: [mistranslation] - The phrase ""机融翻诺"" is mistranslated as ""machine translation."" The correct translation should be ""machine translation and conversion.""
[Minor]: None

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: [punctuation] - The original text includes a comma before ""as input methods,"" which is omitted in the translation. This does not significantly affect comprehension but is a minor inconsistency.

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Non-Translation Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-Error
[Critical]: None
[Major]: None
[Minor]: None"
20,GB/T 2312 一 1980 ”信息交换用汉字编码字符集 ”基本集,"GB/T 2312-1980 ""Character Set for Information Exchange in Chinese"" Basic Set","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: [mistranslation] - The translation should include the phrase ""用汉字编码"" as ""for encoding Chinese characters"" to fully convey the meaning.

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: [punctuation] - The translation uses a hyphen instead of a space in ""GB/T 2312-1980,"" which is inconsistent with the source format.

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error: None"
21,GB/I 11383 一 1989 信息 处理 ”信息交换用八位代码结构和编码规则,GB/T 11383-1989 Information Processing - 8-Bit Code Structure and Encoding Rules for Information Exchange,"MQM annotations:
Accuracy Errors
[Critical]: [error/error_subcategory] - None
[Major]: [mistranslation] - The source text contains ""GB/I"" which is mistranslated as ""GB/T"" in the translation.
[Minor]: [omission] - The source text includes ""一"" which is omitted in the translation.

Fluency Errors
[Critical]: [error/error_subcategory] - None
[Major]: [error/error_subcategory] - None
[Minor]: [punctuation] - The source text uses a Chinese quotation mark, which is not reflected in the translation.

Locale Convention Errors
[Critical]: [error/error_subcategory] - None
[Major]: [error/error_subcategory] - None
[Minor]: [error/error_subcategory] - None

Style Errors
[Critical]: [error/error_subcategory] - None
[Major]: [error/error_subcategory] - None
[Minor]: [awkward] - The phrase ""8-Bit Code Structure and Encoding Rules for Information Exchange"" could be more naturally expressed as ""8-bit code structure and encoding rules for information exchange.""

Terminology Errors
[Critical]: [error/error_subcategory] - None
[Major]: [error/error_subcategory] - None
[Minor]: [error/error_subcategory] - None

Other Errors
[Critical]: [error/error_subcategory] - None
[Major]: [error/error_subcategory] - None
[Minor]: [error/error_subcategory] - None

Non-translation Errors
[Critical]: [error/error_subcategory] - None
[Major]: [error/error_subcategory] - None
[Minor]: [error/error_subcategory] - None

No-error"
25,3.1 字符 character,3.1 字符 character,"MQM annotations:
Accuracy Errors
[Critical]: non-translation - The text ""3.1 字符"" was not translated into English, which inhibits comprehension for English speakers.
[Major]: None
[Minor]: None"
30,使用符合本文件的产品的使用者可以自行规定的区域。,Users of products that comply with this document can designate their own specified areas.,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: [mistranslation] - The phrase ""自行规定的区域"" is more accurately translated as ""self-designated areas"" rather than ""their own specified areas,"" which slightly changes the nuance of the original meaning.

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error"
