index,original,single_agent_translation,single_agent_improved_translation
0,本文件按照 GB/T 1.1 一 202 久标准化工作导则第工部分:标准化文件的结构和起草规则的规定起惠。,This document is drafted in accordance with the provisions of Part 1 of the GB/T 1.1-202X Standardization Work Guidelines: Structure and Drafting Rules of Standardization Documents.,This document is drafted in accordance with the provisions of Part 1 of the GB/T 1.1-201X Standardization Work Guidelines: Structure and Drafting Rules of Standardization Documents.
4,"在四字节编码区更改了18 个 GB/T 13000 代码位置(见附录 D,2005 年版的附录D);","18 GB/T 13000 code positions in the four-byte encoding area have been changed (see Appendix D, Appendix D of the 2005 edition);",18 GB/T 13000 code positions in the four-byte encoding area have been changed (see Appendix D of the 2005 edition).
8,请注意本文件的某些内容可能涉及专利。 本文件的发布机构不承担识别专利的责任。,Please note that some content in this document may involve patents. The publishing organization of this document does not assume responsibility for identifying patents.,Please note that some content in this document may involve patents. The publishing organization of this document does not assume responsibility for identifying patents.
10,本文件及其所代替文件的历次版本发布情况为 :,The release history of this document and its previous versions is as follows:,The release history of this document and the documents it replaces is listed below:
13,信息扩术 ”中文编码字符集,"""Information Expansion: Chinese Character Encoding Set""","""Information Technology: Chinese Character Encoding Standard"""
16,"本文件适用于为具备中文和其他文字图形字符信息化处理及交换功能的技术类产品,包括但不限于以输入法、光学字符识别 (OCR)、编辑 校对、机融翻诺、语音合成、文字转写、乔能写作等为代表的软件产品 , 以及以计算机、通信终端设备、电子书阅读毅、学习机等为代表的便件产品 。","This document applies to technical products with the capability to process and exchange information in Chinese and other written graphic characters. This includes, but is not limited to, software products such as input methods, optical character recognition (OCR), editing and proofreading, machine translation, speech synthesis, text transcription, and intelligent writing. It also includes hardware products such as computers, communication terminal devices, e-book readers, and learning machines.","This document applies to technical products with the capability to process and exchange information in Chinese and other written graphic characters, including, but not limited to, software products such as input methods, optical character recognition (OCR), editing and proofreading, machine translation and conversion, speech synthesis, text transcription, and intelligent writing, as well as hardware products such as computers, communication terminal devices, e-book readers, and learning machines."
20,GB/T 2312 一 1980 ”信息交换用汉字编码字符集 ”基本集,"GB/T 2312-1980 ""Character Set for Information Exchange in Chinese"" Basic Set","GB/T 2312 1980 ""Character Set for Encoding Chinese Characters for Information Exchange"" Basic Set"
21,GB/I 11383 一 1989 信息 处理 ”信息交换用八位代码结构和编码规则,GB/T 11383-1989 Information Processing - 8-Bit Code Structure and Encoding Rules for Information Exchange,"GB/I 11383-1989 Information Processing ""8-bit code structure and encoding rules for information exchange"""
25,3.1 字符 character,3.1 字符 character,3.1 Character
30,使用符合本文件的产品的使用者可以自行规定的区域。,Users of products that comply with this document can designate their own specified areas.,Users of products that comply with this document can designate self-specified areas.
34,留作未来本文件规定的区 域 。,"""Reserved for the area specified in this document for the future.""","""Reserved for future use in the area specified in this document."""
36,4 字汇,"The translation of ""4 字汇"" from Chinese to English is ""4-character phrases"" or ""four-character idioms.""","""4-character phrases"" or ""four-character idioms"""
40,4.3 双字节部分,4.3 Double Byte Section,4.3 Double Byte Part
41,双字节部分收录了 GB/T 2312 一 1980 中的全部图形字符 GB/T 13000 中的CJK 统一汉字以及部分图形字符。,"The double-byte section includes all graphic characters from GB/T 2312-1980, CJK Unified Ideographs from GB/T 13000, and some graphic characters.","The double-byte section includes all graphic characters from GB/T 2312-1980, CJK Unified Ideographs from GB/T 13000, and some graphic characters."
43,"其中,表意文字描述符的图形、代码位置和功能应符合附录 B 的规定 。","The graphics, code positions, and functions of ideographic descriptors should comply with the provisions of Appendix B.","Among them, the graphics, code positions, and functions of ideographic descriptors should comply with the provisions of Appendix B."
45,"具备独有抽象字形的汉字,赋予单独的代码位置;来源不同而抽象字形相同的汉字, 则赋予共用的代码位置。",Chinese characters with unique abstract glyphs are assigned individual code points; characters with the same abstract glyph but different origins are assigned a shared code point.,"Chinese characters with unique abstract glyphs are assigned individual code points, while characters with the same abstract glyph but different origins are assigned a shared code point."
47,4.4 四字节部分,4.4 Four-Byte Section,4.4 Four-Byte Part
48,四字节部分收录了上述双字节字符之外的 GB/T 13000 中的 66 个CJK统一汉字(9FA6 一 9FEF，不包括 9FB4~9FBB 的8个字符)、CJK 统一汉字扩充 A、CJK 统一汉字扩充 BCJK 统一汉字扩充 C、 CJK 统一汉字扩充 DCJK 统一汉字扩充下 .CJK 统一汉字扩充 F 和已经 在 GB/ 工 13000 中编码的少数民族文字的字符。,"The four-byte section includes 66 CJK Unified Ideographs from GB/T 13000 that are not part of the aforementioned double-byte characters (9FA6 to 9FEF, excluding 8 characters from 9FB4 to 9FBB), CJK Unified Ideographs Extension A, CJK Unified Ideographs Extension B, CJK Unified Ideographs Extension C, CJK Unified Ideographs Extension D, CJK Unified Ideographs Extension E, CJK Unified Ideographs Extension F, and characters of minority scripts that have already been encoded in GB/T 13000.","The four-byte section includes 66 CJK Unified Ideographs from GB/T 13000 that are not part of the aforementioned double-byte characters (9FA6 to 9FEF, excluding 8 characters from 9FB4 to 9FBB), CJK Unified Ideographs Extension A, CJK Unified Ideographs Extension B, CJK Unified Ideographs Extension C, CJK Unified Ideographs Extension D, CJK Unified Ideographs Extension E, CJK Unified Ideographs Extension F, and characters of minority scripts that have already been encoded in GB/T 13000."
52,"附录中凡编码的表示均采用十六进制,其他数字的表示均采用十进制。","In the appendix, all encoded representations are in hexadecimal, while other numerical representations are in decimal.","In the appendix, all encoded representations are in hexadecimal, while other numerical representations are in decimal."
58,6 字符的排列顺序,The order of arrangement for 6 characters.,The order of arrangement of 6 characters.
59,6.1 单字刷部分字符的排列顺序,6.1 Single-character brushing of the order of some characters,6.1 Arrangement order of individual characters in some parts
60,单字记部分字符按照 GB/I 11383 一 1989 中相应字符的顺序排列 。,The single characters are arranged in the order of the corresponding characters in GB/I 11383-1989.,The single characters are arranged in the order of the corresponding characters in GB/I 11383-1989.
67,7 码位分配,"""7-digit code allocation""","""7 code point allocation"""
71,2.双字部分的码位分配,2. Code point allocation for the double-character section,2. Code point allocation for the double-byte section
72,"双字节部分的码位安排分为 0x8140~ 一 0xFE7E 和 0x8180 一 0xFEFE 两部分, 共 23940 个码位。","The code point arrangement for the double-byte section is divided into two parts: 0x8140 to 0xFE7E and 0x8180 to 0xFEFE, with a total of 23,940 code points.","The code point arrangement for the double-byte section is divided into two parts: 0x8140 to 0xFE7E and 0x8180 to 0xFEFE, with a total of 23,940 code points."
75,双字节 1 区 : 846 码位,Double-byte Area 1: 846 code points,Double-byte Area 1: 846 code points
77,首字节 0xA8~0xA9 双字节 5 区 : 192 码 位,"First byte 0xA8~0xA9, double byte, zone 5: 192 code positions","First byte 0xA8~0xA9; double byte, section 5: 192 code positions"
78,3.双字蔬部分编码空间结构图,3. Double-Character Vegetable Partial Encoding Spatial Structure Diagram,3. Dual-Character Vegetable Partial Encoding Spatial Structure Diagram
84,表 3 中没有指明的四字节人码位分配见 6.3。,The allocation of four-byte character code points not specified in Table 3 can be found in section 6.3.,The allocation of four-byte character code points not specified in Table 3 can be found in section 6.3.
85,表 3 四字闻部分的码位安排,Table 3: Code Point Arrangement for Four-Character Phrases in the Listening Section,Table 3: Code Point Arrangement for the Four-Character Listening Section
88,码位范围码位数字符数,"The translation of ""码位范围码位数字符数"" from Chinese to English is ""Code point range code point number of characters.""",Character count of code point range and code point number.
91,8 部分字符和代码的说明,Explanation of 8 parts of characters and codes,Explanation of characters and codes in 8 parts
97,实现级别 1 文持本文件的单字节编码部分、双季节编码部分和四字下编玛部分的 CJK 统一汉字 ( 即 0x82358F33 一 0x82359636) 和 CJK 统一汉字扩A( 即 0x8139EE39 一 0x82358738) 。,"Translate the following from Chinese to English:

Implement level 1 support for the single-byte encoding section, double-byte encoding section, and four-byte encoding section of this document for CJK Unified Ideographs (i.e., 0x82358F33 to 0x82359636) and CJK Unified Ideographs Extension A (i.e., 0x8139EE39 to 0x82358738).","Implement level 1 support for the single-byte encoding section, double-season encoding section, and four-byte encoding section of this document for CJK Unified Ideographs (i.e., 0x82358F33 to 0x82359636) and CJK Unified Ideographs Extension A (i.e., 0x8139EE39 to 0x82358738)."
102,"此外 ,实现级别 2 还文持《通用 规范 汉字 表 }中的没有包合在实级别 1 之内的编码汉字。","In addition, Level 2 also includes encoded Chinese characters from the ""Table of General Standard Chinese Characters"" that are not included in Level 1.","In addition, Level 2 also contains encoded Chinese characters from the ""Table of General Standard Chinese Characters"" that are not included in Level 1."
104,"系统软件及支撑软件,应满足实现级别 2 的要求 。",System software and support software should meet the requirements of Level 2.,System software and support software should meet the requirements of Level 2.
105,"注: 系统软件及文撑软件包括但不限于操作系统,数据库管理系统.中间件( 软件产品分类的信息见 GB/ 工 36475)。","Note: System software and application software include, but are not limited to, operating systems, database management systems, and middleware (for information on software product classification, see GB/T 36475).","Note: System software and supporting software include, but are not limited to, operating systems, database management systems, and middleware. (For information on software product classification, see GB/T 36475)."
107,实现级别 3 包含实现级别 2。,Level 3 implementation includes Level 2 implementation.,Level 3 implementation includes Level 2 implementation.
109,用于政务服务和公共服务的产品应满足实现级卉 3 的要求。,Products used for government services and public services should meet the requirements of Level 3.,Products used for government services and public services should meet the requirements of Level 3 of implementation.
111,附录 A (规范性 ),Appendix A (Normative),Appendix A Normative
112,双字字符表,Double-character table,Double-byte character table
115,A.2 表的说明,A.2 Table Description,A.2 Table Description
117,第一字节第二字节低位,"The first byte, the second byte, low-order bits.",The low-order bits of the first byte and the second byte.
121,表意文字描述符,"The translation of ""表意文字描述符"" from Chinese to English is ""ideogram descriptor.""",Ideographic character descriptor
124,表 B.1 表意文字描述符的图形、代码位置和功能描述,"Table B.1 Ideographic Descriptor Symbols, Code Positions, and Functional Descriptions","Table B.1 Ideographic Descriptor Symbols, Code Positions, and Functional Descriptions"
125,"本文件的码位 GB/T 13000 的码位功能描述相似而不等,用于借某字表达外字","The code points in this document are similar but not equal to the code point function descriptions in GB/T 13000, and are used to express foreign characters using certain characters.",The code points in this document are similar but not equal to the code point function descriptions in GB/T 13000 and are used to express foreign characters by borrowing certain characters.
130,全包围结构,"The translation of ""全包围结构"" to English is ""fully enclosed structure.""",All-encompassing structure.
133,回右包围结构,"The phrase ""回右包围结构"" translates to ""right-enclosed structure"" in English.","The phrase ""回右包围结构"" translates to ""return right-enclosed structure"" in English."
136,回右上包围结构,The structure that encloses from the top right.,The structure with an enclosing design from the upper right.
140,C.1 表的内容,C.1 Table Contents,C.1 Contents of the Table
145,D.1 调整过的 18 个GB/T 13000 代码位置,D.1 Adjusted 18 GB/T 13000 code positions,D.1 Adjusted positions of 18 GB/T 13000 codes
148,本文件及 GB 18030 一 2005 的GB 18030 一 2005 对应的本文件对应的GB/T 工 13000 码位,The document and GB 18030-2005 correspond to the GB/T 13000 code points in this document.,This document and GB 18030-2005 correspond to the GB/T 13000 code points specified in this document.
149,D.2 在双字闻区删除的 6 个汉字构件,D.2 Six Chinese character components removed in the double-character recognition area,D.2 Six components of Chinese characters were removed in the dual-character identification area.
151,D.3 在双字下区删除的 9 个 CJK 兼容汉字,D.3 The 9 CJK compatibility characters removed from the double-byte lower area,D.3 The 9 CJK compatibility characters removed from the subarea of double-byte characters
153,表 D.3 删除的 9 个 CJK 兼容汉字和它们的代码位置,Table D.3 Deleted 9 CJK Compatibility Ideographs and Their Code Positions,Table D.3 9 Deleted CJK Compatibility Ideographs and Their Code Positions
154,附录开 (资料性)《通用规范汉字表》 汉字的代码位置,"Appendix Open (Informational) ""Table of General Standard Chinese Characters"" Code Positions of Chinese Characters","Appendix (Informational) ""Table of General Standard Chinese Characters"" Positions of Chinese Character Codes"
155,"本文件收录了 2013 年中华人民共和国国务院批准发布的 4 通用规范汉字表》 中的全部 8105 个规范汉字,它们的代码位置和字形见表1。","This document includes all 8,105 standardized Chinese characters from the ""Table of General Standard Chinese Characters"" approved and published by the State Council of the People's Republic of China in 2013. Their code positions and glyphs are shown in Table 1.","This document includes all 8,105 standardized Chinese characters from the ""Table of General Standard Chinese Characters"" approved and published by the State Council of the People's Republic of China in 2013, with their code positions and glyphs shown in Table 1."
