index,original,translated,locale_convention_annotation
0,本文件按照 GB/T 1.1 一 202 久标准化工作导则第工部分:标准化文件的结构和起草规则的规定起惠。,This document is drafted in accordance with the provisions of Part 1 of the GB/T 1.1-202X Standardization Work Guidelines: Structure and Drafting Rules of Standardization Documents.,"```
MQM annotations:
Style Errors
[major]: [unnatural_flow] - The phrase ""in accordance with the provisions of"" is overly formal and could be simplified for better readability.
[minor]: [unnatural_flow] - The use of ""Part 1 of the GB/T 1.1-202X Standardization Work Guidelines"" is somewhat awkward and could be rephrased for a more natural flow.
```"
4,"在四字节编码区更改了18 个 GB/T 13000 代码位置(见附录 D,2005 年版的附录D);","18 GB/T 13000 code positions in the four-byte encoding area have been changed (see Appendix D, Appendix D of the 2005 edition);","```
MQM annotations:
Styles error:
minor: UNNATURAL FLOW - The phrase ""Appendix D, Appendix D of the 2005 edition"" is repetitive and awkward. It could be more naturally expressed as ""see Appendix D of the 2005 edition.""
```"
8,请注意本文件的某些内容可能涉及专利。 本文件的发布机构不承担识别专利的责任。,Please note that some content in this document may involve patents. The publishing organization of this document does not assume responsibility for identifying patents.,"```
MQM annotations:
Styles error:
[minor]: [unnatural_flow] - The phrase ""the publishing organization of this document"" could be more naturally expressed as ""the organization publishing this document.""
```"
10,本文件及其所代替文件的历次版本发布情况为 :,The release history of this document and its previous versions is as follows:,"```
MQM annotations:
Styles error:
[minor]: [style/unnatural_flow] - The phrase ""is as follows"" at the end of the sentence creates an unnatural flow. A more natural phrasing could be ""The release history of this document and its previous versions follows:"".
```"
13,信息扩术 ”中文编码字符集,"""Information Expansion: Chinese Character Encoding Set""","```
MQM annotations:
Styles error:
major: UNNATURAL FLOW - The phrase ""Information Expansion: Chinese Character Encoding Set"" reads awkwardly and lacks natural flow. A more natural expression might be ""Expanding Information: The Chinese Character Encoding Set.""
```"
16,"本文件适用于为具备中文和其他文字图形字符信息化处理及交换功能的技术类产品,包括但不限于以输入法、光学字符识别 (OCR)、编辑 校对、机融翻诺、语音合成、文字转写、乔能写作等为代表的软件产品 , 以及以计算机、通信终端设备、电子书阅读毅、学习机等为代表的便件产品 。","This document applies to technical products with the capability to process and exchange information in Chinese and other written graphic characters. This includes, but is not limited to, software products such as input methods, optical character recognition (OCR), editing and proofreading, machine translation, speech synthesis, text transcription, and intelligent writing. It also includes hardware products such as computers, communication terminal devices, e-book readers, and learning machines.","```
MQM annotations:
Styles error:
major: UNNATURAL FLOW - The phrase ""This includes, but is not limited to,"" is slightly awkward and could be more naturally expressed as ""This encompasses, but is not limited to,"" to improve readability.
minor: UNNATURAL FLOW - The phrase ""hardware products such as computers, communication terminal devices, e-book readers, and learning machines"" could be more naturally expressed by using ""including"" instead of ""such as"" to enhance flow.
```"
20,GB/T 2312 一 1980 ”信息交换用汉字编码字符集 ”基本集,"GB/T 2312-1980 ""Character Set for Information Exchange in Chinese"" Basic Set","```
MQM annotations:
Styles error:
minor: COMPANY STYLE - The translation does not follow the typical English style for naming standards, which usually places the title in quotation marks after the standard number without a space before the hyphen, i.e., ""GB/T 2312-1980 'Character Set for Information Exchange in Chinese' Basic Set.""
```"
21,GB/I 11383 一 1989 信息 处理 ”信息交换用八位代码结构和编码规则,GB/T 11383-1989 Information Processing - 8-Bit Code Structure and Encoding Rules for Information Exchange,"```
MQM annotations:
Styles error:
minor: COMPANY STYLE - The translation uses ""GB/T"" instead of ""GB/I"" as in the source text.
```"
25,3.1 字符 character,3.1 字符 character,"```
MQM annotations:
Styles error:
minor: unnatural flow - The repetition of ""character"" in ""3.1 字符 character"" could be more naturally expressed as ""3.1 Character"" without repeating the word.
```"
30,使用符合本文件的产品的使用者可以自行规定的区域。,Users of products that comply with this document can designate their own specified areas.,"```
MQM annotations:
major: style/unnatural flow - The phrase ""designate their own specified areas"" reads awkwardly. A more natural expression would be ""can specify their own areas.""
```"
