index,original,translated,terminology_annotation
0,本文件按照 GB/T 1.1 一 202 久标准化工作导则第工部分:标准化文件的结构和起草规则的规定起惠。,This document is drafted in accordance with the provisions of Part 1 of the GB/T 1.1-202X Standardization Work Guidelines: Structure and Drafting Rules of Standardization Documents.,"```
MQM annotations:
Terminology errors:
minor: WRONG TERM - The term ""202X"" should be ""202久"" as per the source text, indicating a placeholder for a year, not a specific year.
```"
4,"在四字节编码区更改了18 个 GB/T 13000 代码位置(见附录 D,2005 年版的附录D);","18 GB/T 13000 code positions in the four-byte encoding area have been changed (see Appendix D, Appendix D of the 2005 edition);","```
MQM annotations:
Terminology errors:
Minor: WRONG TERM - The term ""GB/T 13000"" should be checked for correct capitalization or formatting as it is a technical standard and should be consistently represented.
```"
8,请注意本文件的某些内容可能涉及专利。 本文件的发布机构不承担识别专利的责任。,Please note that some content in this document may involve patents. The publishing organization of this document does not assume responsibility for identifying patents.,"```
MQM annotations:
Terminology errors:
no-error
```"
10,本文件及其所代替文件的历次版本发布情况为 :,The release history of this document and its previous versions is as follows:,"```
MQM annotations:
Terminology errors:
None
```

Explanation: There are no terminology errors in the translation provided. The translation correctly conveys the meaning of the source text, and there are no glossary terms that have been misapplied or incorrectly used."
13,信息扩术 ”中文编码字符集,"""Information Expansion: Chinese Character Encoding Set""","```
MQM annotations:
Terminology errors:
critical: TERM NOT APPLIED - The term ""信息扩术"" should have been translated as ""Information Expansion"" according to the glossary specification.
major: TERM NOT APPLIED - The term ""中文编码字符集"" should have been translated as ""Chinese Character Encoding Set"" according to the glossary specification.
```"
16,"本文件适用于为具备中文和其他文字图形字符信息化处理及交换功能的技术类产品,包括但不限于以输入法、光学字符识别 (OCR)、编辑 校对、机融翻诺、语音合成、文字转写、乔能写作等为代表的软件产品 , 以及以计算机、通信终端设备、电子书阅读毅、学习机等为代表的便件产品 。","This document applies to technical products with the capability to process and exchange information in Chinese and other written graphic characters. This includes, but is not limited to, software products such as input methods, optical character recognition (OCR), editing and proofreading, machine translation, speech synthesis, text transcription, and intelligent writing. It also includes hardware products such as computers, communication terminal devices, e-book readers, and learning machines.","```
MQM annotations:
Terminology errors:
Major: TERM NOT APPLIED - The term ""机融翻诺"" is not applied correctly in the translation. It should be ""machine translation"" instead of ""machine translation"" as per the glossary.
Minor: TERM NOT APPLIED - The term ""乔能写作"" is not applied correctly in the translation. It should be ""intelligent writing"" instead of ""intelligent writing"" as per the glossary.
```

Note: The translation provided is already quite accurate in terms of terminology. However, the terms ""机融翻诺"" and ""乔能写作"" were not directly translated, as they appear to be specific terms that might not have been correctly captured or translated in the context."
20,GB/T 2312 一 1980 ”信息交换用汉字编码字符集 ”基本集,"GB/T 2312-1980 ""Character Set for Information Exchange in Chinese"" Basic Set","```
MQM annotations:
Terminology errors:
minor: WRONG TERM - The term ""Character Set for Information Exchange in Chinese"" should be ""Chinese Character Set for Information Exchange"" to match the glossary specification.
```"
21,GB/I 11383 一 1989 信息 处理 ”信息交换用八位代码结构和编码规则,GB/T 11383-1989 Information Processing - 8-Bit Code Structure and Encoding Rules for Information Exchange,"```
MQM annotations:
Terminology errors:
Minor: WRONG TERM - The term ""GB/I"" should be ""GB/T"" as per the standard naming convention for Chinese national standards.
```"
25,3.1 字符 character,3.1 字符 character,"```
MQM annotations:
Terminology errors:
no-error
```"
30,使用符合本文件的产品的使用者可以自行规定的区域。,Users of products that comply with this document can designate their own specified areas.,"```
MQM annotations:
Terminology errors:
None
```"
34,留作未来本文件规定的区 域 。,"""Reserved for the area specified in this document for the future.""","```
MQM annotations:
Terminology errors:
minor: TERM NOT APPLIED - The term ""Reserved"" should be translated as ""留作"" to match the glossary specification.
```"
36,4 字汇,"The translation of ""4 字汇"" from Chinese to English is ""4-character phrases"" or ""four-character idioms.""","```
MQM annotations:
Terminology errors:
major: WRONG TERM - The translation ""4-character phrases"" or ""four-character idioms"" does not match the source term ""4 字汇,"" which should be translated as ""four-character expressions"" to fit the context correctly.
```"
40,4.3 双字节部分,4.3 Double Byte Section,"```
MQM annotations:
Terminology errors:
Minor: WRONG TERM - ""Double Byte Section"" should be ""Double-Byte Section"" to correctly reflect the terminology for ""双字节部分"" with proper hyphenation.
```"
41,双字节部分收录了 GB/T 2312 一 1980 中的全部图形字符 GB/T 13000 中的CJK 统一汉字以及部分图形字符。,"The double-byte section includes all graphic characters from GB/T 2312-1980, CJK Unified Ideographs from GB/T 13000, and some graphic characters.","```
MQM annotations:
Terminology errors:
critical: no-error
major: no-error
minor: no-error
```"
43,"其中,表意文字描述符的图形、代码位置和功能应符合附录 B 的规定 。","The graphics, code positions, and functions of ideographic descriptors should comply with the provisions of Appendix B.","```
MQM annotations:
Terminology errors:
None
```"
45,"具备独有抽象字形的汉字,赋予单独的代码位置;来源不同而抽象字形相同的汉字, 则赋予共用的代码位置。",Chinese characters with unique abstract glyphs are assigned individual code points; characters with the same abstract glyph but different origins are assigned a shared code point.,"```
MQM annotations:
Terminology errors:
None
```

In this translation task, there are no terminology errors related to the provided guidelines. The terms ""abstract glyphs,"" ""code points,"" and ""characters"" are used correctly in the context of the translation, and there are no glossary-specific issues such as incorrect application or wrong terms."
47,4.4 四字节部分,4.4 Four-Byte Section,"```
MQM annotations:
Terminology errors:
Major: TERM NOT APPLIED - The term ""四字节"" should be translated as ""four-byte"" in lowercase to match the glossary specification.
```"
48,四字节部分收录了上述双字节字符之外的 GB/T 13000 中的 66 个CJK统一汉字(9FA6 一 9FEF，不包括 9FB4~9FBB 的8个字符)、CJK 统一汉字扩充 A、CJK 统一汉字扩充 BCJK 统一汉字扩充 C、 CJK 统一汉字扩充 DCJK 统一汉字扩充下 .CJK 统一汉字扩充 F 和已经 在 GB/ 工 13000 中编码的少数民族文字的字符。,"The four-byte section includes 66 CJK Unified Ideographs from GB/T 13000 that are not part of the aforementioned double-byte characters (9FA6 to 9FEF, excluding 8 characters from 9FB4 to 9FBB), CJK Unified Ideographs Extension A, CJK Unified Ideographs Extension B, CJK Unified Ideographs Extension C, CJK Unified Ideographs Extension D, CJK Unified Ideographs Extension E, CJK Unified Ideographs Extension F, and characters of minority scripts that have already been encoded in GB/T 13000.","```
MQM annotations:
Terminology errors:
Major: WRONG TERM - The term ""CJK Unified Ideographs Extension E"" is missing in the translation, disrupting the flow of the text.
Minor: WRONG TERM - The term ""CJK Unified Ideographs Extension D"" is incorrectly formatted as ""DCJK Unified Ideographs Extension"" in the translation.
Minor: WRONG TERM - The term ""CJK Unified Ideographs Extension B"" is incorrectly formatted as ""BCJK Unified Ideographs Extension"" in the translation.
```"
52,"附录中凡编码的表示均采用十六进制,其他数字的表示均采用十进制。","In the appendix, all encoded representations are in hexadecimal, while other numerical representations are in decimal.","```
MQM annotations:
Terminology errors:
no-error
```"
58,6 字符的排列顺序,The order of arrangement for 6 characters.,"```
MQM annotations:
Terminology errors:
None
```

Explanation: There are no terminology errors in the translation provided. The phrase ""The order of arrangement for 6 characters"" accurately reflects the source text ""6 字符的排列顺序,"" and there are no glossary terms that are incorrectly applied or wrong in context."
59,6.1 单字刷部分字符的排列顺序,6.1 Single-character brushing of the order of some characters,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""单字刷"" was not applied correctly in the translation. It should be translated as ""single-character brushing"" according to the context.
Major: WRONG TERM - The term ""排列顺序"" was translated correctly as ""the order of some characters,"" but the context of ""刷"" (brushing) suggests a different meaning related to rearranging or sorting, which may not be accurately captured.
```"
60,单字记部分字符按照 GB/I 11383 一 1989 中相应字符的顺序排列 。,The single characters are arranged in the order of the corresponding characters in GB/I 11383-1989.,"```
MQM annotations:
Terminology errors:
critical: no-error
major: no-error
minor: no-error
```"
67,7 码位分配,"""7-digit code allocation""","```
MQM annotations:
Terminology errors:
minor: TERM NOT APPLIED - The translation ""7-digit code allocation"" does not apply the glossary term correctly for ""码位分配,"" which should be ""code point allocation"" in this context.
```"
71,2.双字部分的码位分配,2. Code point allocation for the double-character section,"```
MQM annotations:
Terminology errors:
None
```"
72,"双字节部分的码位安排分为 0x8140~ 一 0xFE7E 和 0x8180 一 0xFEFE 两部分, 共 23940 个码位。","The code point arrangement for the double-byte section is divided into two parts: 0x8140 to 0xFE7E and 0x8180 to 0xFEFE, with a total of 23,940 code points.","```
MQM annotations:
Terminology errors:
None
```

In this case, there are no terminology errors in the translation provided. The translation accurately reflects the source text, and there are no issues with glossary terms or terminology usage."
75,双字节 1 区 : 846 码位,Double-byte Area 1: 846 code points,"```
MQM annotations:
Terminology errors:
Minor: WRONG TERM - The term ""Double-byte"" should be ""Double-Byte"" to match the capitalization convention for technical terms.
```"
77,首字节 0xA8~0xA9 双字节 5 区 : 192 码 位,"First byte 0xA8~0xA9, double byte, zone 5: 192 code positions","```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""double byte"" should be translated as ""双字节"" in Chinese, but it is not highlighted as a glossary term in the translation.
```"
78,3.双字蔬部分编码空间结构图,3. Double-Character Vegetable Partial Encoding Spatial Structure Diagram,"```
MQM annotations:
Terminology errors:
Major: WRONG TERM - ""Double-Character"" should be ""Two-Character"" as per the glossary specification.
Minor: WRONG TERM - ""Vegetable"" should be ""Veggie"" as per the glossary specification.
```"
84,表 3 中没有指明的四字节人码位分配见 6.3。,The allocation of four-byte character code points not specified in Table 3 can be found in section 6.3.,"```
MQM annotations:
Terminology errors:
None
```

In this case, there are no terminology errors in the translation provided. The translation accurately reflects the source text, and there are no glossary terms that have been misapplied or incorrectly used."
85,表 3 四字闻部分的码位安排,Table 3: Code Point Arrangement for Four-Character Phrases in the Listening Section,"```
MQM annotations:
Terminology errors:
minor: WRONG TERM - The term ""Four-Character Phrases"" should be ""Four-Character Idioms"" as per the glossary.
minor: WRONG TERM - The term ""Listening Section"" should be ""Listening Comprehension Section"" as per the glossary.
```"
88,码位范围码位数字符数,"The translation of ""码位范围码位数字符数"" from Chinese to English is ""Code point range code point number of characters.""","```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The translation ""Code point range code point number of characters"" does not apply the correct terminology for the Chinese phrase ""码位范围码位数字符数."" The terms should be accurately translated to reflect the technical context.
```"
91,8 部分字符和代码的说明,Explanation of 8 parts of characters and codes,"```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""characters"" in the translation does not match the glossary specification for ""字符,"" which should be translated as ""characters"" in this context.
Minor: TERM NOT APPLIED - The term ""codes"" in the translation does not match the glossary specification for ""代码,"" which should be translated as ""codes"" in this context.
```"
97,实现级别 1 文持本文件的单字节编码部分、双季节编码部分和四字下编玛部分的 CJK 统一汉字 ( 即 0x82358F33 一 0x82359636) 和 CJK 统一汉字扩A( 即 0x8139EE39 一 0x82358738) 。,"Translate the following from Chinese to English:

Implement level 1 support for the single-byte encoding section, double-byte encoding section, and four-byte encoding section of this document for CJK Unified Ideographs (i.e., 0x82358F33 to 0x82359636) and CJK Unified Ideographs Extension A (i.e., 0x8139EE39 to 0x82358738).","```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""single-byte encoding section"" should have been translated as ""单字节编码部分"" in the source text.
Minor: TERM NOT APPLIED - The term ""double-byte encoding section"" should have been translated as ""双字节编码部分"" in the source text.
Minor: TERM NOT APPLIED - The term ""four-byte encoding section"" should have been translated as ""四字节编码部分"" in the source text.
Minor: TERM NOT APPLIED - The term ""CJK Unified Ideographs"" should have been translated as ""CJK 统一汉字"" in the source text.
Minor: TERM NOT APPLIED - The term ""CJK Unified Ideographs Extension A"" should have been translated as ""CJK 统一汉字扩A"" in the source text.
```

Note: The annotations are based on the assumption that the glossary terms are highlighted in blue in the Annotation Tool and that the translation should match the source text's terminology exactly."
102,"此外 ,实现级别 2 还文持《通用 规范 汉字 表 }中的没有包合在实级别 1 之内的编码汉字。","In addition, Level 2 also includes encoded Chinese characters from the ""Table of General Standard Chinese Characters"" that are not included in Level 1.","```
MQM annotations:
Terminology errors:
None
```

In this translation, there are no terminology errors related to glossary entries. The translation accurately reflects the source text in terms of terminology usage."
104,"系统软件及支撑软件,应满足实现级别 2 的要求 。",System software and support software should meet the requirements of Level 2.,"```
MQM annotations:
Terminology errors:
None
```"
105,"注: 系统软件及文撑软件包括但不限于操作系统,数据库管理系统.中间件( 软件产品分类的信息见 GB/ 工 36475)。","Note: System software and application software include, but are not limited to, operating systems, database management systems, and middleware (for information on software product classification, see GB/T 36475).","```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""application software"" should have been translated as ""应用软件"" in the context of the source text.
```"
107,实现级别 3 包含实现级别 2。,Level 3 implementation includes Level 2 implementation.,"```
MQM annotations:
Terminology errors:
no-error
```"
109,用于政务服务和公共服务的产品应满足实现级卉 3 的要求。,Products used for government services and public services should meet the requirements of Level 3.,"```
MQM annotations:
Terminology errors:
Major: WRONG TERM - ""Level 3"" should be ""level 3"" to match the capitalization rules in the glossary.
```"
111,附录 A (规范性 ),Appendix A (Normative),"```
MQM annotations:
Terminology errors:
Minor: WRONG TERM - ""Normative"" should be lowercase as ""normative"" to match the glossary specification.
```"
112,双字字符表,Double-character table,"```
MQM annotations:
Terminology errors:
major: TERM NOT APPLIED - The term ""Double-character table"" should have been translated as ""Double-character character table"" to match the glossary specification.
```"
